%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
제조에 실패하였습니다.	Tárgyad fejlesztése sikertelen volt. 
제조창이 열려있지 않습니다	A termelõ ablak nincs nyitva. 
조개가 흔적도 없이 사라집니다.	A kagyló eltûnt. 
조개에서 돌조각이 나왔습니다.	Egy egyszerû kõdarabot találsz a kagylóban. 
조개에서 백진주가 나왔습니다.	A kagylóban egy fehér gyöngy van. 
조개에서 청진주가 나왔습니다.	A kagylóban egy kék gyöngy van. 
조개에서 피진주가 나왔습니다.	A kagylóban egy vörös gyöngy van. 
존재하지 않는 건물입니다.	Nem létezik az épület. 
존재하지 않는 아이템 입니다	Nincs ilyen eszköz. 
존재하지 않는 캐릭터 입니다.	Nem létezik a karakter. 
좋아, 이 기세로 계속 나간다!	Ok, tovább kell koncentrálnom! 
좋았어! 조금만 더 읽으면 끝이다!	Értem! Majdnem átolvastam! 
주안술서를 통해 주화입마에서 빠져나왔습니다.	Megúsztad a gonosz lélek átkot az ördögûzõ tekercs segítségével. 
죽은 말에게 사료를 먹일 수 없습니다.	Döglött lovat nem etethetsz. 
죽은 정보 %s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d	%s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d 
죽지 않은 말에게 선초를 먹일 수 없습니다.	Eleven lovakat nem etethetsz majom növénnyel. Ez halott lovak feltámasztására való. 
지금부터 %s은 30분간 봉화를 파괴하여 보상을 획득 할 수 있습니다.	Mostantól 30 percen át kaphat %s jutalmat a máglya szétrombolásáért. 
지능 +%d	Intelligencia +%d 
지능이 낮아 착용할 수 없습니다.	Nem elegendõ az intelligenciád ezen tárgy felszereléséhez. 
직접 타격치 반사 확률 : %d%%	Közvetlen támadás visszaverése: %d%% 
진노국	Jinno-birodalom 
착용 중인 아이템은 판매할 수 없습니다.	Nem adhatsz el felszelt tárgyakat. 
착용 중인 용혼석은 추출할 수 없습니다.	Nem távolítható el a Sárkánykõ. 
참	TRUE 
창고,거래창등이 열린 상태에서는 개량을 할수가 없습니다	Nem javíthatsz semmit, amíg a bolt- vagy kereskedõ ablak nyitva van. 
창고를 연후 %d초 이내에는 거래를 할수 없습니다.	%d másodperc múlva tudsz ismét kereskedni. 
창고를 연후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	A raktár nyitása után %d másodpercig nem használhatod a 'Vissza' tekercset. 
창고를 연후 %d초 이내에는 다른곳으로 이동할수 없습니다.	A raktár megnyitása után %d másodpercig nem mehetsz máshova. 
채광에 성공하였습니다.	Sikeres volt a bányászat. 
채광에 실패하였습니다.	Sikertelen a bányászat. 
채광을 중단하였습니다.	A bányászat befejezõdött. 
채팅 금지 상태입니다.	A csetelésed le van tiltva. 
채팅 금지가 풀렸습니다.	A cseted tiltása fel lett oldva. 
책으로 더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Sikeresen befejezted a tanfolyamot a könyv segítségével. 
책장도 이제 얼마 남지 않았군.	Már csak néhány oldal, és elolvastam mindent. 
천조국	Chunjo-birodalom 
청소할 석이 박혀있지 않습니다.	Nincs eltávolítani való kõszilánk. 
체력 +%d	Kitartás +%d 
체력이 낮아 착용할 수 없습니다.	Nem elegendõ az életerõd ezen tárgy felszereléséhez. 
총 퀴즈 수: %d	A kvíz összértéke: %d 
최대 생명력 +%d	Életerõ +%d 
최대 생명력 +%d%%	Maximális élet +%d%% 
최대 정신력 +%d	Mana pontok +%d 
최대 정신력 +%d%%	Maximális élet +%d%% 
최대 지구력 +%d	Maximális kitartás + %d 
축복의 서와 현철을 합칠 수 있습니다.	Egyesíteni tudod az Áldástekercset a Mágikus vasérccel. 
출마를 할수가 없습니다	Nem lehet rá szavazni. 
충전할 수 없습니다.	Nem tudod újratölteni ezt a Sárkánykövet. 
취소 되었습니다.	A kijelentkezés félbeszakadt. 
캐릭터를 전환 합니다. 잠시만 기다리세요.	Karaktert cserélsz. Kérlek várj! 
쿨타임 -%d	Pihenõ idõ -%d 
쿨타임 적용중  %d 후 사용가능	Elõ van készítve. Használható %d után. 
퀘스트를 로드하는 중입니다. 잠시만 기다려 주십시오.	A kérés teljesítése folyamatban. Türelmet kérünk! 
크윽, 기가 역류하고 있어! 이거 설마 주화입마인가!? 젠장!	Ó, nem sikerült! Francba! 
클라이언트 버전이 틀려 로그아웃 됩니다. 정상적으로 패치 후 접속하세요.	A kliensverziód hibás. Installáld a rendes patch-et. 
타격치 %d%% 를 생명력으로 흡수	Energia elnyelõdés %d%% támadásnál. 
타력치 %d%% 를 정신력으로 흡수	Mana elnyelõdés %d%% támadásnál. 
타제국 유저는 소환 할수 없습니다	Nem hívhatsz ismeretlen játékosokat. 
타제국 유저에게는 이동할수 없습니다	Nem transzportálhatsz egy idegen birodalom játékosához. 
탄 상태에서는 할 수 없습니다.	Nem teheted meg, amíg lovon ülsz. 
테스트 서버 시간제한 통과	Az idõkorlát a test szerveren meg lett haladva. 
파티 중이 아닙니다.	Nem vagy a csoportban. 
파티의 협동력이 높아져 지금부터 추가 경험치 보너스를 받습니다.	Csoportod jól együttmûködik és tapasztalati bónuszt kapott. 
파티장이 접속 상태가 아니라서 요청을 할 수 없습니다.	<Csoport> Nem intézhetsz kérést, mert a csoportvezetõ nem online. 
판매금액의 %d %% 가 세금으로 나가게됩니다	Az eladás %d%%-kal van megadóztatva. 
퍼펙트 마스터된 스킬입니다. 더 이상 수련 할 수 없습니다.	Már mestere vagy ennek a képességnek. Nem fejlesztheted már. 
평타 데미지 %d%%	Ütés romlás %d%% 
평타 데미지 저항 %d%%	Ellenállás ütéssel szemben %d%% 
플레이어 %d 와 플레이어  %d를 파혼시킵니다..	Felbontott szerzõdés %d játékos és %d játékos között. 
한손검 방어 %d%%	Egykezes kard védelem %d%% 
해당 유저는 %d 채널에 있습니다. (현재 채널 %d)	Játékos hozzáadása a %d csatornára. (Jelenlegi castorna %d) 
핸드폰 번호가 등록 되었습니다.	A telefonszám regisztrálva van. 
핸드폰 번호가 등록되어 있지 않습니다.	A telefonszám nincs regisztrálva. 
현재 %s 국고에는 %d 의 돈이 있습니다	%s-nak még %d Yangja van. 
현재 %s 국고에는 %u 의 돈이 있습니다	%s-nak még %u Yangja van. 
현재 남은 참가자수 : %d	A maradék résztvevõk száma: %d 
현재 스코어 신수국:%d 천조국:%d 진노국:%d	Aktuális ponszám: Shinsoo %d, Chunjo %d, Jinno: %d 
현재 온라인 상태 입니다. 귓말을 이용하세요.	A játékos online. Használd a suttogást. 
현재 위치에서 사용할 수 없습니다.	Jelenlegi pozíciódból nem tudod kihasználni. 
현재 이벤트 참가자 분들은 마을로 이동 되겠습니다.	Az ajándék esemény egy területre van korlátozva. 
현재 전쟁중인 길드 입니다	Ez a céh harcban áll. 
현재 헤어스타일에서는 염색과 탈색이 불가능합니다.	Jelenlegi frizurádat nem tudod festeni vagy szõkíteni. 
화염 저항 %d%%	Tûz ellenállás %d%% 
활 공격 회피 확률 %d%%	%d%% esély távolsági támadás blokkolására. 
활공격 저항 %d%%	Táv támadás ellenállás %d%% 


%s accounts were banned permanently because of: %s	%s accounts were banned permanently because of: %s. 
%s bloklandi	%s has been blocked. 
%s does not exist.	%s doesnt exist. 
%s has been banned for %s because of: %s	%s has been banned for %s because of: %s. 
%s has been banned permanently with reason: %s	%s has been banned permanently with reason: %s. 
%s_ADDED_%d_OF_EXCHANGE_ITEM_%s	%s has added %d to %s. 
%s_ADDED_EXCHANGE_ITEM_%s	%s addet the item %s. 
%s_DECREASED_EXCHANGE_GOLD_TO_%s	%s has reduced to %s. 
%s_INCREASED_EXCHANGE_GOLD_TO_%s	%s has increased the gold to %s. 
%s_READIED_UP_EXCHANGE	%s prepared the trading. 
%s_REMOVED_%d_OF_EXCHANGE_ITEM_%s	%s removed %d to %s. 
%s_REMOVED_EXCHANGE_ITEM_%s	%s has removed the item %s. 
%s_REMOVED_READY_EXCHANGE	%s has stopped the trading. 
's Mount	's Mount 
AUTOLOOT	Third Hand
Automatic unstuck did not find a valid position. Ask a GM.	Automatic unstuck did not find a valid position. 
CANNOT_RIDE_WHILE_POLYMORPHED	You cannot ride while your transformed. 
CHANGE_CHANNEL_UNAVAILABLE	Channel not available. 
CHANGE_CHANNEL_ALREADY	You are already on the selected channel. 
CHANGING_CHANNEL	Your are changing the channel! 
Cannot equip a costume not matching the weapon type.	You cannot equip a costume not matching the weapon type. 
Cannot equip a costume without a weapon	You cannot equip a costume without a weapon. 
Chat has been banned on the operator form.	Chat has been banned on the operator form. 
Do not spam the chat!	Do not spam the chat! 
ELK_SET_TO_%lld	%lld has been added.
FISH_MIND	Fish Skill 
ITEM_CANNOT_BE_DESTROYED	This item cannot be destroyed. 
ITEM_IS_NOT_SEALED	This item is not sealed! 
ITEM_IS_SEALED_CANNOT_DO	This item is sealed! 
Inventory sorting only every 15 seconds	Inventory sorting only every 15 seconds
NO_PLAYER_FOUND_BY_NAME	The character was not found. 
OFFLINE_MESSAGE_SUCCESS	The offline message was sent successfully! 
PRIVATE_SHOP_SEARCH_SYSTEM_DISABLED	Currently the shopsearch is disabled. 
SAFEBOX	Storage Place 
TRADE_COMPLETED_WITHOUT_GOODS_EXCHANGE	The trade was without any items and gold successful. 
TRADE_STARTED	Trading started. 
This is not the correct evolution item for this item or it has none	This is not the correct evolution item for this item or it has none. 
This item cannot be used on this map	This item cannot be used on this map 
WEDDING_ENDING_LEAVE	The wedding ended. 
WEDDING_ENDING_SOON	The wedding will end soon. 
YOU_ADDED_%d_OF_EXCHANGE_ITEM_%s	You have added %d to %s. 
YOU_ADDED_EXCHANGE_ITEM_%s	You added %s. 
YOU_CANNOT_DROP_GOLD	You cannot drop gold. 
YOU_CANNOT_OPEN_SHOP_ON_THIS_MAP	You cannot open a shop on this map. 
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	You can only change your shopname once in 60 minutes (%02d:%02d übrig) 
YOU_DECREASED_EXCHANGE_GOLD_TO_%s	You reduced the gold to %s. 
YOU_HAVE_%s_GOLD_WAITING_WITHDRAW_SHOP	you have %s gold in your offlineshop. 
YOU_INCREASED_EXCHANGE_GOLD_TO_%s	You increased the gold to %s. 
YOU_READIED_UP_EXCHANGE	You prepare the trading. 
YOU_REMOVED_%d_OF_EXCHANGE_ITEM_%s	you removed %d to %s. 
YOU_REMOVED_EXCHANGE_ITEM_%s	You removed the item %s. 
YOU_REMOVED_READY_EXCHANGE	You have stopped the trading. 
You blocked %s	%s ist blockiert! 
You can not change the equipment you are wearing while you are polymorphed.	You can not change the equipment you are wearing while you are polymorphed.
You can only adjust your points while you are still.	You can only adjust your points without moving.
You can post a new comment in: %02d minutes and %02d seconds!	You can post a new comment in: %02d minutes and %02d seconds seconds! 
You can wear it only when you are still.	You can wear it only when you dont move.
You cannot activate two items of this kind.	You cannot activate two items of this kind.
You cannot block a game master	You cannot block a game master! 
You cannot change your teaching this way after choosing one.	You cannot change your teaching this way after choosing one. 
You cannot define a sealed item	You cannot define a sealed item! 
You cannot do this so fast.	You cannot do this so fast. 
You cannot equip this sash on this map	You cannot equip this sash on this map
You cannot open the guild storage without a guild.	You cannot open the guild storage without a guild.
You cannot use skills for 2 seconds after changing your equipment.	You cannot use skills for 0.5 seconds after changing your equipment. 
You have blocked private messages	You have blocked private messages! 
You need at least 3 free inventory slots to open a chest.	You need at least 3 free inventory slots to open a chest.
You need to be atleast level %d to use the shout chat.	You need to be atleast level %d to use the shout chat.
you cannot use this item on this map.	You cannot use this pet-seal-item on this map. 
{} do not spam in whispers	{} do not spam in whispers! 
{} does not accept private messages	{} does not accept private messages! 
{} is not online	{} is not online! 
더 이상 이 아이템으로 속성을 추가할 수 없습니다	The maximum number of bonuses has already been reached. 
성공적으로 속성이 추가 되었습니다	The bonus was added. 
Valentine chasm: Destroy all metins and get a gem!	Destroy all metins and get a gem!
Valentine chasm: You still have to destroy 5 metins	You still have to destroy 5 metins!
Valentine chasm: You still have to destroy 4 metins	You still have to destroy 4 metins!
Valentine chasm: You still have to destroy 3 metins	You still have to destroy 3 metins!
Valentine chasm: You still have to destroy 2 metins	You still have to destroy 2 metins!
Valentine chasm: You still have to destroy 1 metins	You still have to destroy 1 metins!
Valentine chasm: You destroyed all metin stones!	Valentine chasm: You destroyed all metin stones!
Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!	Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!
Valentine chasm: Monsters are coming!	Valentine chasm: Monsters are coming!
Valentine chasm: Kill them all!	Valentine chasm: Kill them all!
Valentine chasm: Find an unknown herb and take it to Lady.	Valentine chasm: Find an unknown herb and take it to Lady.
Valentine chasm: You will be teleported to the next level.	Valentine chasm: You will be teleported to the next level.
Valentine chasm: Kill all monsters!	Valentine chasm: Kill all monsters!
Valentine chasm: Destroy the right metin to spawn rhodolite ore!	Valentine chasm: Destroy the right metin to spawn rhodolite ore!
Valentine chasm: Rhodolite ore was just spawned!	Valentine chasm: Rhodolite ore was just spawned!
Valentine chasm: There was nothing in this metin.	Valentine chasm: There was nothing in this metin.
Valentine chasm: This ore is too hard.	Valentine chasm: This ore is too hard.
Valentine chasm: Even a pick is too weak for it.	Valentine chasm: Even a pick is too weak for it.
Valentine chasm: Let's speak with dryade again.	Valentine chasm: Let's speak with dryade again.
Valentine chasm: Open the ore with magic dust	Valentine chasm: Open the ore with magic dust
Valentine chasm: Give the rhodolite to dryade.	Valentine chasm: Give the rhodolite to dryade.
Valentine chasm: You get a chocolate.	Valentine chasm: You get a chocolate.
Valentine chasm: Look, Lady Valentine. Go to speak with her!	Valentine chasm: Look, Lady Valentine. Go to speak with her!
Valentine chasm: Fast!!	Valentine chasm: Fast!!
Valentine chasm: Give the poisoned chocolate to dryade!	Valentine chasm: Give the poisoned chocolate to dryade!
Dryade: You've killed me!	Dryade: You've killed me!
Dryade: You fooooool!	Dryade: You fooooool!
Valentine chasm: You've killed valentine tree!	Valentine chasm: You've killed valentine tree!
Valentine chasm: Dungeon was succesfully finished!	Valentine chasm: Dungeon was succesfully finished!
Valentine chasm: Kill the Valentine tree	Valentine chasm: Kill the Valentine tree
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: Let's speak with ghost of Lady Valentine	Valentine chasm: Let's speak with ghost of Lady Valentine
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: Another wave of monsters is coming!	Valentine chasm: Another wave of monsters is coming!
Valentine chasm: Valentine tree doesn't want to give up!"	Valentine chasm: Valentine tree doesn't want to give up!"
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: But something is wrong.. Lady Valentine is not here	Valentine chasm: But something is wrong.. Lady Valentine is not here
Valentine chasm: Look, Dryade!	Valentine chasm: Look, Dryade!
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: 15 minutes left!	Valentine chasm: 15 minutes left!
Valentine chasm: 10 minutes left!	Valentine chasm: 10 minutes left!
Valentine chasm: 5 minutes left!	Valentine chasm: 5 minutes left!
Valentine chasm: You are running out of time! Hurry up!	Valentine chasm: You are running out of time! Hurry up!
Valentine chasm: 1 minute left!	Valentine chasm: 1 minute left!
Valentine chasm: You are almost failed!!	Valentine chasm: You are almost failed!!
Valentine chasm: Time has expired!	Valentine chasm: Time has expired!
Valentine chasm: You failed!	Valentine chasm: You failed!
Valentine chasm: You will be teleported out of dungeon!	Valentine chasm: You will be teleported out of dungeon!


Easter dungeon: Now destroy all metin stones.	Easter dungeon: Now destroy all metin stones.
Easter dungeon: Defeat Evil easter rabbit!	Easter dungeon: Defeat Evil easter rabbit!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: Give the coin to rabbit!	Easter dungeon: Give the coin to rabbit!
Easter dungeon: He has cheated on you!	Easter dungeon: He has cheated on you!
Easter dungeon: Be careful! Monsters are coming!	Easter dungeon: Be careful! Monsters are coming!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: You've succefuly finished the dungeon!	Easter dungeon: You've succefuly finished the dungeon!
Easter dungeon: You will be teleported in 30 seconds.	You will be teleported in 30 seconds.
Easter dungeon: Well done! Now destroy an easter egg!	Easter dungeon: Well done! Now destroy an easter egg!
Easter dungeon: You've succesfuly killed all monsters.	Easter dungeon: You've succesfuly killed all monsters.
Easter dungeon: Destroy a metin stone to move on!	Easter dungeon: Destroy a metin stone to move on!
Easter dungeon: You will jump to next level!	Easter dungeon: You will jump to next level!
Easter dungeon: Destroy evil egg to get a key.	Easter dungeon: Destroy evil egg to get a key.
Easter dungeon: Kill all metin stones!	Easter dungeon: Kill all metin stones!
Easter dungeon: 15 minutes left!	Easter dungeon: 15 minutes left!
Easter dungeon: 10 minutes left!	60 minutes left!
Easter dungeon: 5 minutes left! The time is running out!	Easter dungeon: 5 minutes left! The time is running out!
Easter dungeon: 1 minutes left! You're almost failed!	Easter dungeon: 1 minutes left! You're almost failed!
Easter dungeon: You will be teleported out of dungeon!	Easter dungeon: You will be teleported out of dungeon!

Jagras: Kill all owls	Jagras: Kill all owls
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Something happened...	Jagras: Something happened...
Jagras: This key doesn't works. Next %s are coming!!	Jagras: This key doesn't works. Next %s are coming!!
Jagras: Kill them fast!!	Jagras: Kill them fast!!
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Destroy the metin in 2 minutes!!	Jagras: Destroy the metin in 2 minutes!!
Jagras: If you won't destroy it in 2 minutes,	Jagras: If you won't destroy it in 2 minutes,
Jagras: you will be out of the dungeon.	Jagras: you will be out of the dungeon.
Jagras: You succesfuly destroyed the metin!	Jagras: You succesfuly destroyed the metin!
Jagras: Monsters are coming!!	Jagras: Monsters are coming!!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: 4 metin stones left!	Jagras: 4 metin stones left!
Jagras: 3 metin stones left!	Jagras: 3 metin stones left!
Jagras: 2 metin stones left!	Jagras: 2 metin stones left!
Jagras: 1 metin stone left!	Jagras: 1 metin stone left!
Jagras: You've destroyed all metin stones.	Jagras: You've destroyed all metin stones.
Jagras: The gate to next floor is open!	Jagras: The gate to next floor is open!
Jagras: You've found first ingredient!	Jagras: You've found first ingredient!
Jagras: Be careful! Owls are coming!	Jagras: Be careful! Owls are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: There was nothing in this metin.	Jagras: There was nothing in this metin.
Jagras: Suran was defeated!	Jagras: Suran was defeated!
Jagras: You get another ingredient!	Jagras: You get another ingredient!
Jagras: Lira is alive thanks to you!	Jagras: Lira is alive thanks to you!
Jagras: Final floor is open now!	Jagras: Final floor is open now!
Jagras: 3 statues has left!	Jagras: 3 statues has left!
Jagras: 2 statues has left!	Jagras: 2 statues has left!
Jagras: 1 statue has left!	Jagras: 1 statue has left!
Jagras: All statues was destroyed!	Jagras: All statues was destroyed!
Jagras: Monsters are coming!	Jagras: Monsters are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: Perfect! Be prepared!	Jagras: Perfect! Be prepared!
Jagras: Jagras-Mu-Tai is coming!!!	Jagras: Jagras-Mu-Tai is coming!!!
Jagras: You succesfully finished the dungeon!	Jagras: You succesfully finished the dungeon!
Jagras: You will be teleported in 2 minutes	Jagras: You will be teleported in 30 seconds.
Jagras: out of dungeon.	Jagras: out of dungeon.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Watch out! Stronger monsters are coming!	Jagras: Watch out! Stronger monsters are coming!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Destroy all metin stones!	Jagras: Destroy all metin stones!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Suran is here!	Jagras: Suran is here!
Jagras: Defeat him!	Jagras: Defeat him!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Great job!	Jagras: Great job!
Jagras: Be careful now!	Jagras: Be careful now!
Jagras: 2 Surans are coming!	Jagras: 2 Surans are coming!
Jagras: Kill them!	Jagras: Kill them!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: 30 minutes left!	Jagras: 30 minutes left!
Jagras: 15 minutes left!	Jagras: 15 minutes left!
Jagras: 10 minutes left!	Jagras: 10 minutes left!
