ACCE_ABSORB_COST	Emiş fiyatı: {}
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	{}: 550 veya üzeri
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	{}: 400 - 549 arası
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	{}: 10 - 399 arası
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Tüm kartları açarsan 10 ekstra puan alırsın.
MINI_GAME_GIVEUP_QUESTION	Oyunu gerçekten durdurmak istediğinden emin misin? Bunu yaparak ödülden vazgeçiyorsun.
MINI_GAME_NOTICE_1	Başlangıç oyuncusunu belirlemek için "At" butonuna tıkla.
MINI_GAME_NOTICE_10	Ha! Bilgisayarı attın.
MINI_GAME_NOTICE_11	Ne şanssızlık! Bilgisayar seni attı.
MINI_GAME_NOTICE_12	Elinde Yut ya da Mo vardı ve bir kez daha atabilirsin.
MINI_GAME_NOTICE_13	Oyun bitti. Ödülü teslim al.
MINI_GAME_NOTICE_2	Yut çubukları at.
MINI_GAME_NOTICE_3	Bilgisayar başlangıç oyuncusunu belirlemek için Yut çubukları atıyor.
MINI_GAME_NOTICE_4	Bilgisayar daha düşük ya da eşdeğer atış yaptı ve başlama hakkını kazandı.
MINI_GAME_NOTICE_5	Daha düşük atış yaptın ve başlama hakkını kazandın.
MINI_GAME_NOTICE_6	Senin atışın: {}. {} kare ilerle.
MINI_GAME_NOTICE_7	Senin atışın: {}. 1 kare geri gitmen gerekiyor.
MINI_GAME_NOTICE_8	Atış: {}
MINI_GAME_NOTICE_9	Sıra bilgisayarda.
MINI_GAME_RUMI_DISCARD_QUESTION	Bu kartı atmak istediğinden emin misin?
MINI_GAME_RUMI_EXIT_QUESTION	Oyun turunu bitirip kazancını almak mı istersin?\nBu durumda puanların ve kalan kartların sıfırlanır!
MINI_GAME_RUMI_START_QUESTION	Oyuna katılmak için {} Yang ödeme yapman gerekiyor. Ayrıca {} kart setine sahip olmalısın.\nOyunu başlat?
MINI_GAME_YUTNORI_COM_WIN	Bazen sen kazanırsın, bazen başkaları.
MINI_GAME_YUTNORI_PC_WIN	İşte galipler böyle olur, lalalalala!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Puan durumu: {}
MINI_GAME_YUTNORI_RETHROW_BUTTON	At
MINI_GAME_YUTNORI_RETHROW_POPUP	Şanslısın! Sıra yine sende.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Yutnori'yi başlatmak için {} Yang ve {} Yutnori oyun tahtasına ihtiyacın var. \n Şimdi oynayacak mısın?
MINUTE	:Dakika
MONETARY_UNIT0	Yang
MONETARY_UNIT1	On Bin
MONETARY_UNIT2	Yüz Milyon
MONEY_INPUT_DIALOG_SELLPRICE	Satış Fiyatı:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	İptal
MOVE_CHANNEL_NOTICE	Kanal {} ile bağlısın.
MOVE_CHANNEL_NOT_MOVE	Kanalını değiştiremezsin.
MOVE_CHANNEL_SELECT	Tamam
MOVE_CHANNEL_TITLE	Kanal seçimi
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtığın sürece nesneleri başka yere taşıyamazsın.
MUSIC_EMPTY_MUSIC_LIST	Fon müziği yok.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standart Müziği
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyası seçilmedi.
NEEFD_REST	Önce dinlenmelisin.
NOT_YET_SUPPORT	Desteklenmiyor
OPEN_THE_SPECIAL_ACTION_KIT	{} duygulara eklendi.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada değilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu değiştirmek için ulaşmış olman gereken asgari seviye: {}.
PARTY_ANSWER_TIMEOVER	Davet reddedildi.
PARTY_BONUS_ATTACKER	Saldırı Değeri: +{}
PARTY_BONUS_BERSERKER	Saldırı Hızı: +{}
PARTY_BONUS_BUFFER	Beceri Süresi: +{}
PARTY_BONUS_DEFENDER	Savunma: +{}
PARTY_BONUS_EXP	EXP: {}%
PARTY_BONUS_SKILL_MASTER	Max. SP: +{}
PARTY_BONUS_TANKER	Max. HP: +{}
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	 grubunuza katılmak istiyor.
PARTY_DO_YOU_JOIN	 seni grubuna davet ediyor. Kabul etmek istiyor musun?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylaşımı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye bağlı
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanıyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	eşit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri aynı EXP i alır.
PARTY_HEAL_ALL_MEMBER	Her şeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluş faktör aralığı 1,5.
PARTY_INCREASE_AREA_200	Grup kuruluş faktör aralığı 2.
PARTY_LEAVE	Grubu terket
PARTY_LONGTIME_BONUS_EXP	Uzun bir grup oyunu için kazanılan EXP: +{}%
PARTY_MATCH_CANCEL	[{}] İçin grup araması iptal edildi.
PARTY_MATCH_FAIL_FULL_MEMBER	Grubun başka üye kabul edemez.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Bu zindana kaydolamazsın.
PARTY_MATCH_FAIL_LEVEL	Seviyen çok düşük.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Üye {} gerekli şartları yerine getirmiyor.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Lütfen önce bir zindan seç.
PARTY_MATCH_FAIL_NOT_LEADER	Yalnızca grup lideri kayıt yaptırabilir.
PARTY_MATCH_FAIL_NO_ITEM	Yeterli {} yok.
PARTY_MATCH_SEARCHING	Ara
PARTY_MATCH_START	Grubunu şu zindana kaydettin: [{}]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Grup üyesini çağır.
PARTY_REGEN_BONUS	Yeniden oluşum HP- + SP primi: +{}%
PARTY_REQUEST_DENIED	Başvurun reddedildi.
PARTY_RK_CATEGORY_CZ_CHICKEN	Bekçi Yu Sıralama Listesi
PARTY_RK_CATEGORY_CZ_COW	Bekçi Chou Sıralama Listesi
PARTY_RK_CATEGORY_CZ_DOG	Bekçi Xu Sıralama Listesi
PARTY_RK_CATEGORY_CZ_DRAGON	Bekçi Chen Sıralama Listesi
PARTY_RK_CATEGORY_CZ_HORSE	Bekçi Wu Sıralama Listesi
PARTY_RK_CATEGORY_CZ_MONKEY	Bekçi Shen Sıralama Listesi
PARTY_RK_CATEGORY_CZ_MOUSE	Bekçi Zi Sıralama Listesi
PARTY_RK_CATEGORY_CZ_PIG	Bekçi Hai Sıralama Listesi
PARTY_RK_CATEGORY_CZ_RABBIT	Bekçi Mao Sıralama Listesi
PARTY_RK_CATEGORY_CZ_SHEEP	Bekçi Wei Sıralama Listesi
PARTY_RK_CATEGORY_CZ_SNAKE	Bekçi Si Sıralama Listesi
PARTY_RK_CATEGORY_CZ_TIGER	Bekçi Yin Sıralama Listesi
PARTY_SET_ATTACKER	Saldırı gücü olarak belirle
PARTY_SET_BERSERKER	Berserker olarak belirle.
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarları.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakın Dövüş Savasçısı olarak belirle.
PARTY_SKILL_ATTACKER	Saldırı gücü olarak temel saldırı değeri +{:.0f}
PARTY_SKILL_BERSERKER	Berserker saldırı hızı +{:.0f}
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +{:.0f}
PARTY_SKILL_DEFENDER	Savunmacıların Savunması +{:.0f}
PARTY_SKILL_HP_REGEN	HP üretimi +{:.0f}
PARTY_SKILL_PARTY_AREA	Grup sırası +{:.0f}
PARTY_SKILL_SKILL_MASTER	Max. SP Beceri Masterı +{:.0f}
PARTY_SKILL_SP_REGEN	SP üretimi +{:.0f}
PARTY_SKILL_TANKER	Max. HP Yakın Dövüş Saldırı Gücü +{:.0f}
PARTY_SKILL_WARP	Grup üyelerini çağırmak mümkün.
PASSWORD_TITLE	Depo Şifresi
PET_ATTR_CHANGE_DIALOG_TEXT	Petinin özniteliklerini şimdi değiştir?\n "Pet efsunla" eşyası bu durumda tüketilir.\n İşlem başarısız olabilir
PET_ATTR_CHANGE_USE	Pet öznitelikleri dönüştürülürken bu eylem gerçekleştirilemez.
PET_ATTR_DETERMINE_TYPE1	Pet tipi 1: sakar. Çok güçlü değil.\nZamanla becerilerini artırabilirsin.
PET_ATTR_DETERMINE_TYPE2	Pet tipi 2: meraklı. Çok güçlü değil\nZamanla becerileri artan sadık bir yoldaş.
PET_ATTR_DETERMINE_TYPE3	Pet tipi 3: yürekli. Orta derecede güçlü.\nZamanla becerilerini artırabilirsin.
PET_ATTR_DETERMINE_TYPE4	Pet tipi 4: cesur. Orta derecede güçlü\nZamanla becerileri daha da artan sadık bir yoldaş.
PET_ATTR_DETERMINE_TYPE5	Pet tipi 5: gözükara. Güçlü\nZamanla becerilerini daha da artırabilirsin.
PET_ATTR_DETERMINE_TYPE6	Pet tipi 6: efsanevi. Güçlü\nZamanla becerileri daha da artan sadık bir yoldaş.
PET_ATTR_DETERMINE_TYPE7	Pet tipi 7: mitsi. Çok güçlü\nZamanla tüm potansiyeli ortaya çıkar.
PET_ATTR_DETERMINE_TYPE8	Pet tipi 8: prizmatik. Aşırı güçlü\nGüvenebileceğin sadık bir yoldaş.
PET_BAG_DESC	{}
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Ölü bir petin özniteliklerini dönüştüremezsin.
PET_CAN_NOT_EGG_ITEM_USE	Ticaret yaparken, kampın veya özel dükkanın açıkken kuluçka makinesini açamazsın.
PET_CAN_NOT_FEED_SPLIT_ITEM	Paylaşılan bir nesneyi bu pencereye koyamazsın.
PET_CAN_NOT_FEED_TYPE	Petini bu şekilde besleyemezsin. Lütfen başka bir eylemle dene.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Petin, eğitilmesi ve bir sonraki gelişme aşamasına yükselmesi için {}. seviyede olmalı.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Petin, eğitilmesi ve bir sonraki gelişme aşamasına yükselmesi için %100 deneyime sahip olmalı.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Petin zaten en yüksek gelişme aşamasına ulaştı.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Petini çağırdıktan sonra özel dükkanını açabilirsin.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Petin, eğitim ve bir sonraki gelişme aşamasına yükselmek için {} günlük olmalı.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Petini çağıramazsın çünkü süresi geçmiş.
PET_CAN_NOT_USE_BAG	Nakliye kutusunu kullanamazsın çünkü petinin süresi geçmiş.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Pet sıfırlanabilecek becerilere sahip değil.
PET_HATCHING_ACCEPT	Petine "{}" adını vermek istiyor musun?
PET_HATCHING_MONEY	Fiyat: {}
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Kuluçka makinesi açıkken etkileşimde bulunamazsın.
PET_INFORMATION_STAGE1	Genç
PET_INFORMATION_STAGE2	Yabani
PET_INFORMATION_STAGE3	Cesur
PET_INFORMATION_STAGE4	Destansı
PET_INFO_EXP	Güncel tecrübe:
PET_INFO_ITEM_EXP	Güncel Nesne EXP
PET_INFO_NEXT_EXP	Kalan tecrübe:
PET_INFO_NEXT_ITEM_EXP	Kalan Nesne EXP
PET_MSG_NOT_ENOUGH_MONEY	Yeterli Yang'a sahip değilsin.
PET_NAME_CHANGE_ACCEPT	Petinin ismini "{}" olarak değiştirmek mi istiyorsun?
PET_NAME_MIN	Girilen isim çok kısa.
PICK_ITEM_TITLE	Eşya No
PICK_MONEY_TITLE	Toplam
PRIVATESHOPSEARCH_ABLITY_POTION	Şebnem
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	İnce Kumaş
PRIVATESHOPSEARCH_ARMOR	Ekipman
PRIVATESHOPSEARCH_ARROW	Oklar
PRIVATESHOPSEARCH_BELL	Çanlar
PRIVATESHOPSEARCH_BELT	Kemer
PRIVATESHOPSEARCH_BLEND	İksirler
PRIVATESHOPSEARCH_BLOOD_PEARL	Kankırmızı İnci
PRIVATESHOPSEARCH_BLUE_PEARL	Mavi İnci
PRIVATESHOPSEARCH_BODY	Zırhlar
PRIVATESHOPSEARCH_BOW	Yay
PRIVATESHOPSEARCH_BUYTIME	Seçilen nesneyi satmak ister misin?
PRIVATESHOPSEARCH_CLAW	Pençeler
PRIVATESHOPSEARCH_CLEAR_POTION	Özütler
PRIVATESHOPSEARCH_COSTUME	Kostümler
PRIVATESHOPSEARCH_COSTUMEBODY	Kostüm
PRIVATESHOPSEARCH_COSTUMEHAIR	Saç Stili
PRIVATESHOPSEARCH_COSTUME_ACCE	Omuz Kuşakları
PRIVATESHOPSEARCH_COSTUME_MOUNT	Binek
PRIVATESHOPSEARCH_CRYSTAL	Kristal
PRIVATESHOPSEARCH_DAGGER	Hançerler
PRIVATESHOPSEARCH_DEAD	ölü
PRIVATESHOPSEARCH_DETACHMENT	Taş Sanatı Kitabı
PRIVATESHOPSEARCH_DIAMOND	Elmas
PRIVATESHOPSEARCH_DS	Ejderha Taşı Simyası
PRIVATESHOPSEARCH_DS_BLACK	Oniks
PRIVATESHOPSEARCH_DS_BLUE	Safir
PRIVATESHOPSEARCH_DS_GREEN	Yeşim
PRIVATESHOPSEARCH_DS_RED	Yakut
PRIVATESHOPSEARCH_DS_WHITE	Elmas
PRIVATESHOPSEARCH_DS_YELLOW	Grena
PRIVATESHOPSEARCH_EAR	Küpeler
PRIVATESHOPSEARCH_FAN	Yelpaze
PRIVATESHOPSEARCH_FISH	Balıklar
PRIVATESHOPSEARCH_FOOTS	Ayakkabılar
PRIVATESHOPSEARCH_GEM	Mücevherler
PRIVATESHOPSEARCH_GIFTBOX	Hediye Kutuları
PRIVATESHOPSEARCH_HEAD	Kasklar
PRIVATESHOPSEARCH_LIVE	canlı
PRIVATESHOPSEARCH_MATERIAL	Malzemeler
PRIVATESHOPSEARCH_METIN	Zihin Taşları
PRIVATESHOPSEARCH_NECK	Kolyeler
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Doğru paket olmadan nesne satın alamazsın.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Doğru paket olmadan nesne arayamazsın.
PRIVATESHOPSEARCH_NODELAY_POTION	HP Nesneleri
PRIVATESHOPSEARCH_ORE	Cevher
PRIVATESHOPSEARCH_PET	Pet Sistemi
PRIVATESHOPSEARCH_PETAGG	Pet Yumurtaları
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet Yetenek Kitapları
PRIVATESHOPSEARCH_PICK	Kazma
PRIVATESHOPSEARCH_POTION	İksirler
PRIVATESHOPSEARCH_QUEST	Görev
PRIVATESHOPSEARCH_QUIVER	Ok Çantası
PRIVATESHOPSEARCH_RESOURCE	Nesne Geliştirmesi
PRIVATESHOPSEARCH_ROD	Balıkçılık
PRIVATESHOPSEARCH_SELECTITEM	Nesne seçildi
PRIVATESHOPSEARCH_SHIELD	Kalkanlar
PRIVATESHOPSEARCH_SKILLBOOK	Yetenek Kitapları
PRIVATESHOPSEARCH_SKILLFORGET	Unutkanlık Kitabı
PRIVATESHOPSEARCH_SPECIAL	Diğer
PRIVATESHOPSEARCH_STONE	Enerji Parçası
PRIVATESHOPSEARCH_SWORD	Tek El Kılıçlar
PRIVATESHOPSEARCH_TREASUREBOX	Sandıklar
PRIVATESHOPSEARCH_TUNING	Parşömenler
PRIVATESHOPSEARCH_TWOSWORD	Çift El Kılıçlar
PRIVATESHOPSEARCH_UNIQUE	Eşsiz
PRIVATESHOPSEARCH_USEITEM	Tüketim Nesneleri
PRIVATESHOPSEARCH_USESPECIAL	Diğer
PRIVATESHOPSEARCH_WEAPON	Silahlar
PRIVATESHOPSEARCH_WHITE_PEARL	Beyaz İnci
PRIVATESHOPSEARCH_WRIST	Bilezik
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu eşyayı özel depoda satamazsın.
PRIVATE_SHOP_CLOSE_QUESTION	Özel depoyu kapatmak istiyor musun?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Özel deponun ismi
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PRIVATE_SHOP_IS_EMPTY	You can't open an empty shop.
	
PVP_MODE_GUILD	PvP - Lonca etkinleştirildi
HGUARD_CODE_ONLY_ALPHANUM	You can only use alpha numeric letters.
PVP_MODE_KILL	PvP - Serbest etkinleştirildi
PVP_MODE_NORMAL	PvP - Barış etkinleştirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinleştirildi.
PVP_MODE_REVENGE	PvP - Düşman etkinleştirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Barış
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Düşmanca
PVP_TOURNAMENT_DO_NOT_AUTO	PvP turnuvası sırasında otomatik saldırıyı kullanamazsın.
QUEST_APPEND	Yeni görev geldi.
QUEST_MIN	Dk.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman sınırı yok.
QUEST_ZEROSEC	0 sn.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hızlı erişim alanına eklenemez.
RANKING	Rütbe
RANKING_BOARD_MEMBER	Üyeler
RECEIVE_MESSAGE	{} mesaj gönderdi.
REFINE_COST	Yükseltme bedeli: {} Yang
REFINE_DESTROY_WARNING	Eşya arındırılırken yok olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bu nesneyi gerçekten yükseltmek istiyor musun?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Hata vermesi durumunda nesne yok olur. Devam etmek istiyor musun?
REFINE_DOWN_GRADE_WARNING	Eşyanın arındırılırken değeri düşebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tüm zihin taşları çıkarılsın mı?
REFINE_FAILURE	Tüh, olmadı. Beceremedik.
REFINE_FAILURE_CAN_NOT_ATTACH_STR	Bu nesneye {} katamazsın.
REFINE_FAILURE_DEL_ITEM	Arındırma başarılı olmadı. Nesne yok oldu.
REFINE_FAILURE_EQUIP_ITEM	Kullanılmakta olan nesneleri geliştiremezsin.
REFINE_FAILURE_GRADE_DOWN	Arındırma başarılı olmadı. Nesnenin derecesi düştü.
REFINE_FAILURE_KEEP_GRADE	Arındırma başarılı olmadı. Neyse ki nesneye bir şey olmadı.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Çıkarabileceğiniz zihin taşı yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yükseltme Rolesine ihtiyacınız var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada {} eklemek için altın yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	{} eklemek için boş slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yükseltilemez.
REFINE_SUCCESS	Nesnenin yükseltilmesi başarıyla tamamlandı.
REFINE_SUCCESS_PROBALITY	Yükseltme şansı {}%
REFINE_WARNING2	Devam etmek istiyor musun?
REVIVE_QUESTION	{} Adlı oyuncuyu diriltmek istiyor musun? Uyanış prizması sayısı: {} adet
REVIVE_SELF_QUESTION	Diriltme işlemini yapmak istiyor musun? Uyanış prizması sayısı: {} adet
SAFEBOX_ERROR	Yanlış şifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumalı nesneleri satamazsınız.
SAFEBOX_WRONG_PASSWORD	Şifre aynı olmalı.
SCREENSHOT_SAVE1	Ekran Görüntüsü
SCREENSHOT_SAVE2	Dosyası Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydı yapılamadı.
SECOND	:Saniye
SELECT_ATTR_NOTICE	Efsun Nesnesi+ kullanırken özel dükkan açamazsın.
SELECT_ATTR_NOT_OPEN	Özel dükkan açıkken Efsun Nesnesi+ kullanamazsın.
SELECT_ATTR_NOT_SELECT	Bonuslar kalsın mı yoksa takas mı edersin?
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	O bir lonca üyesi olduğu sürece karakterini silemezsin.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Ruha bağlı eşyalara sahip olduğu için karakterini silemezsin.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Deponda eşyalar olduğu için tek karakterini islemezsin.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Karakterini sadece maksimum seviye 69'a kadar silebilirsin.
SELECT_CAN_NOT_DELETE_MARRIAGE	Evli bir karakteri silemezsin.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Silme kodu yanlış.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Bu karakteri oluşturduktan hemen sonra silemezsin. Bekleme süresi: {}
SELECT_CHANGED_NAME	Karakterin adını değiştirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adı kullanılıyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adını değiştir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Başarıyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boş bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adı gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SERVER_NOTIFY_CLOSED	Kapalı sunucu: Sadece VIP statülü hesaplar ve kapatmadan önce oluşturulan hesaplar buraya girebilir.
SERVER_STATUS_CLOSE	KAPALI
SERVER_STATUS_NEW	YENİ
SERVER_STATUS_SPECIAL	ÖZEL
SHOP_BUY_INFO	Market penceresinden satın almak istediğin nesneyi seç.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanılmakta olan nesneleri satamazsın.
SHOP_CANNOT_SELL_ITEM	Bu eşya satılamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatası: {}
SHOP_EXCEED_LIMIT_TODAY	Günlük puan kullanımı limitini aştın.
SHOP_INVALID_POS	Bu eşya burada kullanılamaz.
SHOP_INVENTORY_FULL	Envanterde boş alan yok.
SHOP_LIMITED_DATA_LOADING	Veriler şu anda yükleniyor. Daha sonra tekrar dene.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Kalan nesneler: {}
SHOP_LIMITED_PURCHASE_OVER	Tükendi
SHOP_LIMIT_TODAY	Günlük limit: {}/{}
SHOP_MY_BATTLE_POINT	Savaş Puanı: {}
SHOP_NOT_ENOUGH_10TH_COIN	Yeterince yıl dönümü parasına sahip değilsin.
SHOP_NOT_ENOUGH_BATTLE_POINT	Savaş puanın yetersiz.
SHOP_NOT_ENOUGH_MONEY	Yeterli Yang yok
SHOP_NOT_ENOUGH_CASH	Yeterli Coins yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli {}'a sahip değilsin.
SHOP_SELL_INFO	Envanter penceresinden satmak istediğin nesneyi seç.
SHOP_SOLDOUT	Satıldı
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: {}
SKILL_BLEEDING	Kanama
SKILL_BOHO	Yansıtma
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi öğrenmek için EXP e ihtiyacın var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyacın var.
SKILL_CHEONGEUN	Güçlü Beden
SKILL_CRITICAL	Kritik Vuruş
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_EUNHYEONG	Kamuflaj
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Sürekli Ateş
SKILL_FISHMIND	Balıkçılık Küresi etkin
SKILL_GAMJI	Yakalama
SKILL_GEOMGYEONG	Hava Kılıcı
SKILL_GICHEON	Ejderha Yardımı
SKILL_GIGONG	Chi Dönüşü
SKILL_GONGPO	Dehşet
SKILL_GRADE_NAME_GRAND_MASTER	{} Grand Master
SKILL_GRADE_NAME_MASTER	{} Master
SKILL_GRADE_NAME_PERFECT_MASTER	{} Perfect Master
SKILL_GROUP_ASSASSIN_1	Bıçakçı
SKILL_GROUP_ASSASSIN_2	Okçu
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileştirme
SKILL_GROUP_SURA_1	B.Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adım
SKILL_HEUKSIN	Karanlık Koruma
SKILL_HOSIN	Kutsama
SKILL_INC_ATKSPD	Saldırı hızı arttırıldı
SKILL_INC_MOVSPD	Hareket hızı arttırıldı
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	İyileştirme
SKILL_JEONGWI	Öfke
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldırı
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Hız +
SKILL_JUMAGAP	Büyülü Zırh
SKILL_KWAESOK	Hız
SKILL_MUYEONG	Ateş Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boş şişem yok.
SKILL_NEED_POISON_BOTTLE	Zehir şişem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaşı sırasında kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldırı
SKILL_SEOMGWANG	Şimşek Bombası
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavaş
SKILL_STUN	Sersemletme
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Çağırma şansı: {}%
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldırısı yükseltildi.
SKILL_TUSOK	Hayalet Vuruş
SOUL_ITEM_TOOLTIP_APPLY	Efekt etkinleştirildi
SOUL_ITEM_TOOLTIP_BLUE1	Oyun süresi: {}/{} dak. 
SOUL_ITEM_TOOLTIP_BLUE2	Oyun süresine ulaşıldığında, beceri hasarı x{:.1f} artar
SOUL_ITEM_TOOLTIP_COMMON	Şunlarda geçerli değildir: PvP, dönüşüm
SOUL_ITEM_TOOLTIP_RED1	Oyun süresi: {}/{} dak. 
SOUL_ITEM_TOOLTIP_RED2	Oyun süresine ulaşıldığında, saldırı hasarı x{:.1f} artar
