ACCEPT	Tamam
MINI_GAME_YUTNORI_YUTSEM5	Pzt
MINI_GAME_YUTNORI_YUTSEM2	Gae
NEW_OPTIONS_WINDOW_DISPLAY_MODE_WINDOWED	Pencere
NEW_OPTIONS_WINDOW_MARK_NEW_ITEMS_CHECK_BOX	Yeni İtemler İşaretle
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan Kıyametler
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLE_RANGE_LABEL	Mağaza Adı Aralığı
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_CHECK_BOX	Düşen İtemleri Göster
ADMIN_MANAGER_BAN_CHAT_RESULT_BAN_BUTTON	Sperren
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-up'ı göster / gizle
NEW_OPTIONS_WINDOW_TAB0_NAME	Genel Ayarlar
MINI_GAME_FISH_TITLE	Balıkçılık Yapboz
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_BUTTON	TAMAM MI
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Suchen
ADMIN_MANAGER_MAPVIEWER_SELECT_BUTTON	Ansehen
NEW_OPTIONS_WINDOW_SHOW_NPC_NAME_CHECK_BOX	NPC Adlarını Göster
ROULETTE_TITLE	Ödüller
ADMIN_MANAGER_OBSERVER_NAVI_BTN_2	Ausrüstung
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN0_NAME	Karakter
NEW_OPTIONS_WINDOW_SHOW_NPC_MOUNTS_CHECK_BOX	Binekleri Göster
NEW_OPTIONS_WINDOW_PICKUP_EQ_CHECK_BOX	Pikap Ekipmanları
NEW_OPTIONS_WINDOW_GM_NOTIFY_CHECK_BOX	Çevrimiçi GM Bildirimi
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_PROOF	Beweis
MINI_GAME_YUTNORI_REMAIN_COUNT	Hareketler
ADMIN_MANAGER_OBSERVER_CHATBAN_TITLE	Chat-Sperre
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DURATION_NEW	Dauer
ADMIN_MANAGER_BAN_CHAT_SEARCH_BUTTON	Suchen
NEW_OPTIONS_WINDOW_BGM_VOLUME_LABEL	Müzik sesi
NEW_OPTIONS_WINDOW_SHOW_COUNTRY_FLAGS_CHECK_BOX	Bayrakları Göster
MINI_GAME_CATCHKING_SCORE	Puanlar
NEW_OPTIONS_WINDOW_IGNORE_WHISPER_CHECK_BOX	Fısıltı
ADMIN_MANAGER_NAVI_BTN_1	Allgemeines
ADMIN_MANAGER_ITEM_MAIN_TABLE_INAME	Öğe adı
MINI_GAME_CATCHKING_REWARD	Ödülünüz
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_FAR	Uzak
MINI_GAME_YUTNORI_YUTSEM6	Geri Perş
NEW_OPTIONS_WINDOW_SHOW_EVENT_METIN_SKIN_CHECKBOX	Etkinlik Metinstone'larını göster
MINI_GAME_FINDM_UPGRADE_RECV	Ürün Al
ADMIN_MANAGER_MAPVIEWER_STOP_BUTTON	Durdurmak için
NEW_OPTIONS_WINDOW_VIEW_DIST_LABEL	Görüş Mesafesi
NEW_OPTIONS_WINDOW_SOFTWARE_TILING_LABEL	Yazılım döşeme
MINI_BOSS_TITLE	Zodyak Kıyamet
NEW_OPTIONS_WINDOW_DISPLAY_MODE_LABEL	Ekran modu
ADMIN_MANAGER_MAPVIEWER_MOB_OPTION	Canavarları göster
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN2_NAME	Karakter Ayarları
MINI_BOSS_DUNGEON_TITLE_POINT	Kıyamet Puanları
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_VERY_HIGH	maksimum
ADMIN_MANAGER_BAN_CHAT_RESULT_BACK_BUTTON	Geri
ADMIN_MANAGER_NAVI_BTN_2	MapViewer
ADMIN_MANAGER_ITEM_MAIN_TABLE_OID	Sahip kimliği
NEW_OPTIONS_WINDOW_IGNORE_PARTY_INVITE_CHECK_BOX	Grup talebi
NEW_OPTIONS_WINDOW_SHOW_MOB_AGGRO_CHECK_BOX	Canavar Agresif Göster
NEW_OPTIONS_WINDOW_WHISPER_TP_BIG_LABEL	Fısıltı Çarpıtma
NEW_OPTIONS_WINDOW_SHOW_SPECULAR_CHECKBOX	Pırıltıları Göster
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LABEL	Gölge seviyesi
MINI_BOSS_DUNGEON_TITLE_NUM	Sıra
NEW_OPTIONS_WINDOW_SHOW_NAME_BIG_LABEL	İsimleri Göster / Gizle
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_NONE	Yok
MINI_GAME_YUTNORI_SCORE	Puan
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN3_NAME	Toplama Filtresi
NEW_OPTIONS_WINDOW_SHOW_ITEM_NAME_CHECK_BOX	Öğe Adlarını Göster
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER_BUTTON	Haydi!
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_NAME	Soyadı
NEW_OPTIONS_WINDOW_SHOW_MONSTER_NAME_CHECK_BOX	Canavar Adlarını Göster
NEW_OPTIONS_WINDOW_IGNORE_TRADE_CHECK_BOX	Takas Talebi
NEW_OPTIONS_WINDOW_TNL_CPU	İşlemci
NEW_OPTIONS_WINDOW_TAB2_NAME	Ses
MINI_GAME_FINDM_UPGRADE_TITLE	Ödülü Geliştirin
MINI_GAME_FINDM_START_BTN	Oyunu başlatmak
NEW_OPTIONS_WINDOW_IGNORE_DUEL_REQ_CHECK_BOX	Düello isteği
CHARACTER_WINDOW_EXP	Deneyim
CHARACTER_WINDOW_EXP_RE	Gerekli Süre
CHARACTER_WINDOW_STATUS	İstatistik
CHARACTER_WINDOW_AVA	Mevcut
CHARACTER_WINDOW_ATT	Öznitellikler
CHARACTER_WINDOW_DMG	Hasar
CHARACTER_WINDOW_DEF	Savunma
CHARACTER_WINDOW_MOVESPEED	Hareket\nHız
CHARACTER_WINDOW_ATTACKSPEED	Saldırı\nHız
CHARACTER_WINDOW_CASTESPEED	Yayın\nHız
CHARACTER_WINDOW_MAGICDMG	Büyülü\nHasar
CHARACTER_WINDOW_MAGICDEF	Büyülü\nDefence
CHARACTER_WINDOW_DODGE	Atlatmak
CHARACTER_WINDOW_SKILLS	Beceriler
CHARACTER_WINDOW_EMOTIONS	Duygular
CHARACTER_WINDOW_QUESTS	Görevler
CHARACTER_WINDOW_STATS	İstatistikler
SELECT_CHARACTER_INFORMATION	Karakter bilgisi
SELECT_CHARACTER_STATS	Karakter durumu
CHARACTER_WINDOW_HP	HP
HUNT_MISSION_TITLE	Hunting Mission
OPTIONSWINDOW_BIG_LABEL_ETC	Other
OPTIONSWINDOW_PICKUP_TALISMAN	Talisman
OPTIONSWINDOW_PICKUP_RING	Ring
OPTIONSWINDOW_PICKUP_ELIXIR	Elixir
GAME_DUNGEON_REJOIN	Back to the Dungeon
CAMERA_PERSPECTIVE	Perspektif Görüş
SENDMESSAGES	Gönder
SWITCHBOT_TITLE	Efsun Botu
WORLDBOSS_TITLE	WorldBoss Bilgi
WORLDBOSS_INFO	Bilgi
PREVIEW_TITLE	Ön İzleme Penceresi
REGISTER_TITLE_BAR	Kayıt Paneli
REGISTER_TITLE_USERNAME	Kullanıcı Adı
REGISTER_TITLE_MAIL	Mail Adresi
REGISTER_TITLE_BOT_CONTROL	Bot Kontrolü Sorusu
REGISTER_TITLE_DELETE_CODE	Karakter Silme Kodu
REGISTER_TITLE_PASSWORD	Şifre
MAINTENANCE_TITLE	|cffff0000Planlanmış Bakım;
BATTLEPASS_TEXT9	Görev Durumu: Henüz bitmedi.
BATTLEPASS_TEXT10	Genel İlerleme
BATTLEPASS_TEXT11	Görev Açıklaması
BATTLEPASS_TEXT12	Bilgi
