ACCE_ABSORB_COST	Pret Absorbtie: {}
MINI_GAME_NOTICE_10	Ha! Ai оnvins calculatorul!
MINI_GAME_NOTICE_11	Ghinion! Calculatorul te-a оnvins.
MINI_GAME_NOTICE_12	Ai avut Yu sau Mo єi poюi arunca din nou.
MINI_GAME_NOTICE_13	Jocul s-a terminat. Colecteazг recompensa.
MINI_GAME_NOTICE_2	Aruncг Beюe Yut.
MINI_GAME_NOTICE_3	Calculatorul aruncг Beюe Yut pentru a determina jucгtorul care оncepe.
MINI_GAME_NOTICE_4	Ai egalat sau calculatorul are cel mai mic scor de aruncat. Calculatorul va оncepe.
MINI_GAME_NOTICE_5	Ai avut cel mai mic scor de aruncare єi vei оncepe.
MINI_GAME_NOTICE_6	Aruncarea ta: {}. Mergi оnainte {} spaюii.
MINI_GAME_NOTICE_7	Aruncarea ta: {}. Trebuie sг muюi 1 spaюiu оnapoi.
MINI_GAME_NOTICE_8	Aruncare: {}
MINI_GAME_NOTICE_9	Este rвndul calculatorului.
MINI_GAME_RUMI_DISCARD_QUESTION	Eєti sigur cг doreєti sг laєi acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Doreєti sг termini jocul єi sг colectezi premiul?\nScorul tгu єi cгrюile rгmase se vor reseta!
MINI_GAME_RUMI_START_QUESTION	Trebuie sг plгteєti o taxг de {} Yang pentru a juca. Ai nevoie єi de {} Set(uri) de Carduri.\nDoreєti sг оncepi jocul?
MINI_GAME_YUTNORI_COM_WIN	Cвєtigi ceva, pierzi ceva.
MINI_GAME_YUTNORI_PC_WIN	Cгtre victorie єi recompensг!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Scor: {}
MINI_GAME_YUTNORI_RETHROW_BUTTON	Aruncг
MINI_GAME_YUTNORI_RETHROW_POPUP	Norocosule! Este rвndul tгu din nou.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Ai nevoie de {} Yang єi {} Plгci Yut Nori pentru a оncepe jocul Yut Nori. \n Joci acum?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutг de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preю de vвnzare:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Anuleazг
MOVE_CHANNEL_NOTICE	Acum eєti conectat la canalul {}.
MOVE_CHANNEL_NOT_MOVE	Nu poюi schimba canalul.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Canale
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poюi muta obiectul dacг ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicг de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiєier de muzicг.
NEEFD_REST	Trebuie sг te odihneєti оntвi.
NOT_YET_SUPPORT	Nu este suportat.
OPEN_THE_SPECIAL_ACTION_KIT	{} adгugat la emoюii.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poюi activa modul breaslг dacг nu aparюii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poюi folosi configuraюia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sг fi atins minim nivelul {} pentru a activa modul PvP.
PARTY_ANSWER_TIMEOVER	Invitatia a fost respinsa.
PARTY_BONUS_ATTACKER	Valoare atac: +{}
PARTY_BONUS_BERSERKER	Vitezг de atac: +{}
PARTY_BONUS_BUFFER	Durata Skill: +{}
PARTY_BONUS_DEFENDER	Apгrare: +{}
PARTY_BONUS_EXP	Bonus-EXP: {}%
PARTY_BONUS_SKILL_MASTER	Max. PM: +{}
PARTY_BONUS_TANKER	Max. PV: +{}
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	 doreєte sг se alгture Grupului.
PARTY_DO_YOU_JOIN	, accepti invitaюia de a intra оn grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai оnalt primeєte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toюi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mгritг de 1,5 ori.
PARTY_INCREASE_AREA_200	Autonomia grupei mгritг de 2 ori.
PARTY_LEAVE	Pгrгseєte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus pentru joc de grupг lung: +{}%
PARTY_MATCH_CANCEL	Cгutarea grupului pentru {} a fost anulatг.
PARTY_MATCH_FAIL_FULL_MEMBER	Grupul tгu nu mai poate accepta membri.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nu te poюi оnregistra pentru aceastг temniюг.
PARTY_MATCH_FAIL_LEVEL	Nivelul tгu este prea mic.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Membrul {} nu оndeplineєte cerinюele necesare.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Alege mai оntвi temniюa.
PARTY_MATCH_FAIL_NOT_LEADER	Doar conducгtorul grupului poate оnregistra.
PARTY_MATCH_FAIL_NO_ITEM	Nu ai suficent {}.
PARTY_MATCH_SEARCHING	Cautг
PARTY_MATCH_START	Ai оnscris grupul pentru urmгtoarea temniюг: {}!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigг membru al grupei оncoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV + PM: +{}%
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ranguri Gardian You
PARTY_RK_CATEGORY_CZ_COW	Ranguri Gardian Chou
PARTY_RK_CATEGORY_CZ_DOG	Ranguri Gardian Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Ranguri Gardian Chen
PARTY_RK_CATEGORY_CZ_HORSE	Ranguri Gardian Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Ranguri Gardian Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Ranguri Gardian Zi
PARTY_RK_CATEGORY_CZ_PIG	Ranguri Gardian Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Ranguri Gardian Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Ranguri Gardian Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Ranguri Gardian Si
PARTY_RK_CATEGORY_CZ_TIGER	Ranguri Gardian Yin
PARTY_SET_ATTACKER	Stabileєte ca atacator.
PARTY_SET_BERSERKER	Stabileєte ca berserker.
PARTY_SET_BUFFER	Stabileєte ca blocant.
PARTY_SET_DEFENDER	Stabileєte ca apгrгtor.
PARTY_SET_NORMAL	Anuleazг setarea.
PARTY_SET_SKILL_MASTER	Stabileєte ca Maestru al Abilitгюii.
PARTY_SET_TANKER	Stabileєte ca luptгtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazг atac atacator +{:.0f}
PARTY_SKILL_BERSERKER	Viteza de atac berserker +{:.0f}
PARTY_SKILL_BUFFER	Durata Skill Blocant +{:.0f}
PARTY_SKILL_DEFENDER	Apгrare apгrгtor +{:.0f}
PARTY_SKILL_HP_REGEN	Regenerare PV +{:.0f}
PARTY_SKILL_PARTY_AREA	Autonomia grupei +{:.0f}
PARTY_SKILL_SKILL_MASTER	PM maestrul competenюei max. +{:.0f}
PARTY_SKILL_SP_REGEN	Regenerare PM +{:.0f}
PARTY_SKILL_TANKER	Max. PV luptator aproape +{:.0f}
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei оncoace.
PASSWORD_TITLE	Parola depozit
PET_ATTR_CHANGE_DIALOG_TEXT	Doreєti sг schimbi atributele оnsoюitorului acum?\nObiectul 'Оnsoюitor Magic' va fi folosit оn acest proces.\nProcesul poate eєua.
PET_ATTR_CHANGE_USE	Acюiunea nu poate avea loc оn timp ce atributele оnsoюitorului sunt modificate.
PET_ATTR_DETERMINE_TYPE1	Оnsoюitor Tip 1: neоndemвnatic. Nu este foarte puternic.\nVei putea sг оi оmbunгtгюeєti abilitгюile.
PET_ATTR_DETERMINE_TYPE2	Оnsoюitor Tip 2: indiscret. Nu este foarte puternic.\nUn оnsoюior loial ale cгrui abilitгюi se vor оmbunгtгюi cu timpul.
PET_ATTR_DETERMINE_TYPE3	Оnsoюitor Tip 3: vioi. Putere medie.\nVei putea sг оi оmbunгtгюeєti abilitгюile.
PET_ATTR_DETERMINE_TYPE4	Оnsoюitor Tip 4: curajos. Putere medie.\nUn оnsoюior loial ale cгrui abilitгюi se vor оmbunгtгюi cu timpul.
PET_ATTR_DETERMINE_TYPE5	Оnsoюitor Tip 5: оndrгzneю. Puternic.\nVei putea sг оi оmbunгtгюeєti abilitгюile єi mai mult.
PET_ATTR_DETERMINE_TYPE6	Оnsoюitor Tip 6: legendar. Puternic.\nUn оnsoюior loial ale cгrui abilitгюi se vor оmbunгtгюi mai mult cu timpul.
PET_ATTR_DETERMINE_TYPE7	Оnsoюitor Tip 7: mitic. Foarte puternic.\nVa ajunge оn timp la potenюial maxim.
PET_ATTR_DETERMINE_TYPE8	Оnsoюitor Tip 8: prismatic. Extrem de puternic.\nUn оnsoюitor loial pe care te vei putea baza mereu.
PET_BAG_DESC	{}
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nu poюi modifica atributele unui оnsoюitor mort.
PET_CAN_NOT_EGG_ITEM_USE	Nu poti deschide Incubatorul in timp ce faci negot, ai deschis depozitul sau un magazin privat.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nu poti pune obiecte sparte in aceasta fereastra.
PET_CAN_NOT_FEED_TYPE	Nu poюi hrгni оnsoюitorul cu asta. Оncearcг altceva.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Insotitorul trebuie sa aiba nivelul {} pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Insotitorul trebuie sa aiba 100% experienta pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Insotitorul a atins deja cel mai inalt grad al evolutiei.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nu poti deschide un magazin privat in timp ce ai chemat insotitorul.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Insotitorul trebuie sa aiba {} zile pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nu poti chema insotitorul deoarece a expirat valabilitatea.
PET_CAN_NOT_USE_BAG	Nu poti folosi Cutia de Transport deoarece insotitorul tau deja a expirat.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Оnsoюitorul nu are nicio abilitate de resetat.
PET_HATCHING_ACCEPT	Doresti sa iti chemi insotitorul '{}'?
PET_HATCHING_MONEY	Pret: {}
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nu poti avea nicio alta actiune in timp ce Incubatorul este deschis.
PET_INFORMATION_STAGE1	Tвnгr
PET_INFORMATION_STAGE2	Sгlbatic
PET_INFORMATION_STAGE3	Curajos
PET_INFORMATION_STAGE4	Eroic
PET_INFO_EXP	Experienta acumulata:
PET_INFO_ITEM_EXP	EXP obiect actual
PET_INFO_NEXT_EXP	Experienta ramasa:
PET_INFO_NEXT_ITEM_EXP	EXP obiect ramas
PET_MSG_NOT_ENOUGH_MONEY	Nu ai Yang suficient.
PET_NAME_CHANGE_ACCEPT	Doreєti sг schimbi numele оnsoюitorului оn {}?
PET_NAME_MIN	Numele introdus este prea scurt.
PICK_ITEM_TITLE	Numгrul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATESHOPSEARCH_ABLITY_POTION	Rouг
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Pвnzг Finг
PRIVATESHOPSEARCH_ARMOR	Echipament
PRIVATESHOPSEARCH_ARROW	Sгgeюi
PRIVATESHOPSEARCH_BELL	Clopote
PRIVATESHOPSEARCH_BELT	Curele
PRIVATESHOPSEARCH_BLEND	Licori
PRIVATESHOPSEARCH_BLOOD_PEARL	Perlг Viєinie
PRIVATESHOPSEARCH_BLUE_PEARL	Perlг Albastrг
PRIVATESHOPSEARCH_BODY	Armurг
PRIVATESHOPSEARCH_BOW	Arcuri
PRIVATESHOPSEARCH_BUYTIME	Vrei sг cumperi obiectul selectat?
PRIVATESHOPSEARCH_CLAW	Gheare
PRIVATESHOPSEARCH_CLEAR_POTION	Elixire
PRIVATESHOPSEARCH_COSTUME	Costume
PRIVATESHOPSEARCH_COSTUMEBODY	Costum
PRIVATESHOPSEARCH_COSTUMEHAIR	Coafurг
PRIVATESHOPSEARCH_COSTUME_ACCE	Eєarfe
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mounюi
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Pumnale
PRIVATESHOPSEARCH_DEAD	Mort
PRIVATESHOPSEARCH_DETACHMENT	Cartea Pietrelor
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchimie Piatrг Dragon
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Safir
PRIVATESHOPSEARCH_DS_GREEN	Jad
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granat
PRIVATESHOPSEARCH_EAR	Cercei
PRIVATESHOPSEARCH_FAN	Evantaie
PRIVATESHOPSEARCH_FISH	Peєte
PRIVATESHOPSEARCH_FOOTS	Pantofi
PRIVATESHOPSEARCH_GEM	Pietre preюioase
PRIVATESHOPSEARCH_GIFTBOX	Cutii cu Cadouri
PRIVATESHOPSEARCH_HEAD	Coifuri
PRIVATESHOPSEARCH_LIVE	Viu
PRIVATESHOPSEARCH_MATERIAL	Materiale
PRIVATESHOPSEARCH_METIN	Pietrele Spiritului
PRIVATESHOPSEARCH_NECK	Coliere
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Nu poюi achiziюiona niciun obiect fгrг mгnunchiul corect.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Nu poюi cгuta niciun obiect fгrг mгnunchiul corect.
PRIVATESHOPSEARCH_NODELAY_POTION	Obiecte cu PV
PRIVATESHOPSEARCH_ORE	Minereu
PRIVATESHOPSEARCH_PET	Sistem Оnsoюitori
PRIVATESHOPSEARCH_PETAGG	Ouг Оnsoюitori
PRIVATESHOPSEARCH_PETSKILLBOOK	Cгrюi de Abilitгюi pentru Оnsoюitor
PRIVATESHOPSEARCH_PICK	Tвrnгcoape
PRIVATESHOPSEARCH_POTION	Licori
PRIVATESHOPSEARCH_QUEST	Misiune
PRIVATESHOPSEARCH_QUIVER	Tolbe
PRIVATESHOPSEARCH_RESOURCE	Оmbunгtгюirea Obiectului
PRIVATESHOPSEARCH_ROD	Undiюe
PRIVATESHOPSEARCH_SELECTITEM	Obiecte selectate
PRIVATESHOPSEARCH_SHIELD	Scuturi
PRIVATESHOPSEARCH_SKILLBOOK	Carti de Abilitгюi
PRIVATESHOPSEARCH_SKILLFORGET	Cartea Uitгrii
PRIVATESHOPSEARCH_SPECIAL	Diverse
PRIVATESHOPSEARCH_STONE	Fragmente de Energie
PRIVATESHOPSEARCH_SWORD	Sгbii O Mвnг
PRIVATESHOPSEARCH_TREASUREBOX	Cufere
PRIVATESHOPSEARCH_TUNING	Pergamente
PRIVATESHOPSEARCH_TWOSWORD	Sгbii Douг Mвini
PRIVATESHOPSEARCH_UNIQUE	Unic
PRIVATESHOPSEARCH_USEITEM	Consumabile
PRIVATESHOPSEARCH_USESPECIAL	Diverse
PRIVATESHOPSEARCH_WEAPON	Arme
PRIVATESHOPSEARCH_WHITE_PEARL	Perlг Albг
PRIVATESHOPSEARCH_WRIST	Brгюгri
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poюi vinde acest obiect оn magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei sг оnchizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preю
PRIVATE_SHOP_IS_EMPTY	Nu puteți deschide un magazin gol.
PVP_LEVEL0	Dumnezeu
PVP_LEVEL1	Fara nume
PVP_LEVEL2	ExESoR
PVP_LEVEL3	Unic
PVP_LEVEL4	Ragnarok
PVP_LEVEL5	Nemuritor
PVP_LEVEL6	Etern
PVP_LEVEL7	Mistic
PVP_LEVEL8	Infinit
PVP_LEVEL9	Legendar
PVP_LEVEL10	Cucernic
PVP_LEVEL11	Divin
PVP_LEVEL12	Jumatate om
PVP_LEVEL13	Sfânt
PVP_LEVEL14	Blagoslovit
PVP_LEVEL15	Monarh
PVP_LEVEL16	Baron
PVP_LEVEL17	Împărat
PVP_LEVEL18	Rege
PVP_LEVEL19	Regal
PVP_LEVEL20	marele Duce
PVP_LEVEL21	Arhiduce
PVP_LEVEL22	Duce
PVP_LEVEL23	Baron
PVP_LEVEL24	Numara
PVP_LEVEL25	Nobil
PVP_LEVEL26	mareșal
PVP_LEVEL27	cavaleresc
PVP_LEVEL28	Cavaler
PVP_LEVEL29	Centurion
PVP_LEVEL30	|cff00ffffErou
PVP_LEVEL31	Nobil
PVP_LEVEL32	Bun
PVP_LEVEL33	Blajin
PVP_LEVEL34	Prietenos
PVP_LEVEL35	Neutru
PVP_LEVEL36	Agresiv
PVP_LEVEL37	rău
PVP_LEVEL38	Superficialitate
PVP_LEVEL39	Agricultor
PVP_LEVEL40	Iritabil
PVP_LEVEL41	|cffff0000Crud
PVP_LEVEL42	desfundat
PVP_LEVEL43	Furios
PVP_LEVEL44	nesăbuit
PVP_LEVEL45	Neînfricat
PVP_LEVEL46	Mercilessly
PVP_LEVEL47	fără milă
PVP_LEVEL48	Ostil
PVP_LEVEL49	maligne
PVP_LEVEL50	drăcesc
PVP_LEVEL51	Crud
PVP_LEVEL52	profanator
PVP_LEVEL53	La naiba!
PVP_LEVEL54	Blestemat
PVP_LEVEL55	Nemilos
PVP_LEVEL56	Distrugător
PVP_LEVEL57	sângeros
PVP_LEVEL58	alungat
PVP_LEVEL59	Zeul sângelui
PVP_LEVEL60	Satana
PVP_LEVEL61	Lucifer
PVP_LEVEL0_FEMALE	Dumnezeu
PVP_LEVEL1_FEMALE	Fara nume
PVP_LEVEL2_FEMALE	ExESoR
PVP_LEVEL3_FEMALE	Unic
PVP_LEVEL4_FEMALE	Ragnarok
PVP_LEVEL5_FEMALE	Nemuritor
PVP_LEVEL6_FEMALE	Etern
PVP_LEVEL7_FEMALE	Mistic
PVP_LEVEL8_FEMALE	Infinit
PVP_LEVEL9_FEMALE	Legendar
PVP_LEVEL10_FEMALE	Cucernic
PVP_LEVEL11_FEMALE	Divin
PVP_LEVEL12_FEMALE	Jumatate om
PVP_LEVEL13_FEMALE	Sfânt
PVP_LEVEL14_FEMALE	Blagoslovit
PVP_LEVEL15_FEMALE	Monarh
PVP_LEVEL16_FEMALE	Baron
PVP_LEVEL17_FEMALE	Împărat
PVP_LEVEL18_FEMALE	Rege
PVP_LEVEL19_FEMALE	Regal
PVP_LEVEL20_FEMALE	marele Duce
PVP_LEVEL21_FEMALE	Arhiduce
PVP_LEVEL22_FEMALE	Duce
PVP_LEVEL23_FEMALE	Baron
PVP_LEVEL24_FEMALE	Numara
PVP_LEVEL25_FEMALE	Nobil
PVP_LEVEL26_FEMALE	mareșal
PVP_LEVEL27_FEMALE	cavaleresc
PVP_LEVEL28_FEMALE	Cavaler
PVP_LEVEL29_FEMALE	Centurion
PVP_LEVEL30_FEMALE	|cff00ffffErou
PVP_LEVEL31_FEMALE	Nobil
PVP_LEVEL32_FEMALE	Bun
PVP_LEVEL33_FEMALE	Blajin
PVP_LEVEL34_FEMALE	Prietenos
PVP_LEVEL35_FEMALE	Neutru
PVP_LEVEL36_FEMALE	Agresiv
PVP_LEVEL37_FEMALE	rău
PVP_LEVEL38_FEMALE	Superficialitate
PVP_LEVEL39_FEMALE	Agricultor
PVP_LEVEL40_FEMALE	Iritabil
PVP_LEVEL41_FEMALE	|cffff0000Crud
PVP_LEVEL42_FEMALE	desfundat
PVP_LEVEL43_FEMALE	Furios
PVP_LEVEL44_FEMALE	nesăbuit
PVP_LEVEL45_FEMALE	Neînfricat
PVP_LEVEL46_FEMALE	Mercilessly
PVP_LEVEL47_FEMALE	fără milă
PVP_LEVEL48_FEMALE	Ostil
PVP_LEVEL49_FEMALE	maligne
PVP_LEVEL50_FEMALE	drăcesc
PVP_LEVEL51_FEMALE	Crud
PVP_LEVEL52_FEMALE	profanator
PVP_LEVEL53_FEMALE	La naiba!
PVP_LEVEL54_FEMALE	Blestemat
PVP_LEVEL55_FEMALE	Nemilos
PVP_LEVEL56_FEMALE	Distrugător
PVP_LEVEL57_FEMALE	sângeros
PVP_LEVEL58_FEMALE	alungat
PVP_LEVEL59_FEMALE	Zeul sângelui
PVP_LEVEL60_FEMALE	Satana
PVP_LEVEL61_FEMALE	Lucifer
HGUARD_CODE_ONLY_ALPHANUM	You can only use alpha numeric letters.
PVP_MODE_GUILD	Mod PvP-breaslг activat
PVP_MODE_KILL	PvP - liber activat.
PVP_MODE_NORMAL	PvP - pace activat.
PVP_MODE_PROTECT	PvP - protecюie activat.
PVP_MODE_REVENGE	PvP - agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protecюie
PVP_OPTION_REVENGE	Agresiv
PVP_TOURNAMENT_DO_NOT_AUTO	Nu poюi folosi 'atac automat' оn timpul turneului PvP.
QUEST_APPEND	Misiune noua оnregistrata.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nicio limitг de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adгugat la cвmpul de acces rapid.
RANKING	Rang
RANKING_BOARD_MEMBER	Membru
RECEIVE_MESSAGE	{} юi-a trimis un mesaj.
REFINE_COST	Costuri de оmbunгtгюire: {} Yang
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin оnnobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Eєti sigur cг doreєti sг оmbunгtгюeєti acest obiect?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Dar dacг nu оюi reuєeєte, obiectul va fi distrus. Doreєti sг continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin оnnobilare.
REFINE_DO_YOU_SEPARATE_METIN	Doreєti sг оnlгturi toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Oh nu, nu a mers! Ai eєuat.
REFINE_FAILURE_CAN_NOT_ATTACH_STR	{} nu poate fi adгugat obiectului.
REFINE_FAILURE_DEL_ITEM	Rafinarea a eєuat. Obiectul a fost distrus.
REFINE_FAILURE_EQUIP_ITEM	Nu poюi оmbunгtгюi Obiectele echipate.
REFINE_FAILURE_GRADE_DOWN	Rafinarea a eєuat. Gradul obiectului a fost redus.
REFINE_FAILURE_KEEP_GRADE	Rafinarea a eєuat. Obiectul a rгmas оn stare bunг.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi indepartata nicio piatrг a spiritului.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de оmbunгtгюire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu existг suport de aur pentru a adгuga {}.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poюi sг mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu existг suport pentru a adгuga {}.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu оi poate fi adгugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi оmbunгtгюit.
REFINE_SUCCESS	Оmbunгtгюirea obiectului a reuєit.
REFINE_SUCCESS_PROBALITY	Єansг de оmbunгtгюire: {}%
REFINE_WARNING2	Vrei sг continui?
REVIVE_QUESTION	Vrei sг reоnvii pe {}? Numгr de Prisme Reоnviere: {}
REVIVE_SELF_QUESTION	Vrei sг te reоnvii? Numгr de Prisme Reоnviere: {}
SAFEBOX_ERROR	Ai introdus o parolг greєitг.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nu poюi vinde nici unul din obiectele salvate.
SAFEBOX_WRONG_PASSWORD	Parolele trebuie sг fie identice.
SCREENSHOT_SAVE1	e salvat оn
SCREENSHOT_SAVE2	Directorul screenshot
SCREENSHOT_SAVE_FAILURE	Salvarea screenshotului eєuatг.
SECOND	Sec
SELECT_ATTR_NOTICE	Nu poti deschide un magazin privat in timp ce folosesti Vrajeste Obiectul+.
SELECT_ATTR_NOT_OPEN	Nu poti folosi Vrajeste Obiectul+ daca ai deschis un magazin privat.
SELECT_ATTR_NOT_SELECT	Decide daca doresti sa pastrezi sau sa schimbi bonusurile.
SELECT_CAN_NOT_DELETE	Nu poюi єterge caracterul.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Nu poюi єterge caracterul dacг este membru al unei bresle.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Nu poюi єterge caracterul deoarece ai obiecte personalizate.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Nu poюi єterge caracterul unic deoarece оncг existг obiecte оn inventar.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Poюi єterge caracterul pвnг la nivel 69.
SELECT_CAN_NOT_DELETE_MARRIAGE	Nu poюi єterge caracterele cгsгtorite.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Codul de єtergere este invalid.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Nu poюi єterge caracterul imediat ce l-ai creat. Timp de aєteptare: {}
SELECT_CHANGED_NAME	Ai schimbat numele caracterului.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Numele caracterului existг deja.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Mai оncearcг odatг.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Numele caracterului este greєit.
SELECT_CHANGE_NAME_TITLE	Schimbг numele caracterului
SELECT_DELEING	Caracterul se va єterge
SELECT_DELETED	Єtergerea s-a realizat.
SELECT_DO_YOU_DELETE_REALLY	Vrei sг continui?
SELECT_EMPTY_SLOT	Acesta este un cвmp gol.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Introdu un nou nume.
SELECT_NOT_JOIN_GUILD	Nicio Breaslг
SERVER_NOTIFY_CLOSED	Server оnchis: pot intra doar conturile cu statut VIP sau cele create оnainte de оnchiderea serverului.
SERVER_STATUS_CLOSE	ОNCHIS
SERVER_STATUS_NEW	NOU
SERVER_STATUS_SPECIAL	SPECIAL
SHOP_BUY_INFO	Alege Obiectul pe care vrei sг-l cumperi оn fereastra magazinului.
SHOP_CANNOT_SELL_EQUIPMENT	Nu poюi vinde Obiectele echipate.
SHOP_CANNOT_SELL_ITEM	Acest obiect nu este de vвnzare.
SHOP_ERROR_UNKNOWN	Eroare Necunoscuta Magazin: {}
SHOP_EXCEED_LIMIT_TODAY	Ai depгєit limita zilnicг pentru folosirea punctelor.
SHOP_INVALID_POS	Acest obiect este nepotrivit.
