ACCE_ABSORB_COST	Absorption price: {}
OWN_LOGIN_FAILURE_SCAM	This account was hacked, please contact the Team
OWN_LOGIN_FAILURE_TRADE	Server Trading/Permanently Banned
OWN_LOGIN_FAILURE_TS3	Please come to our teamspeak server
OWN_LOGIN_FAILURE_WHWID	PC is not enabled for this account
PARTY_ANSWER_TIMEOVER	The invitation was rejected.
PARTY_BONUS_ATTACKER	Attack Value: +{}
PARTY_BONUS_BERSERKER	Attack Speed: +{}
PARTY_BONUS_BUFFER	Skill Duration: +{}
PARTY_BONUS_DEFENDER	Defence: +{}
PARTY_BONUS_EXP	Bonus EXP: {}%
PARTY_BONUS_SKILL_MASTER	Max. SP: +{}
PARTY_BONUS_TANKER	Max. HP: +{}
PARTY_BREAK_UP	Delete Group
PARTY_DO_YOU_ACCEPT	 would like to join the Group.
PARTY_DO_YOU_JOIN	 has invited you to join his group. Accept?
PARTY_EXP_DISTRIBUTION_MODE	EXP Distribution
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	No group reduce
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	exp will not be shared.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribution with Bonus
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	EXP will be shared with group bonus.
PARTY_HEAL_ALL_MEMBER	Restore everything.
PARTY_INCREASE_AREA_150	Range of the group heightened of the factor 1.5 .
PARTY_INCREASE_AREA_200	Range of the group heightened of the factor 2.
PARTY_LEAVE	Leave group
PARTY_LONGTIME_BONUS_EXP	Bonus EXP for a long group game: +{}%
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Call group member.
PARTY_REGEN_BONUS	Bonus for HP- + SP regeneration: +{}%
PARTY_REQUEST_DENIED	Your request has been declined.
PARTY_SET_ATTACKER	Constitute as Attacker.
PARTY_SET_BERSERKER	Constitute as Berserker.
PARTY_SET_BUFFER	Constitute as Blocker.
PARTY_SET_DEFENDER	Constitute as Defender.
PARTY_SET_NORMAL	Withdraw settings.
PARTY_SET_SKILL_MASTER	Constitute as Skill Master.
PARTY_SET_TANKER	Constitute as blade fighter.
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +{:.0f}
PARTY_SKILL_BERSERKER	Attack Speed Berserker +{:.0f}
PARTY_SKILL_BUFFER	Skill Duration Blocker +{:.0f}
PARTY_SKILL_DEFENDER	Defence Defender +{:.0f}
PARTY_SKILL_HP_REGEN	HP Regeneration +{:.0f}
PARTY_SKILL_PARTY_AREA	Group range +{:.0f}
PARTY_SKILL_SKILL_MASTER	Max. SP Skill Master +{:.0f}
PARTY_SKILL_SP_REGEN	SP Regeneration +{:.0f}
PARTY_SKILL_TANKER	Max. HP blade fighter +{:.0f}
PARTY_SKILL_WARP	Possible to call group members.
PASSWORD_TITLE	Storeroom password
PET_BAG_DESC	{}
PET_CAN_NOT_EGG_ITEM_USE	You cannot open your Incubator while trading or while you have your storeroom or a private shop open.
PET_CAN_NOT_FEED_SPLIT_ITEM	You cannot place any split items in this window.
PET_CAN_NOT_FEED_TYPE	You cannot feed your pet like that. Please try something else.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Your pet must be level {} to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Your pet must have 100% experience to train and promote it to the next stage of evolution.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Your pet already reached the highest stage of evolution.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	You cannot open a private shop when you have summoned your pet.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Your pet must be {} days old to train and promote it to the next stage of evolution.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	You cannot call your pet because the duration has expired.
PET_CAN_NOT_USE_BAG	You cannot use the Transport Box because your pet has already expired.
PET_HATCHING_ACCEPT	Do you want to call your pet "{}"?
PET_HATCHING_MONEY	Price: {}
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	You cannot carry out any other interactions while the Incubator is open.
PET_INFORMATION_STAGE1	Young
PET_INFORMATION_STAGE2	Wild
PET_INFORMATION_STAGE3	Valiant
PET_INFORMATION_STAGE4	Heroic
PET_INFO_EXP	Current experience:
PET_INFO_ITEM_EXP	Current item EXP
PET_INFO_NEXT_EXP	Remaining experience:
PET_INFO_NEXT_ITEM_EXP	Remaining item EXP
PET_MSG_NOT_ENOUGH_MONEY	You do not have enough Yang.
PET_NAME_CHANGE_ACCEPT	Do you want to change your pet's name to {}?
PET_NAME_MIN	The name entered is too short.
PET_POSTIFX	's Pet
PET_SKILL_DELETE_QUESTION_DLG_MSG	Skills are now available.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Do you want to start hero training with "{}"?
PET_SKILL_TOOLTIP_COOLTIME	Cooldown: {} seconds
PET_SKILL_TOOLTIP_DURATION	Duration: {} seconds
PET_SKILL_TOOLTIP_HEAL	When your HP drops below 20%%, you have \n a {}% chance to increase your HP by {}.A
PET_SKILL_TOOLTIP_INVINVIBILITY	Your character has a {}% chance to become invincible\n when your HP drops below 10%%. \n Effect duration: {:.1f} seconds.A
PET_SKILL_TOOLTIP_REMOVAL	There is a {}% chance to immediately remove \n all effects like slow, poison or bleeding if your\n character is affected.N
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Increase hero training to next stage?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Cost: {}
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Defense
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Level
PET_TOOLTIP_LIFETIME_OVER	Expired
PET_TOOLTIP_SKILL_BONUS_VALUE	in hero training
PET_TOOLTIP_SKILL_CUR_LEVEL	Level: {}
PET_TOOLTIP_SKILL_NEXT_LEVEL	Next level: {} (max. {})
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Tradeable
PET_TOOLTUP_SKILL	{} (Stage {})
PICK_ITEM_TITLE	Item Number
PICK_MONEY_TITLE	Sum
POLYMORPH_AFFECT_REMOVE_QUESTION	Are you sure you want to remove polymorph?
POLYMORPH_AFFECT_TOOLTIP	Polymorph Marble
POPUP_GM_ONLINE	A team member {} is now online.
POPUP_GUILD_MEMBER_ONLINE	Your guild member {} is now online.
POPUP_PLAYER_ONLINE	Your friend {} is now online.
PRESET_DELETE	Del.
PRESET_DELETE_TOOLTIP	Delete the current preset
PRESET_SAVE	S.
PRESET_SAVE_TOOLTIP	Save your preset
PREVIEW	Preview
PRIVATESHOPSEARCH_ABLITY_POTION	Dew
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Fine Cloth
PRIVATESHOPSEARCH_ARMOR	Equipment
PRIVATESHOPSEARCH_ARROW	Arrows
PRIVATESHOPSEARCH_BELL	Bells
PRIVATESHOPSEARCH_BELT	Belts
PRIVATESHOPSEARCH_BLEND	Potions
PRIVATESHOPSEARCH_BLOOD_PEARL	Blood-Red Pearl
PRIVATESHOPSEARCH_BLUE_PEARL	Blue Pearl
PRIVATESHOPSEARCH_BODY	Armour
PRIVATESHOPSEARCH_BOW	Bows
PRIVATESHOPSEARCH_BUYTIME	Do you want to buy the selected item?
PRIVATESHOPSEARCH_CLAW	Claws
PRIVATESHOPSEARCH_CLEAR_POTION	Elixirs
PRIVATESHOPSEARCH_COSTUME	Costumes
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Hairstyle
PRIVATESHOPSEARCH_COSTUME_ACCE	Shoulder Sashes
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mount
PRIVATESHOPSEARCH_COSTUME_WEAPON	 Weapon Skin
PRIVATESHOPSEARCH_CRYSTAL	Crystal
PRIVATESHOPSEARCH_DAGGER	Daggers
PRIVATESHOPSEARCH_DEAD	Dead
PRIVATESHOPSEARCH_DETACHMENT	Stone Handbook
PRIVATESHOPSEARCH_DIAMOND	Diamond
PRIVATESHOPSEARCH_DS	Dragon Stone Alchemy
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Sapphire
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Ruby
PRIVATESHOPSEARCH_DS_WHITE	Diamond
PRIVATESHOPSEARCH_DS_YELLOW	Garnet
PRIVATESHOPSEARCH_EAR	Earrings
PRIVATESHOPSEARCH_FAN	Fans
PRIVATESHOPSEARCH_FISH	Fish
PRIVATESHOPSEARCH_FOOTS	Shoes
PRIVATESHOPSEARCH_GEM	Gemstones
PRIVATESHOPSEARCH_GIFTBOX	Chests
PRIVATESHOPSEARCH_HEAD	Helmets
PRIVATESHOPSEARCH_LIVE	Alive
PRIVATESHOPSEARCH_MATERIAL	Materials
PRIVATESHOPSEARCH_METIN	Spirit Stones
PRIVATESHOPSEARCH_NECK	Necklaces
PRIVATESHOPSEARCH_NEED_ITEM_BUY	You cannot purchase any items without the correct bundle.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	You cannot search for any items without the correct bundle.
PRIVATESHOPSEARCH_NODELAY_POTION	HP Items
PRIVATESHOPSEARCH_ORE	Ore
PRIVATESHOPSEARCH_PET	Pet System
PRIVATESHOPSEARCH_PETAGG	Pet Eggs
PRIVATESHOPSEARCH_PETSKILLBOOK	Pet Skill Books
PRIVATESHOPSEARCH_PICK	Pickaxes
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Quivers
PRIVATESHOPSEARCH_RESOURCE	Item Improvement
PRIVATESHOPSEARCH_RING	Ring
PRIVATESHOPSEARCH_ROD	Fishing Poles
PRIVATESHOPSEARCH_SELECTITEM	Item selected
PRIVATESHOPSEARCH_SHIELD	Shields
PRIVATESHOPSEARCH_SKILLBOOK	Skill Books
PRIVATESHOPSEARCH_SKILLFORGET	Book of Forgetfulness
PRIVATESHOPSEARCH_SPECIAL	Miscellaneous
PRIVATESHOPSEARCH_STONE	Energy Fragments
PRIVATESHOPSEARCH_SUB_AFFECT	Elixier
PRIVATESHOPSEARCH_SUB_ANIT_EXP	Anti-EXP
PRIVATESHOPSEARCH_SUB_AUTO_HP	Auto-HP
PRIVATESHOPSEARCH_SUB_AUTO_SP	Auto-SP
PRIVATESHOPSEARCH_SUB_MOUNT	Mounts
PRIVATESHOPSEARCH_SUB_PET	Pets
PRIVATESHOPSEARCH_SWORD	One-Handed Swords
PRIVATESHOPSEARCH_TOGGLE	toggleable
PRIVATESHOPSEARCH_TREASUREBOX	Chests
PRIVATESHOPSEARCH_TUNING	Scrolls
PRIVATESHOPSEARCH_TWOSWORD	Two-Handed Swords
PRIVATESHOPSEARCH_UNIQUE	Unique
PRIVATESHOPSEARCH_USEITEM	Consumables
PRIVATESHOPSEARCH_USESPECIAL	Miscellaneous
PRIVATESHOPSEARCH_WEAPON	Weapons
PRIVATESHOPSEARCH_WHITE_PEARL	White Pearl
PRIVATESHOPSEARCH_WRIST	Bracelets
PRIVATE_SHOP_CANNOT_SELL_ITEM	You cannot sell this item in a private shop.
PRIVATE_SHOP_CANNOT_USE_YET	You can not use a private shop yet.
PRIVATE_SHOP_CLOSE_QUESTION	Do you want to close the private shop?
PRIVATE_SHOP_ENTER_PRICE	Set a price.
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name of the private shop.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price
PRIVATE_SHOP_IS_EMPTY	You can't open an empty shop.
PRIVATE_SHOP_NAME_LENGTH_MAX	The shop name must not be longer than 32 characters.
PRIVATE_SHOP_NAME_LENGTH_MIN	The shop name must be at least three characters long.
PRIVATE_SHOP_OPEN_BUTTON	Open shop
PRIVATE_SHOP_REMOVE_ITEM_QUESTION	Do you really want to remove this item?
PROPOSALS	Proposals
PVP_LEVEL0	God
PVP_LEVEL0_FEMALE	Goddess
PVP_LEVEL1	Godlike
PVP_LEVEL10	Soulstealer
PVP_LEVEL10_FEMALE	Soulstealer
PVP_LEVEL11	Hokage
PVP_LEVEL11_FEMALE	Hokage
PVP_LEVEL12	Anbu
PVP_LEVEL12_FEMALE	Anbu
PVP_LEVEL13	Major
PVP_LEVEL13_FEMALE	Commander
PVP_LEVEL14	Super Saiyan
PVP_LEVEL14_FEMALE	Karifura
PVP_LEVEL15	Saiyan
PVP_LEVEL15_FEMALE	Kunoichi
PVP_LEVEL16	Gladiator
PVP_LEVEL16_FEMALE	Enchanted
PVP_LEVEL17	Repulsed
PVP_LEVEL17_FEMALE	Legendary
PVP_LEVEL18	Legendary
PVP_LEVEL18_FEMALE	Divine
PVP_LEVEL19	Divine
PVP_LEVEL19_FEMALE	Immortal
PVP_LEVEL1_FEMALE	Godlike
PVP_LEVEL2	Hunter
PVP_LEVEL20	Immortal
PVP_LEVEL20_FEMALE	Holy
PVP_LEVEL21	Holy
PVP_LEVEL21_FEMALE	Blessed
PVP_LEVEL22	Blessed
PVP_LEVEL22_FEMALE	Tsarina
PVP_LEVEL23	Monarch
PVP_LEVEL23_FEMALE	Monarch
PVP_LEVEL24	Baron
PVP_LEVEL24_FEMALE	Baroness
PVP_LEVEL25	King
PVP_LEVEL25_FEMALE	Queen
PVP_LEVEL26	Prince
PVP_LEVEL26_FEMALE	Princess
PVP_LEVEL27	Ruler
PVP_LEVEL27_FEMALE	Noble Lady
PVP_LEVEL28	Nobleman
PVP_LEVEL28_FEMALE	Timeless
PVP_LEVEL29	Timeless
PVP_LEVEL29_FEMALE	Mystical
PVP_LEVEL2_FEMALE	Angel
PVP_LEVEL3	Witcher
PVP_LEVEL30	|cff00ffffChivalric
PVP_LEVEL30_FEMALE	|cff00ffffChivalric
PVP_LEVEL31	Unique
PVP_LEVEL31_FEMALE	Honorable
PVP_LEVEL32	Honorable
PVP_LEVEL32_FEMALE	Soft
PVP_LEVEL33	Soft
PVP_LEVEL33_FEMALE	Likeable
PVP_LEVEL34	Simpatico
PVP_LEVEL34_FEMALE	Little
PVP_LEVEL35	Neutral
PVP_LEVEL35_FEMALE	Neutral
PVP_LEVEL36	Sensitive
PVP_LEVEL36_FEMALE	Sensitive
PVP_LEVEL37	Shameless
PVP_LEVEL37_FEMALE	Shameless
PVP_LEVEL38	Naughty
PVP_LEVEL38_FEMALE	Naughty
PVP_LEVEL39	Combative
PVP_LEVEL39_FEMALE	Combative
PVP_LEVEL3_FEMALE	Fairy
PVP_LEVEL4	Ragnarok
PVP_LEVEL40	Malicious
PVP_LEVEL40_FEMALE	Malicious
PVP_LEVEL41	|cffff0000Cruel
PVP_LEVEL41_FEMALE	|cffff0000Cruel
PVP_LEVEL42	Hateful
PVP_LEVEL42_FEMALE	Hateful
PVP_LEVEL43	Toxic
PVP_LEVEL43_FEMALE	Toxic
PVP_LEVEL44	Devilish
PVP_LEVEL44_FEMALE	Devilish
PVP_LEVEL45	Cruel
PVP_LEVEL45_FEMALE	Cruel
PVP_LEVEL46	Assassin
PVP_LEVEL46_FEMALE	Exiled
PVP_LEVEL47	Damned
PVP_LEVEL47_FEMALE	Damned
PVP_LEVEL48	Cursed
PVP_LEVEL48_FEMALE	Cursed
PVP_LEVEL49	Godless
PVP_LEVEL49_FEMALE	Godless
PVP_LEVEL4_FEMALE	Cutie
PVP_LEVEL5	Void Walker
PVP_LEVEL50	Demon
PVP_LEVEL50_FEMALE	Demoness
PVP_LEVEL51	Shadowhunter
PVP_LEVEL51_FEMALE	Succubus
PVP_LEVEL52	Bloodthirsty
PVP_LEVEL52_FEMALE	Bloodthirsty
PVP_LEVEL53	Renegade
PVP_LEVEL53_FEMALE	Renegade
PVP_LEVEL54	Deathknight
PVP_LEVEL54_FEMALE	Witch
PVP_LEVEL55	Ghoul
PVP_LEVEL55_FEMALE	Ghoula
PVP_LEVEL56	Nightmare
PVP_LEVEL56_FEMALE	Nightmare
PVP_LEVEL57	Undead
PVP_LEVEL57_FEMALE	Kijo
PVP_LEVEL58	Oni
PVP_LEVEL58_FEMALE	Fallen Angel
PVP_LEVEL59	Lucifer
PVP_LEVEL59_FEMALE	Bloodgoddess
PVP_LEVEL5_FEMALE	Star Child
PVP_LEVEL6	Raikage
PVP_LEVEL60	Bloodgod
PVP_LEVEL60_FEMALE	Hell Lady
PVP_LEVEL61	Satan
PVP_LEVEL61_FEMALE	Lilith
PVP_LEVEL6_FEMALE	Ginger
PVP_LEVEL7	Empereor
PVP_LEVEL7_FEMALE	Knightwalker
PVP_LEVEL8	Virtuoso
PVP_LEVEL8_FEMALE	Seraphine
PVP_LEVEL9	Sovereign
PVP_LEVEL9_FEMALE	Empress
PVP_MODE_GUILD	PvP - Guild activated
PVP_MODE_KILL	PvP - Free activated
PVP_MODE_NORMAL	PvP - Peace activated
PVP_MODE_PROTECT	PvP - Protection activated
PVP_MODE_REVENGE	PvP - Hostile activated
PVP_OPTION_KILL	Free
PVP_OPTION_NORMAL	Peace
PVP_OPTION_PROTECT	Protection
PVP_OPTION_REVENGE	Hostile
QUEST_APPEND	Running quest: {}
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Time Expired
QUEST_TIMER_AVAILABLE	Verfügbar
QUEST_TIMER_AVAILABLE_TEXT	Verfügbar
QUEST_TIMER_BIOLOGREADY	Biologe Bereit
QUEST_TIMER_COOLDOWN	Cooldown
QUEST_TIMER_CURRENT	Aktuell
QUEST_TIMER_DUNGEON_DESC	Beschreibung
QUEST_TIMER_GROUPREQ	Gruppe benötigt
QUEST_TIMER_INFECTED	QUEST_TIMER_INFECTED
QUEST_TIMER_INFO	Info
QUEST_TIMER_LOCKED	Gesperrt
QUEST_TIMER_LOCKED_COOLDOWN	Cooldown nicht abgelaufen
QUEST_TIMER_LOCKED_LEVEL	Level-Anforderungen nicht erfüllt
QUEST_TIMER_LOCKED_TEXT	Gesperrt
QUEST_TIMER_MINLVL	Min Lv
QUEST_TIMER_PASSAGETICKET	Passierschein
QUEST_TIMER_QUESTITEM	Quest Gegenstand
QUEST_TIMER_REWARDS	Rewards
QUEST_TIMER_SLIME	QUEST_TIMER_SLIME
QUEST_UNLIMITED_TIME	No time limit.
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	This Item cannot be added to the Fast Access Field.
RECEIVE_MESSAGE	{} sent you a message.
REFINE_COST	Costs for Advancement: {} Yang
REFINE_COST_AND_PERC	Chance: {}%\nCosts: {} Gold
REFINE_DESTROY_WARNING	This Item could be destroyed while upgrading.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Do you really want to upgrade this item?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	If you fail, the item will be destroyed. Do you want to continue?
REFINE_DOWN_GRADE_WARNING	The Item could be down graded this way.
REFINE_DO_YOU_SEPARATE_METIN	Do you want to remove all available spirit stones?
REFINE_FAILURE	Oh no, that didn't work! We've failed.
REFINE_FAILURE_CAN_NOT_ATTACH_STR	{} cannot be included in that Item.
REFINE_FAILURE_EQUIP_ITEM	You cannot upgrade equipped Items.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No spirit stone can be taken away.
REFINE_FAILURE_NEED_BETTER_SCROLL	You need a better Advancement Scroll.
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Gold socket to include {} .
REFINE_FAILURE_NO_MORE_SOCKET	You cannot add any more sockets.
REFINE_FAILURE_NO_SOCKET0	There is no free socket for the {}.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot add any more sockets to this item.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This Item cannot be upgraded.
REFINE_KEEP_WINDOW_OPEN	Keep window open?
REFINE_SET_1666_WARNING_1	Are you sure you want to improve this item?
REFINE_SET_1666_WARNING_2	ATTENTION: All ores disappear after reinforcement.
REFINE_SUCCESS	The advancement of the Item was successful.
REFINE_SUCCESS_PROBALITY	Chance for Advancement {}%
REFINE_WARNING2	Do you want to continue?
ROULETTE_REWARD_TEXT	Gegenstand erhalten
SAFEBOX_ERROR	You entered the wrong password.
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the saved Items.
SAFEBOX_WRONG_PASSWORD	The passwords have to be identical.
SCREENSHOT_SAVE1	is saved in
SCREENSHOT_SAVE2	Screenshot File
SCREENSHOT_SAVE_FAILURE	Saving of Screenshot failed.
SCREENSHOT_SAVE_SUCCESS	Your screenshot has been successfully saved {}..
SECOND	Sec
SELECT_ATTR_NOTICE	You cannot open a private shop whilst using Enchant Item+.
SELECT_ATTR_NOT_OPEN	You cannot use Enchant Item+ whilst you have a private shop open.
SELECT_ATTR_NOT_SELECT	Decide whether you want to keep the bonuses or swap them.
SELECT_CAN_NOT_DELETE	You cannot delete the character.
SELECT_CHANGED_NAME	You changed the name of the character.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.
SELECT_CHANGE_FAILURE_STRANGE_NAME	That
SELECT_CHANGE_NAME_TITLE	Change character name.
SELECT_DELEING	Character will be deleted.
SELECT_DELETED	Deletion successful.
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?
SELECT_EMPTY_SLOT	This is an empty field.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Enter a new character name.
SELECT_NOT_JOIN_GUILD	No Guild
SELECT_STORAGE_GUILD	Guild Storage
SELECT_STORAGE_MALL	Mall Storage
SELECT_STORAGE_SAFEBOX	Safebox
SELECT_STORAGE_TITLE	Choose Storage
SHOP_BUY_INFO	Choose the Item you want to buy in the shop window.
SHOP_CANNOT_SELL_EQUIPMENT	You cannot sell  equipped Items.
SHOP_CANNOT_SELL_ITEM	This Item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown Shop Error: {}
SHOP_EXCEED_LIMIT_TODAY	You've already exceeded your daily limit for using points.
SHOP_INVALID_POS	This Item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_ITEM_REMOVED	Sold out
SHOP_LIMIT_TODAY	Daily limit: {} / {}
SHOP_MY_BATTLE_POINT	Combat points: {}
SHOP_NOT_ENOUGH_BATTLE_POINT	You do not have enough combat points.
SHOP_NOT_ENOUGH_CASH	Not enough Coins
SHOP_NOT_ENOUGH_MONEY	Not enough Yang
SHOP_NOT_ENOUGH_MONEY_EX	You do not have enough {}.
SHOP_SELL_INFO	Choose the Item you want to sell  in your inventory window.
SHOP_SOLDOUT	Sold Out
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: {}
SHOWN_QUEST_BUTTONS	show Quests
SKILLGROUP_NAME_ASSASSIN_1	Blade Fight
SKILLGROUP_NAME_ASSASSIN_2	Archery
SKILLGROUP_NAME_NONE	None
SKILLGROUP_NAME_SHAMAN_1	Dragon Force
SKILLGROUP_NAME_SHAMAN_2	Healing Force
SKILLGROUP_NAME_SURA_1	Magic Weapon
SKILLGROUP_NAME_SURA_2	Black-Magic
SKILLGROUP_NAME_WARRIOR_1	Body-Fight
SKILLGROUP_NAME_WARRIOR_2	Mental-Fight
SKILL_BLEEDING	Bleeding
SKILL_BOHO	Reflect
SKILL_BUDONG	Wird nicht mehr benutzt
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	You need EXP to learn this Skill.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	You need a Book to learn this Skill.
SKILL_CHEONGEUN	Strong Body
SKILL_CRITICAL	Critical hit
SKILL_ENCHANT_POISON	Apply Poison
SKILL_EUNHYEONG	Camouflage
SKILL_FAINT	Blackout
SKILL_FIND_TRAP	Find Trap
SKILL_FIRE	Permanent Fire
SKILL_FISHMIND	Fishing Marble is active
SKILL_GAMJI	Capture
SKILL_GEOMGYEONG	Aura of the Sword
SKILL_GEONGON	SKILL_GEONGON Wird nicht mehr benutzt
SKILL_GICHEON	Dragon's Aid
SKILL_GIGONG	Chi Rotation
SKILL_GONGPO	Fear
SKILL_GRADE_NAME_GRAND_MASTER	{} Grand Master
SKILL_GRADE_NAME_LEGENDARY_MASTER	{} Legendary Master
SKILL_GRADE_NAME_MASTER	{} Master
SKILL_GRADE_NAME_PERFECT_MASTER	{} Perfect Master
SKILL_GROUP_ASSASSIN_1	Blade
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Riding
SKILL_GROUP_SHAMAN_1	Dragon
SKILL_GROUP_SHAMAN_2	Healing
SKILL_GROUP_SURA_1	Weapon
SKILL_GROUP_SURA_2	Magic
SKILL_GROUP_WARRIOR_1	Body
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GROUP_WOLFMAN_1	Instinct
SKILL_GROUP_WOLFMAN_2	N.A
SKILL_GWIGEOM	Enchanted Blade
SKILL_GYEONGGONG	Feather Walking
SKILL_HEUKSIN	Dark Protection
SKILL_HOSIN	Blessing
SKILL_HWAYEOM	SKILL_HWAYEOM Wird nicht mehr benutzt
SKILL_HYEOLMA	SKILL_HYEOLMA Wird nicht mehr benutzt
SKILL_INC_ATKSPD	Attack speed raised
SKILL_INC_MOVSPD	Movement speed raised
SKILL_INMA	SKILL_INMA Wird nicht mehr benutzt
SKILL_JEOJU	Curse
SKILL_JEONGEOP	Healing
SKILL_JEONGWI	Battle Flush
SKILL_JEONSINBANGEO	Full Defence
SKILL_JEONSINGONGGYEOK	Full Attack
SKILL_JEUNGCHE	SKILL_JEUNGCHE Wird nicht mehr benutzt
SKILL_JEUNGHON	SKILL_JEUNGHON Wird nicht mehr benutzt
SKILL_JEUNGRYEOK	Attack +
SKILL_JEUNGSOK	Speed +
SKILL_JIGAM	SKILL_JIGAM Wird nicht mehr benutzt
SKILL_JIPJUNG	SKILL_JIPJUNG Wird nicht mehr benutzt
SKILL_JUMAGAP	Enchanted Armour
SKILL_JUMAGEOM	SKILL_JUMAGEOM Wird nicht mehr benutzt
SKILL_KWAEGEOM	SKILL_KWAEGEOM Wird nicht mehr benutzt
SKILL_KWAESOK	Speed
SKILL_LEGBOUND	SKILL_LEGBOUND Wird nicht mehr benutzt
SKILL_MUSA	SKILL_MUSA Wird nicht mehr benutzt
SKILL_MUYEONG	Ghost of the Flame
SKILL_NEED_EMPTY_BOTTLE	I do not have an Empty Bottle.
SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle
SKILL_ONLY_FOR_GUILD_WAR	You can use this Skill during a Guild War only.
SKILL_PABEOP	Neutralize Spell
SKILL_POWERFUL_STRIKE	Dazing Attack
SKILL_SEOMGWANG	Lightning Bomb
SKILL_SINCHAK	SKILL_SINCHAK Wird nicht mehr benutzt
SKILL_SLEEP	Sleep
SKILL_SLOW	Slow
SKILL_STUN	Daze
SKILL_SUHO	Guard
SKILL_SUMMON_DESCRIPTION	Chance of the Evocation: {}%
SKILL_TOOLTIP_INT	Intelligence
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Poisoning
SKILL_TOXICPOWER	Poison attack value increased
SKILL_TREE_POINTS	Skilltree Points
SKILL_TUSOK	Ghost Hit
SKILL_WONSIN	SKILL_WONSIN Wird nicht mehr benutzt
SKILL_YONGSIN	SKILL_YONGSIN Wird nicht mehr benutzt
STAT_MINUS_CON	Vitality Adjustment (Remaining chance: {})
STAT_MINUS_DEX	Dexterity Adjustment (Remaining Chance: {})
STAT_MINUS_INT	Intelligence Adjustment (Rest of Chance: {})
STAT_MINUS_STR	Strength Adjustment (Rest of Chance: {})
STAT_TOOLTIP_CON	Increases HP and defence
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_INT	Increases SP, magic attack and defence
STAT_TOOLTIP_STR	Increases attack value and damage
SWITCHBOT_CHECKBOX1	6/7 Show
