%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
FISH_MIND	Fischkunst 
AUTOLOOT	Dritte Hand 
SAFEBOX	Lagerplatz 
You can wear it only when you are still.	Du musst stillstehen, um dies auszurüsten. 
%s bloklandi	%s wurde blockiert. 
You blocked %s	%s ist blockiert! 
TRADE_STARTED	Handel wurde gestartet. 
ELK_SET_TO_%lld	%lld wurde eingefügt.
YOU_INCREASED_EXCHANGE_GOLD_TO_%s	Du hast das Yang auf %s erhöht. 
%s_INCREASED_EXCHANGE_GOLD_TO_%s	%s hat das Yang auf %s erhöht. 
YOU_READIED_UP_EXCHANGE	Du bereitest das Handeln vor. 
%s_READIED_UP_EXCHANGE	%s hat das Handeln vorbereitet. 
You need to be atleast level %d to use the shout chat.	Du musst Level %d sein, um den Chat benutzen zu können. 
YOU_ADDED_EXCHANGE_ITEM_%s	Du hast %s eingefügt. 
YOU_DECREASED_EXCHANGE_GOLD_TO_%s	Du hast das Yang auf %s reduziert. 
%s_DECREASED_EXCHANGE_GOLD_TO_%s	%s hat das Yang auf %s reduziert. 
%s_ADDED_EXCHANGE_ITEM_%s	%s hat den Gegenstand %s eingefügt. 
YOU_REMOVED_EXCHANGE_ITEM_%s	Du hast den Gegenstand %s entfernt. 
%s_REMOVED_EXCHANGE_ITEM_%s	%s hat den Gegenstand %s entfernt. 
YOU_ADDED_%d_OF_EXCHANGE_ITEM_%s	Du hast %d hinzugefügt zum %s. 
%s_ADDED_%d_OF_EXCHANGE_ITEM_%s	%s hat zum %d hinzugefügt%s. 
YOU_REMOVED_%d_OF_EXCHANGE_ITEM_%s	Du entfernst %d zum %s. 
%s_REMOVED_%d_OF_EXCHANGE_ITEM_%s	%s entfernt %d zum %s. 
YOU_REMOVED_READY_EXCHANGE	Du hast den Handelszyklus beendet. 
%s_REMOVED_READY_EXCHANGE	%s hat den Handelszyklus beendet. 
You cannot block a game master	Du kannst keinen Gamemaster blockieren! 
You cannot open the guild storage without a guild.	Du kannst das Lager nicht ohne eine Gilde öffnen. 
You cannot equip this sash on this map	Du kannst dieses Schulterband nur auf Duell-Karten anziehen. 
You cannot activate two items of this kind.	Du kannst nicht zwei Gegenstände derselben Art gleichzeitig benutzen. 
Inventory sorting only every 15 seconds	Du kannst nur alle 15 Sekunden das Inventar sortieren. 
You can only adjust your points while you are still.	Du kannst nur deine Punkte verändern, wenn du stillstehst. 
You need at least 3 free inventory slots to open a chest.	Du benötigst mindestens 3 freie Plätze im Inventar. 
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	Du kannst nur alle 60 Minuten den Shopnamen ändern. (%02d:%02d übrig) 
CANNOT_RIDE_WHILE_POLYMORPHED	Du kannst nicht reiten während du verwandelt bist. 
You can not change the equipment you are wearing while you are polymorphed.	Du kannst nicht deine Ausrüstung wechseln während du verwandelt bist. 
CHANGING_CHANNEL	Du wechselst nun den Channel! 
YOU_HAVE_%s_GOLD_WAITING_WITHDRAW_SHOP	Du hast %s Yang in deinem Offlineshop. 
You cannot define a sealed item	Du kannst einen seelengebundenen Gegenständen nicht auswählen! 
ITEM_IS_NOT_SEALED	Dieser Gegenstand ist nicht seelengebunden! 
ITEM_IS_SEALED_CANNOT_DO	Dieser Gegenstand ist seelengebunden! 
OFFLINE_MESSAGE_SUCCESS	Die Offline-Nachricht wurde erfolgreich versendet! 
NO_PLAYER_FOUND_BY_NAME	Der Charakter wurde nicht gefunden. 
TRADE_COMPLETED_WITHOUT_GOODS_EXCHANGE	Der Handel war ohne jegliche Gegenstände oder Yang erfolgreich. 
%s does not exist.	%s existiert nicht. 
You cannot use skills for 2 seconds after changing your equipment.	Du kannst nach einem Ausrüstungswechsel für 0.5 Sekunden keine Fertigkeiten benutzen. 
This item cannot be used on this map	Dieser Gegenstand kann hier auf der Karte nicht benutzt werden. 
You cannot change your teaching this way after choosing one.	Du deine Lehre nicht auswählen, wenn du bereits eine Lehre hast. 
's Mount	's Reittier 
This is not the correct evolution item for this item or it has none	Dieser Gegenstand ist nicht erweiterbar, da er bereits auf der Stufe ist oder gar nicht erweiterbar ist. 
Do not spam the chat!	Bitte spam nicht den Chat voll. 
You can post a new comment in: %02d minutes and %02d seconds!	Du kannst erst in %02d Minuten und %02d Sekunden eine Gildennotiz hinterlassen! 
WEDDING_ENDING_SOON	Die Hochzeit wird beendet. 
WEDDING_ENDING_LEAVE	Die Hochzeit wurde beendet. 
성공적으로 속성이 추가 되었습니다	Der Bonus wurde hinzugefügt. 
더 이상 이 아이템으로 속성을 추가할 수 없습니다	Dieser Gegenstand kann nicht weiter verbessert werden. Die maximale Anzahl Boni ist bereits erreicht. 
You cannot use this item on this map.	Du kannst dieses Item hier nicht benutzen. 
{} do not spam in whispers	{} bitte nicht spamen! 
Chat has been banned on the operator form.	Dein Chat wurde gesperrt. 
{} is not online	{} ist nicht online! 
{} does not accept private messages	{} erlaubt keine privaten Nachrichten! 
You have blocked private messages	Du hast den Flüsterblock aktiviert! 
Cannot equip a costume without a weapon	Du kannst kein Kostüm tragen ohne eine Waffe. 
Cannot equip a costume not matching the weapon type.	Du kannst kein Kostüm ausrüsten, das nicht dem Waffentyp entspricht. 
You cannot do this so fast.	Diese Tätigkeit kann nicht so schnell ausgeübt werden. 
Automatic unstuck did not find a valid position. Ask a GM.	Automatisches Entbuggen hat keine gültige Position gefunden. 
CHANGE_CHANNEL_UNAVAILABLE	Dieser Channel ist nicht verfügbar. 
CHANGE_CHANNEL_ALREADY	Du befindest dich bereits auf dem ausgewählten Channel. 
YOU_CANNOT_OPEN_SHOP_ON_THIS_MAP	Auf dieser Map kannst du keinen Shop eröffnen. 
ITEM_CANNOT_BE_DESTROYED	Dieser Gegenstand kann nicht zerstört werden. 
%s has been banned for %s because of: %s	%s wurde für %s aus dem Grund: %s gebannt. 
%s has been banned permanently with reason: %s	%s wurde permanent aus dem Grund: %s gebannt. 
%s accounts were banned permanently because of: %s	%s Accounts wurden permanent aus dem Grund: %s gebannt. 
The dungeon master is checking right now	Der Dungeonwärter prüft euren Fortschritt
The dungeon master is checking your progress every 45 seconds	Der Dungeonwärter prüft euren Fortschritt alle 45 Sekunden

WITHDRAW_%d_GOLD	Du hast %d Yang abgehoben
PRIVATE_SHOP_SEARCH_SYSTEM_DISABLED	Die Shopsuche ist deaktiviert
YOU_CANNOT_BUY_THIS_BECAUSE_NOT_IN_SAME_MAP	Du kannst dieses Item nicht kaufen, weil du dich nicht auf der selben Map befindest.
CANT_DO_THIS_BECAUSE_PET_HATCHING_WINDOW_OPEN	Du kannst das nicht tun, wenn ein Pet Fenster geöffnet ist.
CANT_DO_THIS_BECAUSE_OTHER_WINDOW_OPEN	Schließe erst alle anderen Fenster.
YOU_NEED_TO_CLOSE_YOUR_CURRENT_SHOP_BEFORE_OPENING_NEW_ONE Du musst deinen aktuellen Shop vor der eröffnung schließen.
PRIVATE_SHOP_NOT_OPEN	Shop nicht geöffnet.
YOU_CANNOT_TAKE_ITEMS_FROM_MYSHOP_FROM_FAR_AWAY	Du bist zu weit entfernt.
YOU_CANNOT_ADD_ITEMS_TO_MYSHOP_FROM_FAR_AWAY	Du bist zu weit entfernt.
ITEMS_BEING_IN_USE_CAN_NOT_BE_SOLD_IN_SHOP	Das Item kann nicht verkauft werden.
YOU_DONT_HAVE_ENOUGH_INVENTORY_SPACE_TO_CLOSE_YOUR_SHOP	Du hast nicht genug Plaz im Inventar um den Shop zu schließen.
WITHDRAW_%d_GOLD	%d Yang ausbezahlt.
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	Den Shop Namen kannst du jede 60 Minuten ändern. Nächste Änderung: (%02d:%02d_left)
SHOP_SIGN_INVALID_OR_TOO_SMALL	Shopzeichen Ungültig oder nicht erlaubt.
SHOP_NAME_NOT_ALLOWED	Shopname nicht erlaubt.
d%_GOLD_WITHDRAWN_FROM_SHOP	%d Yang wurden ausbezahlt.
SALE_OF_%d_OF_%s_FOR_%s_GOLD	Verkauf von %d %s für %s Yang
YOUR_SHOP_HAS_CLOSED_AFTER_RUNNING_OUT_OF_ITEMS_TOTAL_PROFIT_%s	Dein Shop ist leer und wurde geschlossen. Dein Profit: %s
Valentine chasm: Destroy all metins and get a gem!	Zerstöre alle Metins und bekomme ein Juwel!
Valentine chasm: You still have to destroy 5 metins	Du musst noch 5 Metins zerstören!
Valentine chasm: You still have to destroy 4 metins	Du musst noch 4 Metins zerstören!
Valentine chasm: You still have to destroy 3 metins	Du musst noch 3 Metins zerstören!
Valentine chasm: You still have to destroy 2 metins	Du musst noch 2 Metins zerstören!
Valentine chasm: You still have to destroy 1 metins	Du musst noch 1 Metins zerstören!
Valentine chasm: You destroyed all metin stones!	Du hast alle Metinsteine zerstört!
Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!	Monster kommen! Jetzt packe den Edelstein in den Denkmal und zerstöre ihn!
Valentine chasm: Monsters are coming!	Monster kommen!
Valentine chasm: Kill them all!	Besiege sie alle!
Valentine chasm: Find an unknown herb and take it to Lady.	Finde ein unbekanntes Kraut und bringe es zu Lady.
Valentine chasm: You will be teleported to the next level.	Du wirst in die nächste Stufe teleportiert.
Valentine chasm: Kill all monsters!	Besiege sie alle!
Valentine chasm: Destroy the right metin to spawn rhodolite ore!	Zerstöre den richtige Metin, um Rhodolitherze zu laichen!
Valentine chasm: Rhodolite ore was just spawned!	Rhodolith-Erz wurde gerade gespawnt!
Valentine chasm: There was nothing in this metin.	Es gab nichts in diesem Metin.
Valentine chasm: This ore is too hard.	Diese Ader ist zu hart.
Valentine chasm: Even a pick is too weak for it.	Selbst eine Spitzhacke ist zu schwach dafür.
Valentine chasm: Let's speak with dryade again.	Lass uns noch einmal mit der Dryade sprechen.
Valentine chasm: Open the ore with magic dust	Öffne die Ader mit dem magischen Staub.
Valentine chasm: Give the rhodolite to dryade.	Den Rhodolithen zum Dryaden geben.
Valentine chasm: You get a chocolate.	Du bekommst eine Schokolade.
Valentine chasm: Look, Lady Valentine. Go to speak with her!	Schau, Lady Valentine. Geh und sprich mit ihr!
Valentine chasm: Fast!!	Schnell!!
Valentine chasm: Give the poisoned chocolate to dryade!	Gib die vergiftete Schokolade der Dryade!
Dryade: You've killed me!	Dryade: Du hast mich umgebracht!
Dryade: You fooooool!	Dryade: Du Schwachkopf!
Valentine chasm: You've killed valentine tree!	Du hast den Valentinsbaum getötet!
Valentine chasm: Dungeon was succesfully finished!	Der Dungeon wurde erfolgreich beendet!
Valentine chasm: Kill the Valentine tree	Besiege den Valentinsbaum
Valentine chasm: You have killed all monsetrs!	Du hast alle Monster getötet!
Valentine chasm: Let's speak with ghost of Lady Valentine	Lasst uns mit dem Geist von Lady Valentine sprechen.
Valentine chasm: You still have to kill %d mobs to move on.	Du musst immer noch %d Monster töten, um weiterzumachen.
Valentine chasm: Another wave of monsters is coming!	Eine weitere Welle von Monstern kommt!
Valentine chasm: Valentine tree doesn't want to give up!"	Der Valentinsbaum will nicht aufgeben!
Valentine chasm: You still have to kill %d mobs to move on.	Du musst immer noch %d Monster töten, um weiterzumachen.
Valentine chasm: You have killed all monsetrs!	Du hast alle Monster getötet!
Valentine chasm: But something is wrong.. Lady Valentine is not here	Aber etwas stimmt nicht.... Lady Valentine ist nicht hier.
Valentine chasm: Look, Dryade!	Schau, Dryade!
Valentine chasm: You still have to kill %d mobs to move on.	Du musst immer noch %d Monster töten, um weiterzumachen.
Valentine chasm: 15 minutes left!	Noch 15 Minuten!
Valentine chasm: 10 minutes left!	Noch 10 Minuten!
Valentine chasm: 5 minutes left!	Noch 5 Minuten!
Valentine chasm: You are running out of time! Hurry up!	Dir läuft die Zeit davon! Beeilt euch!
Valentine chasm: 1 minute left!	Noch 1 Minute!
Valentine chasm: You are almost failed!!	Du bist fast gescheitert!
Valentine chasm: Time has expired!	Die Zeit ist abgelaufen!
Valentine chasm: You failed!	Du hast versagt!
Valentine chasm: You will be teleported out of dungeon!	Du wirst aus dem Dungeon teleportiert!
Pukei: Now open first door	Pukei: Öffne jetzt die erste Tür.
Pukei: Great! First floor is done!	Pukei: Großartig! Der erste Stock ist geschafft!
Pukei: In this floor destroy all metinstones	Pukei: Zerstöre alle Metinsteine in diesem Stockwerk.
Pukei: %s stones has left!	Pukei: %s Steine sind übrig!
Pukei: All stones are destroyed!	Pukei: Alle Steine sind zerstört!
Pukei: Monsters are coming!!	Pukei: Monster kommen!!!!!
Pukei: Kill them all!	Pukei: Tötet sie alle!
Pukei: Good work!	Pukei: Gute Arbeit!
Pukei: Let's open next door!	Pukei: Lasst uns die nächste Tür öffnen!
You've just found first Lymph stone!	Du hast gerade den ersten Lymphstein gefunden!
Pukei: %s stones has left!	Pukei: %s Steine sind übrig!
Pukei: You've destroyed all the stones!	Pukei: Du hast alle Steine zerstört!
Pukei: Let's destroy another fountain!	Pukei: Lasst uns einen weiteren Brunnen zerstören!
Pukei: %s stones has left!	Pukei: %s Steine sind übrig!
Pukei: All stones are destroyed!	Pukei: Alle Steine sind zerstört!
Pukei: Monsters are coming!!	Pukei: Monster kommen!!!!!
Pukei: You're doing amazing!	Pukei: Du machst das unglaublich!
Pukei: Let's open the last fountain	Pukei: Lasst uns den letzten Brunnen öffnen.
Pukei: Excellent work!	Pukei: Ausgezeichnete Arbeit!
Pukei: One more bastard!	Pukei: Noch ein Bastard!
Pukei: Perfect! You've got next Lymph stone!	Pukei: Perfekt! Du hast den nächsten Lymphstein!
Pukei: You're doing amazing!	Pukei: Du machst das unglaublich!
Pukei: Let's open the last fountain	Pukei: Lasst uns den letzten Brunnen öffnen.
Pukei: 4 more fountains has left!	Pukei: Es sind noch 4 weitere Brunnen übrig!
Pukei: Next lymph stone is inside metin stone	Pukei: Der nächste Lymphstein ist im Inneren von Metin Stein.
Pukei: In the last one	Pukei: In der letzten
Pukei: 3 more fountains has left!	Pukei: Es sind noch 3 weitere Brunnen übrig!
Pukei: 2 more fountains has left!	Pukei: 2 weitere Brunnen sind noch übrig!
Pukei: The monsters starting to be really annoying!	Pukei: Die Monster fangen an, wirklich nervig zu sein!
Pukei: More and more of them are coming..	Pukei: Immer mehr von ihnen kommen....
Pukei: Kill them all!	Pukei: Tötet sie alle!
Pukei: 2 more fountains has left!	Pukei: 2 weitere Brunnen sind noch übrig!
Pukei: 2 big plants just arrived!	Pukei: 2 große Pflanzen sind gerade angekommen!
Pukei: It looks like this floor has no end..	Pukei: Es sieht so aus, als hätte dieser Boden kein Ende....
Pukei: Kill them both!	Pukei: Tötet sie beide!
Pukei: Just one last fountain left!	Pukei: Nur noch ein letzter Brunnen übrig!
Pukei: Infected big plant is the last opponent!	Pukei: Infizierte große Pflanze ist der letzte Gegner!
Pukei: Massacre it!	Pukei: Massakriert es!
Pukei: %s stones has left!	Pukei: %s Steine sind übrig!
Pukei: All stones are destroyed!	Pukei: Alle Steine sind zerstört!
Pukei: Monsters are coming!!	Pukei: Monster kommen!!!!!
Pukei: Good job!	Pukei: Gute Arbeit!
Pukei: Let's open another door of death.	Pukei: Lasst uns eine weitere Tür des Todes öffnen.
Pukei: Hahaha....	Pukei: Hahaha........
Pukei: Look! Bottle of watter!	Pukei: Schau! Eine Flasche Wasser!
Pukei: You've found great mushroom!	Pukei: Du hast einen tollen Pilz gefunden!
Pukei: Bring it fast to Poisoned botani!	Pukei: Bring es schnell zu vergifteten Botanikern!
Pukei: Any of this mushrooms are good enough.	Pukei: Jeder dieser Pilze ist gut genug.
Pukei: Oh no, the water was poisoned	Pukei: Oh nein, das Wasser war vergiftet.
Pukei: Botani died....	Pukei: Botani starb........
Pukei: Open next door, quickly!!	Pukei: Öffne die Tür nebenan, schnell!!!!
Pukei: All hives and bees are dead!	Pukei: Alle Bienenstöcke und Bienen sind tot!
Pukei: Now kill both %s 's	Pukei: Töte jetzt beide %s's.
Pukei: You did it!!	Pukei: Du hast es geschafft!!!!
Pukei: ------------------------	Pukei: -----------------------------------------
Pukei: Something is happening!	Pukei: Es passiert etwas!
Pukei: The Pukei-Mu-Tai is coming!	Pukei: Der Pukei-Mu-Tai kommt!
Pukei: You succesfully finished the dungeon.	Pukei: Du hast den Dungeon erfolgreich beendet.
Pukei: Congratulation!	Pukei: Herzlichen Glückwunsch!
Pukei: ------------------------------------	Pukei: ----------------------------------------------------------------
Pukei: You will be teleported out of dungeon in 2 minutes.	Pukei: Du wirst in 2 Minuten aus dem Verlies teleportiert.
Pukei: Another wave of monsters is coming!	Pukei: Eine weitere Welle von Monstern kommt!
Pukei: You still have to defeat %s creatures to move on.	Pukei: Du musst noch %s-Monster besiegen, um weitermachen zu können.
Pukei: You've killed all monsters!	Pukei: Du hast alle Monster getötet!
Pukei: Destroy the metin!	Pukei: Zerstöre den Metinstein!
Pukei: You still have to defeat %s creatures to move on.	Pukei: Du musst noch %s-Monster besiegen, um weitermachen zu können.
Pukei: You've killed all monsters!	Pukei: Du hast alle Monster getötet!
Pukei: The ground is shaking!!	Pukei: Der Boden zittert!!!!!
Pukei: Big plant is coming!	Pukei: Die große Pflanze kommt!
Pukei: You still have to defeat %s creatures to move on.	Pukei: Du musst noch %s-Monster besiegen, um weitermachen zu können.
Pukei: You've killed all monsters.	Pukei: Du hast alle Monster getötet.
Pukei: Now destroy a metin stone!	Pukei: Jetzt zerstöre einen Metinstein!
Pukei: You still have to defeat %s creatures to move on.	Pukei: Du musst noch %s-Monster besiegen, um weitermachen zu können.
Pukei: Destroy that wierd metin stone to get next stone!	Pukei: Zerstöre diesen seltsamen Metin-Stein, um den nächsten Stein zu erhalten!
Pukei: You still have to defeat %s creatures to move on.	Pukei: Du musst noch %s-Monster besiegen, um weitermachen zu können.
Pukei: Another metin wave is coming!	Pukei: Eine weitere Metinwelle kommt!
Pukei: You still have to defeat %s monsters to move on.	Pukei: Du musst immer noch %s Monster besiegen, um weiterzumachen.
Pukei: %s is coming! Kill it!!	Pukei: %s kommt! Tötet es!!!!
Pukei: You still have to defeat %s monsters to move on.	Pukei: Du musst immer noch %s Monster besiegen, um weiterzumachen.
Pukei: Oh no.. %s is coming! And not just one..	Pukei: Oh nein... %s kommt! Und nicht nur eine....
Pukei: Kill them both!!	Pukei: Tötet sie beide!!!!
Pukei: You still have to defeat %s monsters to move on.	Pukei: Du musst immer noch %s Monster besiegen, um weiterzumachen.
Pukei: It's not going to be easy.	Pukei: Es wird nicht einfach werden.
Pukei: Destroy all metinstones to get a special fire.	Pukei: Zerstöre alle Metinsteine, um ein besonderes Feuer zu erhalten.
Pukei: You need to destroy all the bee hives!	Pukei: Du musst alle Bienenstöcke zerstören!
Pukei: You still have to defeat %s monsters to move on.	Pukei: Du musst immer noch %s Monster besiegen, um weiterzumachen.
Pukei: 45 minutes left!	Pukei: Noch 45 Minuten!
Pukei: 30 minutes left!	Pukei: Noch 30 Minuten!
Pukei: 15 minutes left!	Pukei: Noch 15 Minuten!
Pukei: 10 minutes left! Hurry up!!	Pukei: Noch 10 Minuten! Beeil dich!!!!
Pukei: 5 minutes left! The time is running out!	Pukei: Noch 5 Minuten! Die Zeit läuft ab!
Pukei: 1 minute left! You almost failed!	Pukei: Noch 1 Minute! Du hast fast versagt!
Pukei: You will be teleported out of dungeon!	Pukei: Du wirst aus dem Verlies teleportiert


Easter dungeon: Now destroy all metin stones.	Zerstöre jetzt alle Metinsteine!
Easter dungeon: Defeat Evil easter rabbit!	Besiege den bösen Osterhase!
Easter dungeon: Well done! Now kill all monsters!	Gut gemacht! Töte jetzt alle Monster!
Easter dungeon: Give the coin to rabbit!	Gib dem Kaninchen die Münze!
Easter dungeon: He has cheated on you!	Er hat dich betrogen!
Easter dungeon: Be careful! Monsters are coming!	Seid vorsichtig! Monster kommen!
Easter dungeon: Well done! Now kill all monsters!	Gut gemacht! Töte jetzt alle Monster!
Easter dungeon: You've succefuly finished the dungeon!	Du hast den Dungeon erfolgreich beendet!
Easter dungeon: You will be teleported in 30 seconds.	Du wirst in 30 Sekunden herausteleportiert.
Easter dungeon: Well done! Now destroy an easter egg!	Gut gemacht! Jetzt zerstöre ein Osterei!
Easter dungeon: You've succesfuly killed all monsters.	Du hast erfolgreich alle Monster getötet.
Easter dungeon: Destroy a metin stone to move on!	Zerstöre einen Metinstein, um weiter zu kommen!
Easter dungeon: You will jump to next level!	Du wirst auf die nächste Ebene teleportiert!
Easter dungeon: Destroy evil egg to get a key.	Zerstöre böse Eier, um einen Schlüssel zu bekommen.
