%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
YOU_DECREASED_EXCHANGE_GOLD_TO_%s	You reduced the gold to %s. 
YOU_HAVE_%s_GOLD_WAITING_WITHDRAW_SHOP	you have %s gold in your offlineshop. 
YOU_INCREASED_EXCHANGE_GOLD_TO_%s	You increased the gold to %s. 
YOU_READIED_UP_EXCHANGE	You prepare the trading. 
YOU_REMOVED_%d_OF_EXCHANGE_ITEM_%s	you removed %d to %s. 
YOU_REMOVED_EXCHANGE_ITEM_%s	You removed the item %s. 
YOU_REMOVED_READY_EXCHANGE	You have stopped the trading. 
You blocked %s	%s ist blockiert! 
You can not change the equipment you are wearing while you are polymorphed.	You can not change the equipment you are wearing while you are polymorphed.
You can only adjust your points while you are still.	You can only adjust your points without moving.
You can post a new comment in: %02d minutes and %02d seconds!	You can post a new comment in: %02d minutes and %02d seconds seconds! 
You can wear it only when you are still.	You can wear it only when you dont move.
You cannot activate two items of this kind.	You cannot activate two items of this kind.
You cannot block a game master	You cannot block a game master! 
You cannot change your teaching this way after choosing one.	You cannot change your teaching this way after choosing one. 
You cannot define a sealed item	You cannot define a sealed item! 
You cannot do this so fast.	You cannot do this so fast. 
You cannot equip this sash on this map	You cannot equip this sash on this map
You cannot open the guild storage without a guild.	You cannot open the guild storage without a guild.
You cannot use skills for 2 seconds after changing your equipment.	You cannot use skills for 0.5 seconds after changing your equipment. 
You have blocked private messages	You have blocked private messages! 
You need at least 3 free inventory slots to open a chest.	You need at least 3 free inventory slots to open a chest.
You need to be atleast level %d to use the shout chat.	You need to be atleast level %d to use the shout chat.
you cannot use this item on this map.	You cannot use this pet-seal-item on this map. 
{} do not spam in whispers	{} do not spam in whispers! 
{} does not accept private messages	{} does not accept private messages! 
{} is not online	{} is not online! 
더 이상 이 아이템으로 속성을 추가할 수 없습니다	The maximum number of bonuses has already been reached. 
성공적으로 속성이 추가 되었습니다	The bonus was added. 
The dungeon master is checking right now	The dungeon master is checking right now
The dungeon master is checking your progress every 45 seconds	The dungeon master is checking your progress every 45 seconds
Valentine chasm: Destroy all metins and get a gem!	Destroy all metins and get a gem!
Valentine chasm: You still have to destroy 5 metins	You still have to destroy 5 metins!
Valentine chasm: You still have to destroy 4 metins	You still have to destroy 4 metins!
Valentine chasm: You still have to destroy 3 metins	You still have to destroy 3 metins!
Valentine chasm: You still have to destroy 2 metins	You still have to destroy 2 metins!
Valentine chasm: You still have to destroy 1 metins	You still have to destroy 1 metins!
Valentine chasm: You destroyed all metin stones!	Valentine chasm: You destroyed all metin stones!
Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!	Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!
Valentine chasm: Monsters are coming!	Valentine chasm: Monsters are coming!
Valentine chasm: Kill them all!	Valentine chasm: Kill them all!
Valentine chasm: Find an unknown herb and take it to Lady.	Valentine chasm: Find an unknown herb and take it to Lady.
Valentine chasm: You will be teleported to the next level.	Valentine chasm: You will be teleported to the next level.
Valentine chasm: Kill all monsters!	Valentine chasm: Kill all monsters!
Valentine chasm: Destroy the right metin to spawn rhodolite ore!	Valentine chasm: Destroy the right metin to spawn rhodolite ore!
Valentine chasm: Rhodolite ore was just spawned!	Valentine chasm: Rhodolite ore was just spawned!
Valentine chasm: There was nothing in this metin.	Valentine chasm: There was nothing in this metin.
Valentine chasm: This ore is too hard.	Valentine chasm: This ore is too hard.
Valentine chasm: Even a pick is too weak for it.	Valentine chasm: Even a pick is too weak for it.
Valentine chasm: Let's speak with dryade again.	Valentine chasm: Let's speak with dryade again.
Valentine chasm: Open the ore with magic dust	Valentine chasm: Open the ore with magic dust
Valentine chasm: Give the rhodolite to dryade.	Valentine chasm: Give the rhodolite to dryade.
Valentine chasm: You get a chocolate.	Valentine chasm: You get a chocolate.
Valentine chasm: Look, Lady Valentine. Go to speak with her!	Valentine chasm: Look, Lady Valentine. Go to speak with her!
Valentine chasm: Fast!!	Valentine chasm: Fast!!
Valentine chasm: Give the poisoned chocolate to dryade!	Valentine chasm: Give the poisoned chocolate to dryade!
Dryade: You've killed me!	Dryade: You've killed me!
Dryade: You fooooool!	Dryade: You fooooool!
Valentine chasm: You've killed valentine tree!	Valentine chasm: You've killed valentine tree!
Valentine chasm: Dungeon was succesfully finished!	Valentine chasm: Dungeon was succesfully finished!
Valentine chasm: Kill the Valentine tree	Valentine chasm: Kill the Valentine tree
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: Let's speak with ghost of Lady Valentine	Valentine chasm: Let's speak with ghost of Lady Valentine
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: Another wave of monsters is coming!	Valentine chasm: Another wave of monsters is coming!
Valentine chasm: Valentine tree doesn't want to give up!"	Valentine chasm: Valentine tree doesn't want to give up!"
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: But something is wrong.. Lady Valentine is not here	Valentine chasm: But something is wrong.. Lady Valentine is not here
Valentine chasm: Look, Dryade!	Valentine chasm: Look, Dryade!
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: 15 minutes left!	Valentine chasm: 15 minutes left!
Valentine chasm: 10 minutes left!	Valentine chasm: 10 minutes left!
Valentine chasm: 5 minutes left!	Valentine chasm: 5 minutes left!
Valentine chasm: You are running out of time! Hurry up!	Valentine chasm: You are running out of time! Hurry up!
Valentine chasm: 1 minute left!	Valentine chasm: 1 minute left!
Valentine chasm: You are almost failed!!	Valentine chasm: You are almost failed!!
Valentine chasm: Time has expired!	Valentine chasm: Time has expired!
Valentine chasm: You failed!	Valentine chasm: You failed!
Valentine chasm: You will be teleported out of dungeon!	Valentine chasm: You will be teleported out of dungeon!

Easter dungeon: Now destroy all metin stones.	Easter dungeon: Now destroy all metin stones.
Easter dungeon: Defeat Evil easter rabbit!	Easter dungeon: Defeat Evil easter rabbit!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: Give the coin to rabbit!	Easter dungeon: Give the coin to rabbit!
Easter dungeon: He has cheated on you!	Easter dungeon: He has cheated on you!
Easter dungeon: Be careful! Monsters are coming!	Easter dungeon: Be careful! Monsters are coming!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: You've succefuly finished the dungeon!	Easter dungeon: You've succefuly finished the dungeon!
Easter dungeon: You will be teleported in 30 seconds.	You will be teleported in 30 seconds.
Easter dungeon: Well done! Now destroy an easter egg!	Easter dungeon: Well done! Now destroy an easter egg!
Easter dungeon: You've succesfuly killed all monsters.	Easter dungeon: You've succesfuly killed all monsters.
Easter dungeon: Destroy a metin stone to move on!	Easter dungeon: Destroy a metin stone to move on!
Easter dungeon: You will jump to next level!	Easter dungeon: You will jump to next level!
Easter dungeon: Destroy evil egg to get a key.	Easter dungeon: Destroy evil egg to get a key.
Easter dungeon: Kill all metin stones!	Easter dungeon: Kill all metin stones!
Easter dungeon: 15 minutes left!	Easter dungeon: 15 minutes left!
Easter dungeon: 10 minutes left!	60 minutes left!
Easter dungeon: 5 minutes left! The time is running out!	Easter dungeon: 5 minutes left! The time is running out!
Easter dungeon: 1 minutes left! You're almost failed!	Easter dungeon: 1 minutes left! You're almost failed!
Easter dungeon: You will be teleported out of dungeon!	Easter dungeon: You will be teleported out of dungeon!

Jagras: Kill all owls	Jagras: Kill all owls
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Something happened...	Jagras: Something happened...
Jagras: This key doesn't works. Next %s are coming!!	Jagras: This key doesn't works. Next %s are coming!!
Jagras: Kill them fast!!	Jagras: Kill them fast!!
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Destroy the metin in 2 minutes!!	Jagras: Destroy the metin in 2 minutes!!
Jagras: If you won't destroy it in 2 minutes,	Jagras: If you won't destroy it in 2 minutes,
Jagras: you will be out of the dungeon.	Jagras: you will be out of the dungeon.
Jagras: You succesfuly destroyed the metin!	Jagras: You succesfuly destroyed the metin!
Jagras: Monsters are coming!!	Jagras: Monsters are coming!!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: 4 metin stones left!	Jagras: 4 metin stones left!
Jagras: 3 metin stones left!	Jagras: 3 metin stones left!
Jagras: 2 metin stones left!	Jagras: 2 metin stones left!
Jagras: 1 metin stone left!	Jagras: 1 metin stone left!
Jagras: You've destroyed all metin stones.	Jagras: You've destroyed all metin stones.
Jagras: The gate to next floor is open!	Jagras: The gate to next floor is open!
Jagras: You've found first ingredient!	Jagras: You've found first ingredient!
Jagras: Be careful! Owls are coming!	Jagras: Be careful! Owls are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: There was nothing in this metin.	Jagras: There was nothing in this metin.
Jagras: Suran was defeated!	Jagras: Suran was defeated!
Jagras: You get another ingredient!	Jagras: You get another ingredient!
Jagras: Lira is alive thanks to you!	Jagras: Lira is alive thanks to you!
Jagras: Final floor is open now!	Jagras: Final floor is open now!
Jagras: 3 statues has left!	Jagras: 3 statues has left!
Jagras: 2 statues has left!	Jagras: 2 statues has left!
Jagras: 1 statue has left!	Jagras: 1 statue has left!
Jagras: All statues was destroyed!	Jagras: All statues was destroyed!
Jagras: Monsters are coming!	Jagras: Monsters are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: Perfect! Be prepared!	Jagras: Perfect! Be prepared!
Jagras: Jagras-Mu-Tai is coming!!!	Jagras: Jagras-Mu-Tai is coming!!!
Jagras: You succesfully finished the dungeon!	Jagras: You succesfully finished the dungeon!
Jagras: You will be teleported in 2 minutes	Jagras: You will be teleported in 30 seconds.
Jagras: out of dungeon.	Jagras: out of dungeon.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Watch out! Stronger monsters are coming!	Jagras: Watch out! Stronger monsters are coming!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Destroy all metin stones!	Jagras: Destroy all metin stones!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Suran is here!	Jagras: Suran is here!
Jagras: Defeat him!	Jagras: Defeat him!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Great job!	Jagras: Great job!
Jagras: Be careful now!	Jagras: Be careful now!
Jagras: 2 Surans are coming!	Jagras: 2 Surans are coming!
Jagras: Kill them!	Jagras: Kill them!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: 30 minutes left!	Jagras: 30 minutes left!
Jagras: 15 minutes left!	Jagras: 15 minutes left!
Jagras: 10 minutes left!	Jagras: 10 minutes left!
Jagras: 5 minutes left!	Jagras: 5 minutes left!
Jagras: Hurry up!!	Jagras: Hurry up!!
Jagras: 1 minute left!	Jagras: 1 minute left!
Jagras: You are almost failed!!	Jagras: You are almost failed!!
Jagras: Time has expired!	Jagras: Time has expired!
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!

PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	You must wait %d seconds. %d seconds left. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	No item found. 
Die Gruppe von	The group of 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 absolved the Underwater-Dungeon, congratulations! 
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	Grupa %s uczyniła %s %s. Pokonany! Gratulacje! (%s Seconds)
%s hat den %s gekillt	Grupa %s uczyniła %s! Gratulacje!
%s hat das maximale Level erreicht, Glückwunsch!	%s osiągnął maksymalny poziom, gratulacje!
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Maintenance shutdown will begin in %d seconds.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
There isn't enough space in the inventory.	There isn't enough space in the inventory.
%s has married %s	%s has %s married.
Block: 	Block: 
Guild	Guild
Exchange	Exchange
Duel	Duel
Request	Request
Chat	Chat
Whisper	Whisper
Friend	Friend
Equip	Equip
Shop	Shop
Group	Group
There are invalid characters in your title.	There are invalid characters in your title.
You cannot use this color in your title.	You cannot use this color in your title.
The player %s blocked viewing of his equipment!	The player %s blocked viewing of his equipment!
You blocked duel requests for %s	You blocked duel requests for %s
You cannot activate and deactivate this so quickly	You cannot activate and deactivate this so quickly
You can only change your equipment while you are still.	You can only change your equipment while you are still.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	You can't do this activity yet.
You cannot perform this action right now.	You cannot perform this action right now.
You can't open an empty shop.	Du kannst keinen leeren Laden eröffnen.
You already have a shop opened.	Du hast bereits einen Laden offen. 
You sold %dx %s for %lld Yang.	You sold %dx %s for %lld Yang.
You've withdrawn %lld Yang from your shop sales stash.	Du hast %lld Yang vom Laden abgehoben. 
ITEM_SEALED	This item was successfully soulbound.
ITEM_SEALED_CANNOT_MODIFY	Soulbound items cannot be modified.
변경 시킬 속성이 없습니다	You cannot enchant this item without the 6/7 bonus.
You cannot open a storage if another Window is already open.	Du kannst keinen Laden öffnen, wenn bereits ein anderes Fenster offen ist.
Switchbot Slot %d stopped out of bonus changers.	Switchbot Slot %d stopped out of bonus changers.
Du wirst in %s Sekunden herausteleportiert.	You will be teleported in %s seconds.
You don't have enough money!	You don't have enough money!
You can not open a shop while you are trading.	You can not open a shop while you are trading.
Your cannot spawn your pet while having the status window open.	Your cannot spawn your pet while having the status window open.
You cannot add attributes to this item.	You cannot add attributes to this item.
You cannot change the attributes of this item.	You cannot change the attributes of this item.
This food can only be used for pet level %d to %d	This food can only be used for pet level %d to %d
This food is only for pets	This food is only for pets
Your pet no longer listens to you. Your level is too low.	Your pet no longer listens to you. Your level is too low.
The pet already has reached its maximum level	The pet already has reached its maximum level
<Guild> The field war is disabled on this server.	<Guild> The field war is disabled on this server.
You can not use this so fast.	You can not use this so fast.
You have successfully added a socket to this item.	You have successfully added a socket to this item.
You cannot add sockets to this item.	You cannot add sockets to this item.
Successfully added a socket to this item	Successfully added a socket to this item
This item already cannot gain more sockets.	This item already cannot gain more sockets.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	You cannot move items while you are in a Shop.
You cannot add sockets to an item with less than 3 sockets.	You cannot add sockets to an item with less than 3 sockets.
You can only change your shop name once every hour (%02d:%02d:%02d).	You can only change your shop name once every hour (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	You tried to put at least one item into the shop which can not be traded yet.
You cannot use this item on this map.	You cannot use this item on this map.
%s scored first blood	%s scored first blood
You cannot unequip the armor. Not enough space for your armor effect	You cannot unequip the armor. Not enough space for your armor effect
You need to wait some time for the next emotion.	You need to wait some time for the next emotion.
%s blocks duel requests	%s blocks duel requests
Failed to make one socket permanent	Failed to make one socket permanent
Successfully to made one socket permanent	Successfully to made one socket permanent
Already every socket permanent	Already every socket permanent
A world boss is [%s] spawned.	A world boss is [%s] spawned.
You cannot use this item in this area.	You cannot use this item in this area.
Missing %s %s to create the recipe you have chosen	Missing %s %s to create the recipe you have chosen
Double Drop Amount	Double-Loot-Event
Double-Loot Event is active!	Double-Loot Event is active!
%s: Double-Loot Event is active	%s: Double-Loot Event is active
%s: Double-Loot Event ended	%s: Double-Loot Event ended
%s has killed you with hp %d left over.	%s zabił cię, a pozostało ci jeszcze %d hp.
There is no one currently registered in the ranking.	There is no one currently registered in the ranking.
Player %s successfully finished Battle Pass %s.	Player %s successfully finished Battle Pass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Zniszcz kamień w ciągu 4 minut!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: W przeciwnym razie zostaniesz teleportowany z dungeonu.
Ancient pyramid: You will continue in few seconds.  Kulve Taroth: Za kilka sekund będziesz kontynuować.
Ancient pyramid: You have failed!	Kulve Taroth: Nie udało ci się!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Zabijaj potwory, aby zbierać kawałki pergamenu, gdy masz 4 kawałki
Ancient pyramid: destroy the %s!	Kulve Taroth: zniszczyć %s!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Masz wszystkie kawałki! Idź do pieczęci i rozszyfruj ją!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: To było zaklęcie przywołujące %s, zabij je!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: W ciągu kilku sekund przeskoczysz na następne piętro
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Znajdź i zniszcz właściwe %s w ciągu 21 minut!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Uważaj, kryje się w nich coś silnego!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Zniszczyłeś właściwy kamień!
Ancient pyramid: %s is coming!	Kulve Taroth: %s nadchodzi!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Ten kamień był tylko iluzją.
Ancient pyramid: You have failed!	Kulve Taroth: Nie udało ci się!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: W ciągu kilku sekund przeskoczysz na następne piętro
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Znajdź wyjście z tego labiryntu!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: Na końcu musisz zabić prawdziwych %s!
Ancient pyramid: This was the real %s	Kulve Taroth: To był prawdziwy %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Za kilka sekund zostaniesz przeniesiony na następne piętro
Ancient pyramid: This was a fake %s!	Kulve Taroth: To był fałszywy %s!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Zniszcz wszystkie %s, ale uważaj, ma on swój własny mechanizm!
