ACCE_ABSORB_COST	Cena absorpcji: {}
MINI_GAME_CATCHKING_HELP_MSG4	Karta [5] leżała w zasięgu twojej odkrytej karty.\nNiestety nie otrzymujesz żadnych punktów. Wybierz teraz swojego króla [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Król uciekł! Gra dobiegła końca. \nJeżeli masz co najmniej 10 punktów, możesz odebrać swoją wygraną.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Nie możesz odebrać wygranej.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	W pobliżu jest [5].
MINI_GAME_CATCHKING_START_QUESTION	Za tę rundę zapłacisz: {} Yang oraz {}: {} szt.\nCzy chcesz teraz zagrać?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Może schwytać następujące karty: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Może schwytać następujące karty: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Może schwytać następujące karty: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Może schwytać następujące karty: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Może schwytać następujące karty: [1], [2], [3], [4], [5]\nJeżeli inna [5] będzie graniczyć z twoją odkrytą kartą,\n rozdanie zakończy się i nie otrzymasz żadnych punktów.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Może schwytać następujące karty: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	{}: 550 lub więcej
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	{}: 400 do 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	{}: 10 do 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Jeśli odkryjesz wszystkie karty w rzędzie, otrzymasz 10 dodatkowych punktów.
MINI_GAME_GIVEUP_QUESTION	Na pewno chcesz przerwać grę? Nie otrzymasz wtedy nagrody.
MINI_GAME_NOTICE_1	"Kliknij na ""Rzuć"", by ustalić, kto zacznie."
MINI_GAME_NOTICE_10	Ha! Udało ci się zbić komputer!
MINI_GAME_NOTICE_11	Co za pech! Komputer cię zbił.
MINI_GAME_NOTICE_12	Udało ci się wyrzucić Yut lub Mo i otrzymujesz dodatkowy ruch.
MINI_GAME_NOTICE_13	Gra dobiegła końca. Odbierz swoją nagrodę.
MINI_GAME_NOTICE_2	Rzuć pałeczkami Yut.
MINI_GAME_NOTICE_3	Komputer rzuca pałeczkami Yut, by ustalić, kto zacznie grę.
MINI_GAME_NOTICE_4	Komputer osiągnął niższy lub taki sam wynik i może zaczynać.
MINI_GAME_NOTICE_5	Udało ci się osiągnąć niższy wynik, więc możesz zaczynać.
MINI_GAME_NOTICE_6	Twój rzut: {}. Posuń się o następującą liczbę pól: {}.
MINI_GAME_NOTICE_7	Twój rzut: {}. Musisz cofnąć się o 1 pole.
MINI_GAME_NOTICE_8	Rzut: {}
MINI_GAME_NOTICE_9	Trwa kolejka komputera.
MINI_GAME_RUMI_DISCARD_QUESTION	Na pewno chcesz wyrzucić tę kartę?
MINI_GAME_RUMI_EXIT_QUESTION	Chcesz zakończyć swoją rundę gry i otrzymać wygraną?\nTwoje punkty i pozostałe karty zostaną zresetowane.
MINI_GAME_RUMI_START_QUESTION	Aby zagrać, musisz uiścić opłatę w wysokości {} Yang. Ponadto potrzebujesz {} x zestaw kart.\nChcesz zacząć grę?
MINI_GAME_YUTNORI_COM_WIN	Czasami się przegrywa, a czasami wygrywają inni.
MINI_GAME_YUTNORI_PC_WIN	I am the czempion!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Punktacja: {}
MINI_GAME_YUTNORI_RETHROW_BUTTON	Rzuć
MINI_GAME_YUTNORI_RETHROW_POPUP	Ale fart! Możesz rzucić jeszcze raz.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Aby zagrać w Yutnori, potrzebujesz {} Yang i {} planszę do Yutnori. \n Chcesz zagrać teraz?
MINUTE	Minut
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dziesięć Tysięcy
MONETARY_UNIT2	Sto Miliardów
MONEY_INPUT_DIALOG_SELLPRICE	Cena sprzedaży:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Anuluj
MOVE_CHANNEL_NOTICE	Jesteś połączony z kanałem {}.
MOVE_CHANNEL_NOT_MOVE	Nie możesz zmienić swojego kanału.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Wybór kanału
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz przesuwać przedmiotów, jeśli masz otwarty prywatny Magazyn.
MUSIC_EMPTY_MUSIC_LIST	Brak muzyki w tle.
MUSIC_METIN2_DEFAULT_THEMA	Standardowa muzyka Metin2
MUSIC_NOT_SELECT_MUSIC	Plik z muzyką nie został wybrany.
NEEFD_REST	Musisz najpierw odpocząć.
NOT_YET_SUPPORT	Nie jest obsługiwany
OPEN_THE_SPECIAL_ACTION_KIT	{} dodano do emocji.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Aby aktywować ten tryb musisz należeć do jakiejś Gildii.
OPTION_PVPMODE_NOT_SUPPORT	Nie możesz wybrać tej konfiguracji w Trybie PvP.
OPTION_PVPMODE_PROTECT	Musisz mieć co najmniej {} poziom, aby móc zmienić tryb PvP.
PARTY_ANSWER_TIMEOVER	Zaproszenie zostało odrzucone.
PARTY_BONUS_ATTACKER	Wartość Ataku: +{}
PARTY_BONUS_BERSERKER	Szybkość Ataku: +{}
PARTY_BONUS_BUFFER	Czas Trwania: +{}
PARTY_BONUS_DEFENDER	Obrona: +{}
PARTY_BONUS_EXP	Bonus DOŚ: {}%
PARTY_BONUS_SKILL_MASTER	Max PE: +{}
PARTY_BONUS_TANKER	Max PŻ: +{}
PARTY_BREAK_UP	Usuń Grupę
PARTY_DO_YOU_ACCEPT	 chce dołączyć do grupy.
PARTY_DO_YOU_JOIN	,  zaprasza Cię do swojej grupy. Czy chcesz przyjąć zaproszenie?
PARTY_EXP_DISTRIBUTION_MODE	Podział DOŚ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	zależy od poziomu
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Członkowie grupy o wyższym poziomie otrzymują więcej PD.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	równo
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Wszyscy otrzymują taką samą ilość PD.
PARTY_HEAL_ALL_MEMBER	Odnów wszystko.
PARTY_INCREASE_AREA_150	Zasięg grupy zwiększony o współczynnik 1,5.
PARTY_INCREASE_AREA_200	Zasięg grupy zwiększony o współczynnik 2.
PARTY_LEAVE	Opuść grupę
PARTY_LONGTIME_BONUS_EXP	Bonus DOŚ za długą grę grupową: +{}%
PARTY_MATCH_CANCEL	Wyszukiwanie grupy do [{}] została anulowana.
PARTY_MATCH_FAIL_FULL_MEMBER	Twoja grupa nie może przyjąć więcej członków.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nie możesz zarejestrować się do tego lochu.
PARTY_MATCH_FAIL_LEVEL	Masz za niski poziom.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Członek {} nie spełnia wymagań.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Wybierz najpierw loch.
PARTY_MATCH_FAIL_NOT_LEADER	Tylko lider grupy może przeprowadzić rejestrację.
PARTY_MATCH_FAIL_NO_ITEM	Masz za mało {}.
PARTY_MATCH_SEARCHING	Szukaj
PARTY_MATCH_START	Twoja grupa została pomyślnie zarejestrowana do lochu: [{}]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Wezwij członka grupy.
PARTY_REGEN_BONUS	Bonus za PŻ- + PE regeneracja: +{}%
PARTY_REQUEST_DENIED	Odrzucono zaproszenie.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ranking Strażnika Yu
PARTY_RK_CATEGORY_CZ_COW	Ranking Strażnika Chou
PARTY_RK_CATEGORY_CZ_DOG	Ranking Strażnika Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Ranking Strażnika Chen
PARTY_RK_CATEGORY_CZ_HORSE	Ranking Strażnika Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Ranking Strażnika Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Ranking Strażnika Zi
PARTY_RK_CATEGORY_CZ_PIG	Ranking Strażnika Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Ranking Strażniczki Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Ranking Strażnika Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Ranking Strażniczki Si
PARTY_RK_CATEGORY_CZ_TIGER	Ranking Strażnika Yin
PARTY_SET_ATTACKER	Ustanów jako Atakującego.
PARTY_SET_BERSERKER	Ustanów jako Berserker.
PARTY_SET_BUFFER	Ustanów jako Blokującego.
PARTY_SET_DEFENDER	Ustanów jako Obrońcę.
PARTY_SET_NORMAL	Wycofaj bonus.
PARTY_SET_SKILL_MASTER	Ustanów jako Mistrza Umiejętności.
PARTY_SET_TANKER	Ustanów jako Walczącego W Zwarciu.
PARTY_SKILL_ATTACKER	Podstawowa Wartość Ataku +{:.0f}
PARTY_SKILL_BERSERKER	Szybkość Ataku +{:.0f}
PARTY_SKILL_BUFFER	Czas trwania +{:.0f}
PARTY_SKILL_DEFENDER	Obrona +{:.0f}
PARTY_SKILL_HP_REGEN	Regeneracja PŻ +{:.0f}
PARTY_SKILL_PARTY_AREA	Zasięg Grupy +{:.0f}
PARTY_SKILL_SKILL_MASTER	Max PE +{:.0f}
PARTY_SKILL_SP_REGEN	Regeneracja PE +{:.0f}
PARTY_SKILL_TANKER	Max PŻ +{:.0f}
PARTY_SKILL_WARP	Możliwe wezwanie członków grupy.
PASSWORD_TITLE	Hasło do magazynu
PICK_ITEM_TITLE	Numer Przedmiotu
PICK_MONEY_TITLE	Kwota
PRIVATESHOPSEARCH_ABLITY_POTION	Rosa
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Delikatne sukno
PRIVATESHOPSEARCH_ARMOR	Wyposażenie
PRIVATESHOPSEARCH_ARROW	Strzały
PRIVATESHOPSEARCH_BELL	Dzwony
PRIVATESHOPSEARCH_BELT	Pasy
PRIVATESHOPSEARCH_BLEND	Mikstury
PRIVATESHOPSEARCH_BLOOD_PEARL	Krwawa Perła
PRIVATESHOPSEARCH_BLUE_PEARL	Niebieska Perła
PRIVATESHOPSEARCH_BODY	Zbroje
PRIVATESHOPSEARCH_BOW	Łuki
PRIVATESHOPSEARCH_BUYTIME	Chcesz kupić wybrany przedmiot?
PRIVATESHOPSEARCH_CLAW	Szpony
PRIVATESHOPSEARCH_CLEAR_POTION	Eliksiry
PRIVATESHOPSEARCH_COSTUME	Kostiumy
PRIVATESHOPSEARCH_COSTUMEBODY	Kostium
PRIVATESHOPSEARCH_COSTUMEHAIR	Fryzura
PRIVATESHOPSEARCH_COSTUME_ACCE	Szarfy
PRIVATESHOPSEARCH_COSTUME_MOUNT	Wierzchowiec
PRIVATESHOPSEARCH_CRYSTAL	Kryształ
PRIVATESHOPSEARCH_DAGGER	Sztylety
PRIVATESHOPSEARCH_DEAD	martwe
PRIVATESHOPSEARCH_DETACHMENT	Księga obróbki kamienia
PRIVATESHOPSEARCH_DIAMOND	Diament
PRIVATESHOPSEARCH_DS	Alchemia smoczych kamieni
PRIVATESHOPSEARCH_DS_BLACK	Onyks
PRIVATESHOPSEARCH_DS_BLUE	Szafir
PRIVATESHOPSEARCH_DS_GREEN	Jadeit
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Diament
PRIVATESHOPSEARCH_DS_YELLOW	Granat
PRIVATESHOPSEARCH_EAR	Kolczyki
PRIVATESHOPSEARCH_FAN	Wachlarze
PRIVATESHOPSEARCH_FISH	Ryby
PRIVATESHOPSEARCH_FOOTS	Buty
PRIVATESHOPSEARCH_GEM	Klejnoty
PRIVATESHOPSEARCH_GIFTBOX	Pudła z prezentami
PRIVATESHOPSEARCH_HEAD	Hełmy
PRIVATESHOPSEARCH_LIVE	żywe
PRIVATESHOPSEARCH_MATERIAL	Materiały
PRIVATESHOPSEARCH_METIN	Kamienie Duszy
PRIVATESHOPSEARCH_NECK	Naszyjniki
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Nie możesz kupić bez odpowiedniego przedmiotu.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Nie możesz szukać bez odpowiedniego przedmiotu.
PRIVATESHOPSEARCH_NODELAY_POTION	Przedmioty PŻ
PRIVATESHOPSEARCH_ORE	Ruda
PRIVATESHOPSEARCH_PET	System zwierzaków
PRIVATESHOPSEARCH_PETAGG	Jaja zwierzaków
PRIVATESHOPSEARCH_PETSKILLBOOK	Księgi Zwierza
PRIVATESHOPSEARCH_PICK	Kilofy
PRIVATESHOPSEARCH_POTION	Mikstury
PRIVATESHOPSEARCH_QUEST	Misja
PRIVATESHOPSEARCH_QUIVER	Kołczany
PRIVATESHOPSEARCH_RESOURCE	Ulepszanie przedmiotów
PRIVATESHOPSEARCH_ROD	Łowienie
PRIVATESHOPSEARCH_SELECTITEM	Wybrano przedmiot
PRIVATESHOPSEARCH_SHIELD	Tarcze
PRIVATESHOPSEARCH_SKILLBOOK	Księgi umiejętności
PRIVATESHOPSEARCH_SKILLFORGET	Księga zapomnienia
PRIVATESHOPSEARCH_SPECIAL	Inne
PRIVATESHOPSEARCH_STONE	Odłamek Energii
PRIVATESHOPSEARCH_SWORD	Miecze jednoręczne
PRIVATESHOPSEARCH_TREASUREBOX	Skrzynie
PRIVATESHOPSEARCH_TUNING	Zwoje
PRIVATESHOPSEARCH_TWOSWORD	Miecze oburęczne
PRIVATESHOPSEARCH_UNIQUE	Unikat
PRIVATESHOPSEARCH_USEITEM	Towary użytkowe
PRIVATESHOPSEARCH_USESPECIAL	Inne
PRIVATESHOPSEARCH_WEAPON	Broń
PRIVATESHOPSEARCH_WHITE_PEARL	Biała Perła
PRIVATESHOPSEARCH_WRIST	Bransolety
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nie możesz sprzedać tego Przedmiotu w prywatnym Magazynie.
PRIVATE_SHOP_CLOSE_QUESTION	Czy chcesz zamknąć prywatny Magazyn?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Wpisz nazwę swojego Sklepu.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena
PRIVATE_SHOP_IS_EMPTY	You can't open an empty shop.
PVP_LEVEL0	Bóg
PVP_LEVEL1	Nr Nazwa
PVP_LEVEL2	ExESoR
PVP_LEVEL3	Unikatowy
PVP_LEVEL4	Ragnarok
PVP_LEVEL5	Nieśmiertelny
PVP_LEVEL6	Eternal
PVP_LEVEL7	Mystic
PVP_LEVEL8	Nieskończoność
PVP_LEVEL9	Legendarny
PVP_LEVEL10	Godlike
PVP_LEVEL11	Boski
PVP_LEVEL12	Połowa człowieka
PVP_LEVEL13	Święty
PVP_LEVEL14	Błogosławiony
PVP_LEVEL15	Monarcha
PVP_LEVEL16	Baron
PVP_LEVEL17	Cesarz
PVP_LEVEL18	Król
PVP_LEVEL19	Royal
PVP_LEVEL20	Wielki Książę
PVP_LEVEL21	Arcyksiążę
PVP_LEVEL22	Książę
PVP_LEVEL23	Baron
PVP_LEVEL24	Licznik
PVP_LEVEL25	Noble
PVP_LEVEL26	Marszałek województwa
PVP_LEVEL27	Knightly
PVP_LEVEL28	Rycerz
PVP_LEVEL29	Centurion
PVP_LEVEL30	Squire
PVP_LEVEL31	Noble
PVP_LEVEL32	Dobra
PVP_LEVEL33	Good-natured
PVP_LEVEL34	Przyjazny
PVP_LEVEL35	Neutralny
PVP_LEVEL36	Agresywny
PVP_LEVEL37	Złośliwy
PVP_LEVEL38	Bezpłaskie
PVP_LEVEL39	Bauer
PVP_LEVEL40	Drażniący
PVP_LEVEL41	Provocative
PVP_LEVEL42	Bitchy
PVP_LEVEL43	Furios
PVP_LEVEL44	Beztrosko
PVP_LEVEL45	Nieustraszony
PVP_LEVEL46	Bezlitośnie
PVP_LEVEL47	Dyskryminacyjny
PVP_LEVEL48	Nieprzyjazny
PVP_LEVEL49	Złośliwy
PVP_LEVEL50	Zło
PVP_LEVEL51	Okrutny
PVP_LEVEL52	Desekrator
PVP_LEVEL53	Cholera!
PVP_LEVEL54	Przeklęty
PVP_LEVEL55	Bezlitosny
PVP_LEVEL56	Niszczyciel
PVP_LEVEL57	Bloodthirrysty
PVP_LEVEL58	Wygnany
PVP_LEVEL59	Blood God
PVP_LEVEL60	Szatan
PVP_LEVEL61	Lucyfer
PVP_LEVEL0_FEMALE	Bóg
PVP_LEVEL1_FEMALE	Nr Nazwa
PVP_LEVEL2_FEMALE	ExESoR
PVP_LEVEL3_FEMALE	Unikatowy
PVP_LEVEL4_FEMALE	Ragnarok
PVP_LEVEL5_FEMALE	Nieśmiertelny
PVP_LEVEL6_FEMALE	Eternal
PVP_LEVEL7_FEMALE	Mystic
PVP_LEVEL8_FEMALE	Nieskończoność
PVP_LEVEL9_FEMALE	Legendarny
PVP_LEVEL10_FEMALE	Godlike
PVP_LEVEL11_FEMALE	Boski
PVP_LEVEL12_FEMALE	Połowa człowieka
PVP_LEVEL13_FEMALE	Święty
PVP_LEVEL14_FEMALE	Błogosławiony
PVP_LEVEL15_FEMALE	Monarcha
PVP_LEVEL16_FEMALE	Baron
PVP_LEVEL17_FEMALE	Cesarz
PVP_LEVEL18_FEMALE	Król
PVP_LEVEL19_FEMALE	Royal
PVP_LEVEL20_FEMALE	Wielki Książę
PVP_LEVEL21_FEMALE	Arcyksiążę
PVP_LEVEL22_FEMALE	Książę
PVP_LEVEL23_FEMALE	Baron
PVP_LEVEL24_FEMALE	Licznik
PVP_LEVEL25_FEMALE	Noble
PVP_LEVEL26_FEMALE	Marszałek województwa
PVP_LEVEL27_FEMALE	Knightly
PVP_LEVEL28_FEMALE	Rycerz
PVP_LEVEL29_FEMALE	Centurion
PVP_LEVEL30_FEMALE	Squire
PVP_LEVEL31_FEMALE	Noble
PVP_LEVEL32_FEMALE	Dobra
PVP_LEVEL33_FEMALE	Good-natured
PVP_LEVEL34_FEMALE	Przyjazny
PVP_LEVEL35_FEMALE	Neutralny
PVP_LEVEL36_FEMALE	Agresywny
PVP_LEVEL37_FEMALE	Złośliwy
PVP_LEVEL38_FEMALE	Bezpłaskie
PVP_LEVEL39_FEMALE	Bauer
PVP_LEVEL40_FEMALE	Drażniący
PVP_LEVEL41_FEMALE	Provocative
PVP_LEVEL42_FEMALE	Bitchy
PVP_LEVEL43_FEMALE	Furios
PVP_LEVEL44_FEMALE	Beztrosko
PVP_LEVEL45_FEMALE	Nieustraszony
PVP_LEVEL46_FEMALE	Bezlitośnie
PVP_LEVEL47_FEMALE	Dyskryminacyjny
PVP_LEVEL48_FEMALE	Nieprzyjazny
PVP_LEVEL49_FEMALE	Złośliwy
PVP_LEVEL50_FEMALE	Zło
PVP_LEVEL51_FEMALE	Okrutny
PVP_LEVEL52_FEMALE	Desekrator
PVP_LEVEL53_FEMALE	Cholera!
PVP_LEVEL54_FEMALE	Przeklęty
PVP_LEVEL55_FEMALE	Bezlitosny
PVP_LEVEL56_FEMALE	Niszczyciel
PVP_LEVEL57_FEMALE	Bloodthirrysty
PVP_LEVEL58_FEMALE	Wygnany
PVP_LEVEL59_FEMALE	Blood God
PVP_LEVEL60_FEMALE	Szatan
PVP_LEVEL61_FEMALE	Lucyfer
HGUARD_CODE_ONLY_ALPHANUM	You can only use alpha numeric letters.
PVP_MODE_GUILD	PvP - gildia aktywowana
PVP_MODE_KILL	PvP - tryb wolny aktywowany
PVP_MODE_NORMAL	PvP - tryb pokojowy aktywowany.
PVP_MODE_PROTECT	Aktywowano ochronę przed PvP
PVP_MODE_REVENGE	PvP - tryb wrogi aktywowany
PVP_OPTION_KILL	Wolny
PVP_OPTION_NORMAL	Pokojowy
PVP_OPTION_PROTECT	Ochrona
PVP_OPTION_REVENGE	Wrogi
PVP_TOURNAMENT_DO_NOT_AUTO	Podczas turnieju PvP nie można korzystać z funkcji automatycznego ataku.
QUEST_APPEND	Otrzymano Nową Misję.
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Koniec czasu
QUEST_UNLIMITED_TIME	Brak limitu czasowego.
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Ten Przedmiot nie może zostać dodany do Szybkiego Pola Dostępu.
RANKING	Ranga
RANKING_BOARD_MEMBER	Członkowie
RECEIVE_MESSAGE	{} wysłał Ci wiadomość.
REFINE_COST	Cena za Ulepszenie: {} Yang
REFINE_DESTROY_WARNING	Ten przedmiot może zostać zniszczony podczas uszlachetnienia.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Czy na pewno chcesz ulepszyć przedmiot?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Przy niepowodzeniu twój przedmiot zostanie zniszczony. Czy chcesz kontynuować?
REFINE_DOWN_GRADE_WARNING	Przedmiot może zostać zdegradowany w ten sposób.
REFINE_DO_YOU_SEPARATE_METIN	Czy chcesz usunąć wszystkie Kamienie Duszy?
REFINE_FAILURE	Oj, nie udało się. Zawiedliśmy.
REFINE_FAILURE_CAN_NOT_ATTACH_STR	{} nie może zostać uwzględniony w tym Przedmiocie.
REFINE_FAILURE_DEL_ITEM	Uszlachetnienie nie powiodło się. Przedmiot został zniszczony.
REFINE_FAILURE_EQUIP_ITEM	Nie możesz ulepszać założonych przedmiotów.
REFINE_FAILURE_GRADE_DOWN	Uszlachetnienie nie powiodło się. Stopień przedmiotu został obniżony.
REFINE_FAILURE_KEEP_GRADE	Uszlachetnienie nie powiodło się. Na szczęście przedmiot został zachowany.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Żaden Kamień Duszy nie może zostać wyjęty.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potrzebujesz lepszego Zwoju.
REFINE_FAILURE_NO_GOLD_SOCKET	Nie ma Złotej Kieszeni by uwzględnić {} .
REFINE_FAILURE_NO_MORE_SOCKET	Nie możesz zrobić więcej Kieszeni.
REFINE_FAILURE_NO_SOCKET0	Nie ma slotu, w którym można umieścić {}.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Nie możesz zrobić żadnych Kieszeni w tym Przedmiocie.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Ten Przedmiot nie może zostać ulepszony.
REFINE_SUCCESS	Przedmiot został ulepszony.
REFINE_SUCCESS_PROBALITY	Szansa na Ulepszenie {}%
REFINE_WARNING2	Czy chcesz kontynuować?
REVIVE_QUESTION	Chcesz wskrzesić: {}? Liczba Pryzmatów Ożywienia: {} szt.
REVIVE_SELF_QUESTION	Chcesz dokonać wskrzeszenia? Liczba Pryzmatów Ożywienia: {} szt.
SAFEBOX_ERROR	Wprowadziłeś złe hasło.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nie możesz sprzedać żadnego z zachowanych Przedmiotów.
SAFEBOX_WRONG_PASSWORD	Hasła muszą być identyczne.
SCREENSHOT_SAVE1	jest zapisany w
SCREENSHOT_SAVE2	Plik ze zrzutem obrazu
SCREENSHOT_SAVE_FAILURE	Niepomyślny zapis zrzutu obrazu.
SECOND	Sek
SELECT_ATTR_NOTICE	Nie możesz otworzyć prywatnego sklepu, gdy używasz Zaczarowanie przedmiotu+.
SELECT_ATTR_NOT_OPEN	Nie możesz użyć Zaczarowanie przedmiotu+, gdy masz otwarty prywatny sklep.
SELECT_ATTR_NOT_SELECT	Zdecyduj, czy chcesz zachować czy wymienić bonusy.
SELECT_CAN_NOT_DELETE	Nie możesz usunąć postaci.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Nie możesz usunąć swojej postaci, dopóki ona jest członkiem gildii.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Nie możesz usunąć swojej postaci, ponieważ posiada ona przedmiot przywiązany do duszy.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Nie możesz usunąć swojej jedynej postaci, ponieważ w twoim magazynie znajdują się jeszcze przedmioty.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Możesz usunąć swoją postać tylko do maksymalnie poziomu 69.
SELECT_CAN_NOT_DELETE_MARRIAGE	Nie możesz usunąć postaci, która jest w związku małżeńskim.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Kod do usunięcia był niepoprawny.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Nie możesz usunąć tej postaci bezpośrednio po jej stworzeniu. Czas oczekiwania: {}
SELECT_CHANGED_NAME	Zmieniłeś nazwę postaci.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Ta nazwa postaci już istnieje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Spróbuj ponownie.
SELECT_CHANGE_FAILURE_STRANGE_NAME	To
SELECT_CHANGE_NAME_TITLE	Zmień nazwę postaci.
SELECT_DELEING	Postać zostanie usunięta.
SELECT_DELETED	Usuwanie pomyślne.
SELECT_DO_YOU_DELETE_REALLY	Czy chcesz kontynuować?
SELECT_EMPTY_SLOT	To jest wolne pole.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Wprowadź nową nazwę postaci.
SELECT_NOT_JOIN_GUILD	Brak Gildii
SERVER_NOTIFY_CLOSED	Zamknięty serwer: prawo wstępu mają tylko konta ze statusem VIP lub konta stworzone przed zamknięciem serwera.
SERVER_STATUS_CLOSE	ZAMKNIĘTY
SERVER_STATUS_NEW	NOWOŚĆ
SERVER_STATUS_SPECIAL	SPECYJALNY
SHOP_BUY_INFO	Wybierz z wystawy przedmiot, który chcesz kupić.
SHOP_CANNOT_SELL_EQUIPMENT	Nie możesz sprzedawać ubranych przedmiotów.
SHOP_CANNOT_SELL_ITEM	Ten Przedmiot nie może zostać sprzedany.
SHOP_ERROR_UNKNOWN	Nieznany Błąd Sklepu: {}
SHOP_EXCEED_LIMIT_TODAY	Przekroczyłeś już swój limit dzienny na użycie punktów.
SHOP_INVALID_POS	Ten Przedmiot nie może zostać tu użyty.
SHOP_INVENTORY_FULL	Nie ma miejsca w ekwipunku.
SHOP_LIMITED_DATA_LOADING	Aktualnie trwa wczytywanie danych. Spróbuj ponownie później.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Pozostałe przedmioty: {}
SHOP_LIMITED_PURCHASE_OVER	Wyprzedano
SHOP_LIMIT_TODAY	Limit dzienny: {} / {}
SHOP_MY_BATTLE_POINT	Punkty walki: {}
SHOP_NOT_ENOUGH_10TH_COIN	Masz za mało monet jubileuszowych.
SHOP_NOT_ENOUGH_BATTLE_POINT	Masz za mało punktów walki.
SHOP_NOT_ENOUGH_MONEY	Niewystarczająca ilość Yang
SHOP_NOT_ENOUGH_CASH	Niewystarczająca ilość Coins
SHOP_NOT_ENOUGH_MONEY_EX	Nie posiadasz wystarczająco {}.
SHOP_SELL_INFO	Wybierz w oknie ekwipunku przedmiot, który chcesz sprzedać.
SHOP_SOLDOUT	Wyprzedany
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: {}
SKILL_BLEEDING	Krwawienie
SKILL_BOHO	Odbicie
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Potrzebujesz DOŚ do nauki tej Umiejętności.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Potrzebujesz Księgi do nauki tej Umiejętności.
SKILL_CHEONGEUN	Silne Ciało
SKILL_CRITICAL	Cios Krytyczny
SKILL_ENCHANT_POISON	Dodaj Truciznę
SKILL_EUNHYEONG	Krycie Się
