ACCE_ABSORB_COST	Abszorpció ára: {}
MINI_GAME_NOTICE_12	Yut vagy Mo dobásod volt, újra dobhatsz.
MINI_GAME_NOTICE_13	Vége a játéknak. Gyűjtsd be a jutalmad!
MINI_GAME_NOTICE_2	Dobj a Yut pálcikákkal.
MINI_GAME_NOTICE_3	A számítógép dob a Yut pálcikákkal, hogy eldőljön, ki kezd.
MINI_GAME_NOTICE_4	Döntetlen lett, vagy a számítógép dobta a kisebb értéket. A számítógép kezd.
MINI_GAME_NOTICE_5	A tiéd volt a kisebb értékű dobás, ezért te kezdesz.
MINI_GAME_NOTICE_6	Ezt dobtad: {}. Lépj előre {} mezőt.
MINI_GAME_NOTICE_7	Ezt dobtad: {}. Hátra kell lépned 1 mezőt.
MINI_GAME_NOTICE_8	Dobás: {}
MINI_GAME_NOTICE_9	Ez a számítógép köre.
MINI_GAME_RUMI_DISCARD_QUESTION	Tényleg el akarod vetni ezt a kártyát?
MINI_GAME_RUMI_EXIT_QUESTION	Be akarod fejezni a játékot és begyűjteni a jutalmad?\nPontjaid és fennmaradó kártyáid le lesznek nullázva!
MINI_GAME_RUMI_START_QUESTION	A játékhoz {} Yang díjat kell fizetned. Szükséged lesz {} kártyaszettre is.\nEl akarod kezdeni a játékot?
MINI_GAME_YUTNORI_COM_WIN	Néha nyersz, és néha... vesztesz.
MINI_GAME_YUTNORI_PC_WIN	A győztes mindent visz!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Pontszám: {}
MINI_GAME_YUTNORI_RETHROW_BUTTON	Dobás
MINI_GAME_YUTNORI_RETHROW_POPUP	Ördögi szerencse! Ismét te dobhatsz.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Szükséged van {} Yangra és {} Yut Nori táblára a Yut Nori játék indításához. \n Szeretnél játszani?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	tízezer
MONETARY_UNIT2	száz millió
MONEY_INPUT_DIALOG_SELLPRICE	Eladási ára:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Mégse
MOVE_CHANNEL_NOTICE	Beléptél erre a csatornára: {}.
MOVE_CHANNEL_NOT_MOVE	Nem válthatsz csatornát.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Csatornák
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nem mozdíthatsz el a tárgyakat, amíg a magán boltot nyitva van.
MUSIC_EMPTY_MUSIC_LIST	Nincs háttérzene.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Alap zene
MUSIC_NOT_SELECT_MUSIC	Nincs zene fájl kiválasztva
NEEFD_REST	Először pihenj.
NOT_YET_SUPPORT	Nem támogatott.
OPEN_THE_SPECIAL_ACTION_KIT	A(z) {} hozzá lett adva az érzelmekhez.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nem aktiválhatod a céh módot, ha nem vagy céhtag.
OPTION_PVPMODE_NOT_SUPPORT	Nem használhatod a PvP-mód beállításait.
OPTION_PVPMODE_PROTECT	Legalább {} szintűnek kell lenned, hogy PvP módot változtathass.
PARTY_ANSWER_TIMEOVER	A meghívás el lett utasítva.
PARTY_BONUS_ATTACKER	Támadó érték: +{}
PARTY_BONUS_BERSERKER	Támadósebesség: +{}
PARTY_BONUS_BUFFER	Készség tartam: +{}
PARTY_BONUS_DEFENDER	Védelem: +{}
PARTY_BONUS_EXP	Bónusz EXP: {}%
PARTY_BONUS_SKILL_MASTER	Max. MP: +{}
PARTY_BONUS_TANKER	Max. TP: +{}
PARTY_BREAK_UP	Csoport felbontás
PARTY_DO_YOU_ACCEPT	 szeretne csatlakozni a csoportba.
PARTY_DO_YOU_JOIN	 meghívott a csoportjába. Elfogadod?
PARTY_EXP_DISTRIBUTION_MODE	EXP elosztás
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Szint függő
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	A magasabb szintű csoporttagok több EXP-et kapnak.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	egyenletes
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Minden csoporttag azonos mennyiségű EXP-t kap.
PARTY_HEAL_ALL_MEMBER	Mindent újratermelni
PARTY_INCREASE_AREA_150	A csoport hatótávolsága másfélszeresére növelve.
PARTY_INCREASE_AREA_200	A csoport hatótávolsága kétszeresére növelve.
PARTY_LEAVE	Csoport elhagyása
PARTY_LONGTIME_BONUS_EXP	Bónusz EXP a hosszú csoport játékért: +{}%
PARTY_MATCH_CANCEL	A {} csoport keresés meg lett szakítva.
PARTY_MATCH_FAIL_FULL_MEMBER	Nincs több tagnak hely a csoportodban.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nem jelentkezhetsz erre a kazamatára.
PARTY_MATCH_FAIL_LEVEL	A szinted túl alacsony.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	{} nem felel meg a szükséges követelményeknek.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Kérlek, előbb válassz kazamatát.
PARTY_MATCH_FAIL_NOT_LEADER	Csak a csoport vezetője jelentkezhet.
PARTY_MATCH_FAIL_NO_ITEM	Nincs nálad elegendő {}.
PARTY_MATCH_SEARCHING	Keresés
PARTY_MATCH_START	Jelentkeztél a csoportoddal erre a kazamatára: {}!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Csoporttag hívása
PARTY_REGEN_BONUS	Bónusz a TP- és MP-regenerálódáshoz: +{}%
PARTY_REQUEST_DENIED	Elutasították a kérésed.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Őrző ranglista
PARTY_RK_CATEGORY_CZ_COW	Chou Őrző ranglista
PARTY_RK_CATEGORY_CZ_DOG	Xu Őrző ranglista
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Őrző ranglista
PARTY_RK_CATEGORY_CZ_HORSE	Wu Őrző ranglista
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Őrző ranglista
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Őrző ranglista
PARTY_RK_CATEGORY_CZ_PIG	Hai Őrző ranglista
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Őrző ranglista
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Őrző ranglista
PARTY_RK_CATEGORY_CZ_SNAKE	Si Őrző ranglista
PARTY_RK_CATEGORY_CZ_TIGER	Yin Őrző ranglista
PARTY_SET_ATTACKER	Támadónak kinevez.
PARTY_SET_BERSERKER	Dühöngőnek kinevez.
PARTY_SET_BUFFER	Blokkolónak kinevez.
PARTY_SET_DEFENDER	Védőnek kinevez.
PARTY_SET_NORMAL	Beállítások visszaállítása
PARTY_SET_SKILL_MASTER	Készség mesternek kinevez.
PARTY_SET_TANKER	Tőrharcos beállítás.
PARTY_SKILL_ATTACKER	Alap támadóérték támadó +{:.0f}
PARTY_SKILL_BERSERKER	Támadó érték őrjöngő +{:.0f}
PARTY_SKILL_BUFFER	Készség hossz Blokkoló +{:.0f}
PARTY_SKILL_DEFENDER	Védelem védő +{:.0f}
PARTY_SKILL_HP_REGEN	TP regeneráció +{:.0f}
PARTY_SKILL_PARTY_AREA	Csoport hatósugár +{:.0f}
PARTY_SKILL_SKILL_MASTER	Max. MP készség mester +{:.0f}
PARTY_SKILL_SP_REGEN	MP regenerálódás +{:.0f}
PARTY_SKILL_TANKER	Max. TP közelharc +{:.0f}
PARTY_SKILL_WARP	Csoporttárs hívása lehetséges.
PASSWORD_TITLE	Raktár jelszó
PET_ATTR_CHANGE_DIALOG_TEXT	Szeretnéd most módosítani a házikedvenced tulajdonságait?\nA 'Kedvenc megbűvölő' tárgy felhasználásra kerül.\nA folyamat lehet sikertelen is.
PET_ATTR_CHANGE_USE	Ez a művelet nem végezhető el, miközben a kedvenced pontértékeit módosítod.
PET_ATTR_DETERMINE_TYPE1	Kedvenc típus 1: ügyetlen. Nem különösen erős.\nIdővel fejlesztheted a készségeit.
PET_ATTR_DETERMINE_TYPE2	Kedvenc típus 2: kíváncsi. Nem különösen erős.\nEgy hűséges társ, akinek idővel fejlődnek a képességei.
PET_ATTR_DETERMINE_TYPE3	Kedvenc típus 3: lelkes. Átlagosan erős.\nIdővel fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE4	Kedvenc típus 4: bátor. Átlagosan erős.\nEgy hűséges társ, akinek idővel fejlődnek a képességei.
PET_ATTR_DETERMINE_TYPE5	Kedvenc típus 5: vakmerő. Erős.\nIdővel még tovább fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE6	Kedvenc típus 6: legendás. Erős.\nEgy hűséges társ, akinek készségei még tovább fognak fejlődni idővel.
PET_ATTR_DETERMINE_TYPE7	Kedvenc típus 7: Mitikus Nagy erős.\nIdővel eléri teljes potenciálját.
PET_ATTR_DETERMINE_TYPE8	Kedvenc típus 8: Briliáns Extrém erős.\nEgy hűséges társ, akire mindig támaszkodhatsz.
PET_BAG_DESC	{}
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nem módosíthatod egy halott kis kedvenc pontértékeit.
PET_CAN_NOT_EGG_ITEM_USE	Nem nyithatod ki Inkubátorod képzés idején, sem amíg raktárad vagy magánboltod nyitva van.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nem helyezhetsz felosztott tárgyakat ebbe az ablakba.
PET_CAN_NOT_FEED_TYPE	Nem etetheted ezzel a kedvenced. Próbálj valami mást.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Házikedvencednek {} szintűnek kell lennie képzéséhez és a fejlődésének következő szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Házikedvencednek 100% tapasztalatának kell lennie képzéséhez és a fejlődésének következő szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Házikedvenced már elérte a legmagasabb fejlődési szakaszt.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nem nyithatsz saját boltot, amíg házikedvenced elő van hívva.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Házikedvencednek {} nap idősnek kell lennie képzéséhez és a fejlődésének következő szintjére lépéséhez.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nem hívhatod elő házikedvenced, mert lejárt az ideje.
PET_CAN_NOT_USE_BAG	Nem használhatod a Szállító dobozt, mert már lejárt a házikedvenced ideje.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Kedvencednek nincs készsége, amit vissza lehetne állítani.
PET_HATCHING_ACCEPT	Elő akarod hívni "{}" házikedvenced?
PET_HATCHING_MONEY	Ár: {}
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nem végezhetsz semmilyen más interakciót, amíg az Inkubátor nyitva van.
PET_INFORMATION_STAGE1	Fiatal
PET_INFORMATION_STAGE2	Vad
PET_INFORMATION_STAGE3	Szelídített
PET_INFORMATION_STAGE4	Hősies
PET_INFO_EXP	Jelenlegi tapasztalat:
PET_INFO_ITEM_EXP	Jelenlegi tárgy EXP
PET_INFO_NEXT_EXP	Fennmaradó tapasztalat:
PET_INFO_NEXT_ITEM_EXP	Hátralévő tárgy EXP
PET_MSG_NOT_ENOUGH_MONEY	Nincs elegendő Yangod.
PET_NAME_CHANGE_ACCEPT	Meg akarod változtatni kedvenced nevét erre: {}?
PET_NAME_MIN	A megadott név túl rövid.
PET_SKILL_DELETE_QUESTION_DLG_MSG	Elérhetők készségek.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	A házikedvenc készség(ek) visszaállítása nem lehetséges.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Biztosan folytatod?
PET_SKILL_LEARN_QUESTION_DLG_MSG	Hősi képzést akarsz kezdeni vele: "{}"?
PET_SKILL_TOOLTIP_COOLTIME	Várakozási idő: {} másodperc
PET_SKILL_TOOLTIP_DURATION	Időtartam: {} másodperc
PET_SKILL_TOOLTIP_FEATHER	A házikedvenc {:.1f}% eséllyel aktiválja a Pehelykönnyű lépéseket {} másodpercre.\n Támadás {} - {}
PET_SKILL_TOOLTIP_HEAL	Amikor TP-d 20%% alá csökken, van \n {}% esélyed TP-d növelésére ennyivel: {}.
PET_SKILL_TOOLTIP_INVINVIBILITY	Karakterednek {}% esélye van legyőzhetetlenségre,\n Amikor TP-d 10%% alá csökken. \n Hatás időtartama: {:.1f} másodperc.
PET_SKILL_TOOLTIP_REMOVAL	{}% esély van azonnal eltávolítani \n minden hatást, mint lassítás, mérgezés vagy vérzés,\n amennyiben karaktered érintett.
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Hősi képzés növelése a következő szintre?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Ára: {}
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Védekezés
PET_TOOLTIP_HP	TP
PET_TOOLTIP_LEVEL	Szint
PET_TOOLTIP_LIFETIME_OVER	Lejárt
PET_TOOLTIP_SKILL_BONUS_VALUE	hősi képzésen
PET_TOOLTIP_SKILL_CUR_LEVEL	Szint: {}
PET_TOOLTIP_SKILL_NEXT_LEVEL	Következő szint: {} (max. {})
PET_TOOLTIP_SP	MP
PET_TOOLTIP_TRADABLE	Átadható
PET_TOOLTUP_SKILL	{} (Állapot: {})
PICK_ITEM_TITLE	Tárgy szám
PICK_MONEY_TITLE	Összeg
PRIVATESHOPSEARCH_ABLITY_POTION	Harmat
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Finom kelme
PRIVATESHOPSEARCH_ARMOR	Felszerelés
PRIVATESHOPSEARCH_ARROW	Nyilak
PRIVATESHOPSEARCH_BELL	Harangok
PRIVATESHOPSEARCH_BELT	Övek
PRIVATESHOPSEARCH_BLEND	Bájitalok
PRIVATESHOPSEARCH_BLOOD_PEARL	Vérvörös gyöngy
PRIVATESHOPSEARCH_BLUE_PEARL	Kék gyöngy
PRIVATESHOPSEARCH_BODY	Vértek
PRIVATESHOPSEARCH_BOW	Íjak
PRIVATESHOPSEARCH_BUYTIME	Meg akarod venni a kiválasztott tárgyat?
PRIVATESHOPSEARCH_CLAW	Karmok
PRIVATESHOPSEARCH_CLEAR_POTION	Elixírek
PRIVATESHOPSEARCH_COSTUME	Öltözékek
PRIVATESHOPSEARCH_COSTUMEBODY	Öltözék
PRIVATESHOPSEARCH_COSTUMEHAIR	Frizura
PRIVATESHOPSEARCH_COSTUME_ACCE	Vállpántok
PRIVATESHOPSEARCH_COSTUME_MOUNT	Hátas
PRIVATESHOPSEARCH_CRYSTAL	Kristály
PRIVATESHOPSEARCH_DAGGER	Tőrök
PRIVATESHOPSEARCH_DEAD	Halott
PRIVATESHOPSEARCH_DETACHMENT	Kő kézikönyv
PRIVATESHOPSEARCH_DIAMOND	Gyémánt
PRIVATESHOPSEARCH_DS	Sárkánykő-alkímia
PRIVATESHOPSEARCH_DS_BLACK	Ónix
PRIVATESHOPSEARCH_DS_BLUE	Zafír
PRIVATESHOPSEARCH_DS_GREEN	Jáde
PRIVATESHOPSEARCH_DS_RED	Rubin
PRIVATESHOPSEARCH_DS_WHITE	Gyémánt
PRIVATESHOPSEARCH_DS_YELLOW	Gránit
PRIVATESHOPSEARCH_EAR	Fülbevalók
PRIVATESHOPSEARCH_FAN	Legyezők
PRIVATESHOPSEARCH_FISH	Halak
PRIVATESHOPSEARCH_FOOTS	Lábbelik
PRIVATESHOPSEARCH_GEM	Drágakövek
PRIVATESHOPSEARCH_GIFTBOX	Ajándékdobozok
PRIVATESHOPSEARCH_HEAD	Sisakok
PRIVATESHOPSEARCH_LIVE	Élő
PRIVATESHOPSEARCH_MATERIAL	Anyagok
PRIVATESHOPSEARCH_METIN	Szellemkövek
PRIVATESHOPSEARCH_NECK	Nyakláncok
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Nem tudsz tárgyakat vásárolni a megfelelő csomó nélkül.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Nem tudsz tárgyakat keresni a megfelelő csomó nélkül.
PRIVATESHOPSEARCH_NODELAY_POTION	TP-tárgyak
PRIVATESHOPSEARCH_ORE	Érc
PRIVATESHOPSEARCH_PET	Házikedvenc-rendszer
PRIVATESHOPSEARCH_PETAGG	Házikedvenc tojások
PRIVATESHOPSEARCH_PETSKILLBOOK	Házikedvenc készségkönyvek
PRIVATESHOPSEARCH_PICK	Csákányok
PRIVATESHOPSEARCH_POTION	Bájitalok
PRIVATESHOPSEARCH_QUEST	Küldetés
PRIVATESHOPSEARCH_QUIVER	Tegezek
PRIVATESHOPSEARCH_RESOURCE	Tárgy feljavítás
PRIVATESHOPSEARCH_ROD	Horgászbotok
PRIVATESHOPSEARCH_SELECTITEM	Kiválasztott tárgy
PRIVATESHOPSEARCH_SHIELD	Pajzsok
PRIVATESHOPSEARCH_SKILLBOOK	Készségkönyvek
PRIVATESHOPSEARCH_SKILLFORGET	Feledés könyve
PRIVATESHOPSEARCH_SPECIAL	Egyebek
PRIVATESHOPSEARCH_STONE	Energia-töredékek
PRIVATESHOPSEARCH_SWORD	Egykezes kardok
PRIVATESHOPSEARCH_TREASUREBOX	Ládák
PRIVATESHOPSEARCH_TUNING	Tekercsek
PRIVATESHOPSEARCH_TWOSWORD	Kétkezes kardok
PRIVATESHOPSEARCH_UNIQUE	Egyedi
PRIVATESHOPSEARCH_USEITEM	Kellékek
PRIVATESHOPSEARCH_USESPECIAL	Egyebek
PRIVATESHOPSEARCH_WEAPON	Fegyverek
PRIVATESHOPSEARCH_WHITE_PEARL	Fehér gyöngy
PRIVATESHOPSEARCH_WRIST	Karkötők
PRIVATE_SHOP_CANNOT_SELL_ITEM	Ezt a tárgyat nem adhatod el magán boltban.
PRIVATE_SHOP_CLOSE_QUESTION	Szeretnéd bezárni a magán boltod?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	A magánbolt neve
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Ár
PRIVATE_SHOP_IS_EMPTY	Nem nyithatsz üres boltot.
PVP_LEVEL0	Isten
PVP_LEVEL0_FEMALE	Istennő
PVP_LEVEL1	Isteni
PVP_LEVEL10	Lélekrabló
PVP_LEVEL10_FEMALE	Lélekrabló
PVP_LEVEL11	Hokage
PVP_LEVEL11_FEMALE	Hokage
PVP_LEVEL12	Anbu
PVP_LEVEL12_FEMALE	Anbu
PVP_LEVEL13	Major
PVP_LEVEL13_FEMALE	Parancsnok
PVP_LEVEL14	Super Saiyan
PVP_LEVEL14_FEMALE	Karifura
PVP_LEVEL15	Saiyan
PVP_LEVEL15_FEMALE	Kunoichi
PVP_LEVEL16	Gladiátor
PVP_LEVEL16_FEMALE	Elvarázsolt
PVP_LEVEL17	Repulsed
PVP_LEVEL17_FEMALE	Legendás
PVP_LEVEL18	Legendás
PVP_LEVEL18_FEMALE	Felséges
PVP_LEVEL19	Felséges
PVP_LEVEL19_FEMALE	Immortal
PVP_LEVEL1_FEMALE	Isteni
PVP_LEVEL2	Vadász
PVP_LEVEL20	Halhatatlan
PVP_LEVEL20_FEMALE	Szent
PVP_LEVEL21	Szent
PVP_LEVEL21_FEMALE	Áldott
PVP_LEVEL22	Áldott
PVP_LEVEL22_FEMALE	Tsarina
PVP_LEVEL23	Uralkodó
PVP_LEVEL23_FEMALE	Uralkodó
PVP_LEVEL24	Báró
PVP_LEVEL24_FEMALE	Bárónő
PVP_LEVEL25	Király
PVP_LEVEL25_FEMALE	Királynő
PVP_LEVEL26	Herceg
PVP_LEVEL26_FEMALE	Hercegnő
PVP_LEVEL27	Uralkodó
PVP_LEVEL27_FEMALE	Nemes hölgy
PVP_LEVEL28	Nemes
PVP_LEVEL28_FEMALE	Időtlen
PVP_LEVEL29	Időtlen
PVP_LEVEL29_FEMALE	Misztikus
PVP_LEVEL2_FEMALE	Angyal
PVP_LEVEL3	Boszorka
PVP_LEVEL30	Misztikus
PVP_LEVEL30_FEMALE	Egyedi
PVP_LEVEL31	Egyedi
PVP_LEVEL31_FEMALE	Tiszteletreméltó
PVP_LEVEL32	Tiszteletreméltó
PVP_LEVEL32_FEMALE	Puhány
PVP_LEVEL33	Puhány
PVP_LEVEL33_FEMALE	Kedvelhető
PVP_LEVEL34	Szimpatikus
PVP_LEVEL34_FEMALE	Kicsi
PVP_LEVEL35	Semleges
PVP_LEVEL35_FEMALE	Semleges
PVP_LEVEL36	Érzékeny
PVP_LEVEL36_FEMALE	Érzékeny
PVP_LEVEL37	Szégyentelen
PVP_LEVEL37_FEMALE	Szégyentelen
PVP_LEVEL38	Rosszalkodó
PVP_LEVEL38_FEMALE	Rasszalkodó
PVP_LEVEL39	Harcias
PVP_LEVEL39_FEMALE	Harcias
PVP_LEVEL3_FEMALE	Tündér
PVP_LEVEL4	Ragnarok
PVP_LEVEL40	Alattomos
PVP_LEVEL40_FEMALE	Alattomos
PVP_LEVEL41	Hadviselő
PVP_LEVEL41_FEMALE	Hadviselő
PVP_LEVEL42	Utálatos
PVP_LEVEL42_FEMALE	Utálatos
PVP_LEVEL43	Mérges
PVP_LEVEL43_FEMALE	Mérges
PVP_LEVEL44	Ördögi
PVP_LEVEL44_FEMALE	Ördögi
PVP_LEVEL45	Kegyetlen
PVP_LEVEL45_FEMALE	Kegyetlen
PVP_LEVEL46	Orgyilkos
PVP_LEVEL46_FEMALE	Száműzött
PVP_LEVEL47	Átkozott
PVP_LEVEL47_FEMALE	Átkozott
PVP_LEVEL48	Átkozó
PVP_LEVEL48_FEMALE	Átkozó
PVP_LEVEL49	Istentelen
PVP_LEVEL49_FEMALE	Istentelen
PVP_LEVEL4_FEMALE	Cuki
PVP_LEVEL5	Üresléptű
PVP_LEVEL50	Démon
PVP_LEVEL50_FEMALE	Démon
PVP_LEVEL51	Árnyékvadász
PVP_LEVEL51_FEMALE	Szukkubusz
PVP_LEVEL52	Vérszomjas
PVP_LEVEL52_FEMALE	Vérszomjas
PVP_LEVEL53	Hitehagyott
PVP_LEVEL53_FEMALE	Hitehagyott
PVP_LEVEL54	Halállovag
PVP_LEVEL54_FEMALE	Boszorkány
PVP_LEVEL55	Vámpír
PVP_LEVEL55_FEMALE	Vámpírlány
PVP_LEVEL56	Rémálom
PVP_LEVEL56_FEMALE	Rémálom
PVP_LEVEL57	Nemhalott
PVP_LEVEL57_FEMALE	Nemhalott
PVP_LEVEL58	Oni
PVP_LEVEL58_FEMALE	Bukott angyal
PVP_LEVEL59	Lucifer
PVP_LEVEL59_FEMALE	Véristennő
PVP_LEVEL5_FEMALE	Csillagfiú
PVP_LEVEL6	Raikage
PVP_LEVEL60	Véristen
PVP_LEVEL60_FEMALE	Pokoli lány
PVP_LEVEL61	Sátán
PVP_LEVEL61_FEMALE	Lilith
PVP_LEVEL6_FEMALE	Gyömbér
PVP_LEVEL7	Császár
PVP_LEVEL7_FEMALE	Lovagi
PVP_LEVEL8	Virtuoso
PVP_LEVEL8_FEMALE	Seraphine
PVP_LEVEL9	Sovereign
PVP_LEVEL9_FEMALE	Császárnő
HGUARD_CODE_ONLY_ALPHANUM	Csak alfanumerikus betűket használhatsz.
PVP_MODE_GUILD	PvP - Céh aktiválva.
PVP_MODE_KILL	PvP - Szabad aktiválva
PVP_MODE_NORMAL	PvP - Béke aktiválva
PVP_MODE_PROTECT	PvP - Védelem aktiválva
PVP_MODE_REVENGE	PvP - Ellenséges aktiválva
PVP_OPTION_KILL	Szabad
PVP_OPTION_NORMAL	Béke
PVP_OPTION_PROTECT	Védelem
PVP_OPTION_REVENGE	Ellenséges
PVP_TOURNAMENT_DO_NOT_AUTO	Nem használhatod az automatikus támadást a PvP bajnokságon.
QUEST_APPEND	Új feladat érkezett.
QUEST_MIN	perc
QUEST_SEC	másodperc
QUEST_TIMEOVER	Idő lejárt
QUEST_UNLIMITED_TIME	Nincs időkorlát
QUEST_ZEROSEC	0 mp.
QUICKSLOT_REGISTER_DISABLE_ITEM	Ez a tárgy nem adható a gyors elérésű mezőhöz.
RANKING	Helyezés
RANKING_BOARD_MEMBER	Tagok
RECEIVE_MESSAGE	{} üzenetet küldött neked.
REFINE_COST	Javítási költségek: {} Yang
REFINE_DESTROY_WARNING	A tárgy megsérülhet a fejlesztés során.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Valóban fejleszteni akarod ezt a tárgyat?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Ha nem sikerül, a tárgy megsemmisül. Szeretnéd folytatni?
REFINE_DOWN_GRADE_WARNING	A tárgy a javítás közben elromolhat.
REFINE_DO_YOU_SEPARATE_METIN	Szeretnéd eltávolítani a Szellemkövet?
REFINE_FAILURE	Jaj, ne, ez nem működött! Elhibáztuk!
REFINE_FAILURE_CAN_NOT_ATTACH_STR	{} nem tudja ezt a tárgyat hozzákapcsolni.
REFINE_FAILURE_DEL_ITEM	A fejlesztés sikertelen volt. A tárgy megsemmisült.
REFINE_FAILURE_EQUIP_ITEM	Felszerelt tárgyat nem tudsz fejleszteni.
REFINE_FAILURE_GRADE_DOWN	A fejlesztés sikertelen volt. A tárgy szintje csökkent.
REFINE_FAILURE_KEEP_GRADE	A fejlesztés sikertelen volt. Szerencsére a tárgy sértetlen maradt.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nem lehet eltávolítani Szellemkövet.
REFINE_FAILURE_NEED_BETTER_SCROLL	Egy jobb javító tekercsre van szükséged.
REFINE_FAILURE_NO_GOLD_SOCKET	Nincs arany foglalat {} hozzáadásához.
REFINE_FAILURE_NO_MORE_SOCKET	Nem lehet több foglalatot hozzáadni.
REFINE_FAILURE_NO_SOCKET0	Nincs foglalat {} felszereléséhez.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Erre a tárgyra nem lehet foglalatokat készíteni.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Ez a tárgy nem javítható.
REFINE_SUCCESS	A tárgy javítás sikeres volt.
REFINE_SUCCESS_PROBALITY	Javítási esély: {}%
REFINE_WARNING2	Folytatod?
REVIVE_QUESTION	Szeretnéd feléleszteni {}-t? Felélesztő prizmák száma: {}
REVIVE_SELF_QUESTION	Szeretnéd feléleszteni magad? Felélesztő prizmák száma: {}
SAFEBOX_ERROR	Hibás jelszót adtál meg.
SAFEBOX_SELL_DISABLE_SAFEITEM	A mentett tárgyakat nem adhatod el.
SAFEBOX_WRONG_PASSWORD	A jelszóknak azonosnak kell lenniük.
SCREENSHOT_SAVE1	el van mentve a
SCREENSHOT_SAVE2	Screenshot könyvtárba
SCREENSHOT_SAVE_FAILURE	A képernyőkép mentése sikertelen.
SECOND	mp
SELECT_ATTR_NOTICE	Nem nyithatsz magánboltot a Megbűvölő tárgy+ használata közben.
SELECT_ATTR_NOT_OPEN	Nem használható a Megbűvölő tárgy+, amíg nyitva van a magánboltod.
SELECT_ATTR_NOT_SELECT	Döntsd el, megtartani vagy cserélni akarod a bónuszokat.
SELECT_CAN_NOT_DELETE	Nem törölheted a karaktert.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Nem törölheted a karaktered, amíg az egy céh tagja.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Nem törölheted a karaktered, mert lélekhez kötött tárgyak vannak rajta.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Nem törölheted az egyetlen karaktered, mert vannak még tárgyak a raktáradban.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Csak legfeljebb 69-es szintű karaktert törölhetsz.
SELECT_CAN_NOT_DELETE_MARRIAGE	Nem törölhetsz házas karaktereket.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	A törlő kód érvénytelen.
