%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
Valentine chasm: You still have to destroy 2 metins	You still have to destroy 2 metins!
Valentine chasm: You still have to destroy 1 metins	You still have to destroy 1 metins!
Valentine chasm: You destroyed all metin stones!	Valentine chasm: You destroyed all metin stones!
Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!	Valentine chasm: Monsters are coming!alentine chasm: Now put the gem to monument and destroy it!
Valentine chasm: Monsters are coming!	Valentine chasm: Monsters are coming!
Valentine chasm: Kill them all!	Valentine chasm: Kill them all!
Valentine chasm: Find an unknown herb and take it to Lady.	Valentine chasm: Find an unknown herb and take it to Lady.
Valentine chasm: You will be teleported to the next level.	Valentine chasm: You will be teleported to the next level.
Valentine chasm: Kill all monsters!	Valentine chasm: Kill all monsters!
Valentine chasm: Destroy the right metin to spawn rhodolite ore!	Valentine chasm: Destroy the right metin to spawn rhodolite ore!
Valentine chasm: Rhodolite ore was just spawned!	Valentine chasm: Rhodolite ore was just spawned!
Valentine chasm: There was nothing in this metin.	Valentine chasm: There was nothing in this metin.
Valentine chasm: This ore is too hard.	Valentine chasm: This ore is too hard.
Valentine chasm: Even a pick is too weak for it.	Valentine chasm: Even a pick is too weak for it.
Valentine chasm: Let's speak with dryade again.	Valentine chasm: Let's speak with dryade again.
Valentine chasm: Open the ore with magic dust	Valentine chasm: Open the ore with magic dust
Valentine chasm: Give the rhodolite to dryade.	Valentine chasm: Give the rhodolite to dryade.
Valentine chasm: You get a chocolate.	Valentine chasm: You get a chocolate.
Valentine chasm: Look, Lady Valentine. Go to speak with her!	Valentine chasm: Look, Lady Valentine. Go to speak with her!
Valentine chasm: Fast!!	Valentine chasm: Fast!!
Valentine chasm: Give the poisoned chocolate to dryade!	Valentine chasm: Give the poisoned chocolate to dryade!
Dryade: You've killed me!	Dryade: You've killed me!
Dryade: You fooooool!	Dryade: You fooooool!
Valentine chasm: You've killed valentine tree!	Valentine chasm: You've killed valentine tree!
Valentine chasm: Dungeon was succesfully finished!	Valentine chasm: Dungeon was succesfully finished!
Valentine chasm: Kill the Valentine tree	Valentine chasm: Kill the Valentine tree
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: Let's speak with ghost of Lady Valentine	Valentine chasm: Let's speak with ghost of Lady Valentine
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: Another wave of monsters is coming!	Valentine chasm: Another wave of monsters is coming!
Valentine chasm: Valentine tree doesn't want to give up!"	Valentine chasm: Valentine tree doesn't want to give up!"
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: You have killed all monsetrs!	Valentine chasm: You have killed all monsetrs!
Valentine chasm: But something is wrong.. Lady Valentine is not here	Valentine chasm: But something is wrong.. Lady Valentine is not here
Valentine chasm: Look, Dryade!	Valentine chasm: Look, Dryade!
Valentine chasm: You still have to kill %d mobs to move on.	Valentine chasm: You still have to kill %d mobs to move on.
Valentine chasm: 15 minutes left!	Valentine chasm: 15 minutes left!
Valentine chasm: 10 minutes left!	Valentine chasm: 10 minutes left!
Valentine chasm: 5 minutes left!	Valentine chasm: 5 minutes left!
Valentine chasm: You are running out of time! Hurry up!	Valentine chasm: You are running out of time! Hurry up!
Valentine chasm: 1 minute left!	Valentine chasm: 1 minute left!
Valentine chasm: You are almost failed!!	Valentine chasm: You are almost failed!!
Valentine chasm: Time has expired!	Valentine chasm: Time has expired!
Valentine chasm: You failed!	Valentine chasm: You failed!
Valentine chasm: You will be teleported out of dungeon!	Valentine chasm: You will be teleported out of dungeon!

Easter dungeon: Now destroy all metin stones.	Easter dungeon: Now destroy all metin stones.
Easter dungeon: Defeat Evil easter rabbit!	Easter dungeon: Defeat Evil easter rabbit!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: Give the coin to rabbit!	Easter dungeon: Give the coin to rabbit!
Easter dungeon: He has cheated on you!	Easter dungeon: He has cheated on you!
Easter dungeon: Be careful! Monsters are coming!	Easter dungeon: Be careful! Monsters are coming!
Easter dungeon: Well done! Now kill all monsters!	Easter dungeon: Well done! Now kill all monsters!
Easter dungeon: You've succefuly finished the dungeon!	Easter dungeon: You've succefuly finished the dungeon!
Easter dungeon: You will be teleported in 30 seconds.	You will be teleported in 30 seconds.
Easter dungeon: Well done! Now destroy an easter egg!	Easter dungeon: Well done! Now destroy an easter egg!
Easter dungeon: You've succesfuly killed all monsters.	Easter dungeon: You've succesfuly killed all monsters.
Easter dungeon: Destroy a metin stone to move on!	Easter dungeon: Destroy a metin stone to move on!
Easter dungeon: You will jump to next level!	Easter dungeon: You will jump to next level!
Easter dungeon: Destroy evil egg to get a key.	Easter dungeon: Destroy evil egg to get a key.
Easter dungeon: Kill all metin stones!	Easter dungeon: Kill all metin stones!
Easter dungeon: 15 minutes left!	Easter dungeon: 15 minutes left!
Easter dungeon: 10 minutes left!	60 minutes left!
Easter dungeon: 5 minutes left! The time is running out!	Easter dungeon: 5 minutes left! The time is running out!
Easter dungeon: 1 minutes left! You're almost failed!	Easter dungeon: 1 minutes left! You're almost failed!
Easter dungeon: You will be teleported out of dungeon!	Easter dungeon: You will be teleported out of dungeon!

Jagras: Kill all owls	Jagras: Kill all owls
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Something happened...	Jagras: Something happened...
Jagras: This key doesn't works. Next %s are coming!!	Jagras: This key doesn't works. Next %s are coming!!
Jagras: Kill them fast!!	Jagras: Kill them fast!!
Jagras: You have killed all monsetrs.	Jagras: You have killed all monsetrs.
Jagras: Now place %s to the totem and destroy it!	Jagras: Now place %s to the totem and destroy it!
Jagras: You still have to kill %s mobs to get a key.	Jagras: You still have to kill %s mobs to get a key.
Jagras: Destroy the metin in 2 minutes!!	Jagras: Destroy the metin in 2 minutes!!
Jagras: If you won't destroy it in 2 minutes,	Jagras: If you won't destroy it in 2 minutes,
Jagras: you will be out of the dungeon.	Jagras: you will be out of the dungeon.
Jagras: You succesfuly destroyed the metin!	Jagras: You succesfuly destroyed the metin!
Jagras: Monsters are coming!!	Jagras: Monsters are coming!!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: 4 metin stones left!	Jagras: 4 metin stones left!
Jagras: 3 metin stones left!	Jagras: 3 metin stones left!
Jagras: 2 metin stones left!	Jagras: 2 metin stones left!
Jagras: 1 metin stone left!	Jagras: 1 metin stone left!
Jagras: You've destroyed all metin stones.	Jagras: You've destroyed all metin stones.
Jagras: The gate to next floor is open!	Jagras: The gate to next floor is open!
Jagras: You've found first ingredient!	Jagras: You've found first ingredient!
Jagras: Be careful! Owls are coming!	Jagras: Be careful! Owls are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: There was nothing in this metin.	Jagras: There was nothing in this metin.
Jagras: Suran was defeated!	Jagras: Suran was defeated!
Jagras: You get another ingredient!	Jagras: You get another ingredient!
Jagras: Lira is alive thanks to you!	Jagras: Lira is alive thanks to you!
Jagras: Final floor is open now!	Jagras: Final floor is open now!
Jagras: 3 statues has left!	Jagras: 3 statues has left!
Jagras: 2 statues has left!	Jagras: 2 statues has left!
Jagras: 1 statue has left!	Jagras: 1 statue has left!
Jagras: All statues was destroyed!	Jagras: All statues was destroyed!
Jagras: Monsters are coming!	Jagras: Monsters are coming!
Jagras: Kill them all!	Jagras: Kill them all!
Jagras: Perfect! Be prepared!	Jagras: Perfect! Be prepared!
Jagras: Jagras-Mu-Tai is coming!!!	Jagras: Jagras-Mu-Tai is coming!!!
Jagras: You succesfully finished the dungeon!	Jagras: You succesfully finished the dungeon!
Jagras: You will be teleported in 2 minutes	Jagras: You will be teleported in 30 seconds.
Jagras: out of dungeon.	Jagras: out of dungeon.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Watch out! Stronger monsters are coming!	Jagras: Watch out! Stronger monsters are coming!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: You have killed all monsetrs!	Jagras: You have killed all monsetrs!
Jagras: Destroy all metin stones!	Jagras: Destroy all metin stones!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Suran is here!	Jagras: Suran is here!
Jagras: Defeat him!	Jagras: Defeat him!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: Great job!	Jagras: Great job!
Jagras: Be careful now!	Jagras: Be careful now!
Jagras: 2 Surans are coming!	Jagras: 2 Surans are coming!
Jagras: Kill them!	Jagras: Kill them!
Jagras: You still have to kill %s mobs to move on.	Jagras: You still have to kill %s mobs to move on.
Jagras: 30 minutes left!	Jagras: 30 minutes left!
Jagras: 15 minutes left!	Jagras: 15 minutes left!
Jagras: 10 minutes left!	Jagras: 10 minutes left!
Jagras: 5 minutes left!	Jagras: 5 minutes left!
Jagras: Hurry up!!	Jagras: Hurry up!!
Jagras: 1 minute left!	Jagras: 1 minute left!
Jagras: You are almost failed!!	Jagras: You are almost failed!!
Jagras: Time has expired!	Jagras: Time has expired!
Jagras: You failed!	Jagras: You failed!
Jagras: You will be teleported out of dungeon!	Jagras: You will be teleported out of dungeon!

PRIVATE_SHOP_SEARCH_NEED_WAIT_%d_LEFT_(%d)	You must wait %d seconds. %d seconds left. 
PRIVATE_SHOP_SEARCH_NO_SHOPS_FOUND	No item found. 
Die Gruppe von	The group of 
hat den Unterwasser-Dungeon absolviert, Glückwunsch!	 absolved the Underwater-Dungeon, congratulations! 

%s hat das maximale Level erreicht, Glückwunsch!	%s a atins nivelul maxim, felicitări!
%s hat den %s bereits %s Mal gekillt (%s Sekunden)	Grupul de %s are %s pentru %s. Timpuri înfrânate, felicitări! (%s Seconds)
%s hat den %s gekillt	Grupul de %s are %s pentru, felicitări!
You cannot enhance the time of this item while it is stacked.	You cannot enhance the time of this item while it is stacked. 
Maintenance shutdown will begin in %d seconds.	Întreruperea întreținerii va începe %d secunde.
We compliment the Guild %s they defeated Meley, the Queen of the Dragons!	We compliment the Guild %s they defeated Meley, the Queen of the Dragons!
All demons were defeated.	All demons were defeated.
Visits the Maw of the in heh to open another to fate castle.	Visits the Maw of the in heh to open another to fate castle.
There isn't enough space in the inventory.	There isn't enough space in the inventory.
%s has married %s	%s has %s married.
Block: 	Block: 
Guild	Guild
Exchange	Exchange
Duel	Duel
Request	Request
Chat	Chat
Whisper	Whisper
Friend	Friend
Equip	Equip
Shop	Shop
Group	Group
There are invalid characters in your title.	There are invalid characters in your title.
You cannot use this color in your title.	You cannot use this color in your title.
The player %s blocked viewing of his equipment!	The player %s blocked viewing of his equipment!
You blocked duel requests for %s	You blocked duel requests for %s
You cannot activate and deactivate this so quickly	You cannot activate and deactivate this so quickly
You can only change your equipment while you are still.	You can only change your equipment while you are still.
Töte Metinsteine solange, bis du einen Frostschlüssel erhältst und öffne damit die Säulen.	Kill Metin Stones until you get a Frost Key and open the pillars with it.
Die Siegel sind geöffnet, der Baron Nashor erscheint!	The seals are opened, the Baron Nashor appears!
Besiegt den Boss!	Defeat the boss!
%s hat die 1. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 20% Halbmenschen.	%s has successfully completed the 1st Biologist Quest. The biologist awards you 20% half-human.
%s hat die 2. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 30% Halbmenschen.	%s has successfully completed the 2nd Biologist Quest. The biologist awards you 30% half-human.
%s hat die 3. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 40% Halbmenschen.	%s has successfully completed the 3rd Biologist Quest. The biologist awards you 40% half-human.
%s hat die 4. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 60% Halbmenschen.	%s has successfully completed the 4th Biologist Quest. The biologist awards you 60% half-human.
%s hat die 5. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Kreaturen.	%s has successfully completed the 5th Biologist Quest. The biologist awards you 50% Strong against Creatures.
%s hat die 6. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Kreaturen.	%s has successfully completed the 6th Biologist Quest. The biologist awards you 100% Strong against Creatures.
%s hat die 7. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 50% Stark gegen Esoterische.	%s has successfully completed the 7th Biologist Quest. The biologist awards you 50% Strong against Mystics.
%s hat die 8. Biologenquest erfolgreich absolviert. Der Biologe verleiht dir 100% Stark gegen Esoterische.	%s has successfully completed the 8th Biologist Quest. The biologist awards you 100% Strong against Mystics.
Easter dungeon: You still have to defeat %s monsters to move on.	You still have to defeat %s monsters to move on.
Easter dungeon: %s eggs has left!	%s easter eggs has left!
Easter dungeon: %s metin stones has left!	%s metin stones has left!
CANNOT_WARP_NOW	Încă nu puteți face această activitate.
You cannot perform this action right now.	Nu puteți efectua această acțiune chiar acum.
You already have a shop opened.	Aveți deja un magazin deschis.
You sold %dx %s for %lld Yang.	Ai vandut %dx %s pentru %lld Yang.
You can't open an empty shop.	Nu puteți deschide un magazin gol.
You've withdrawn %lld Yang from your shop sales stash.	Te-ai retras %lld Yang din magazinul tău de vânzări.
ITEM_SEALED	Acest articol este sigilat!
ITEM_SEALED_CANNOT_MODIFY	Elementele legate de suflet nu pot fi modificate. 
변경 시킬 속성이 없습니다	Nu poți vrăji acest obiect fără bonusul 6/7.
You cannot open a storage if another Window is already open.	Nu puteți deschide un magazin dacă o altă fereastră este deja deschisă.
Switchbot Slot %d stopped out of bonus changers.	Switchbot Slotu %d nu mai are schimbători de bonusuri.
Du wirst in %s Sekunden herausteleportiert.	Vei fi teleportat în %s secunde.
You don't have enough money!	Nu ai destui bani!
You can not open a shop while you are trading.	Nu vă puteți deschide un magazin în timp ce faceți comerț.
Your cannot spawn your pet while having the status window open.	Nu vă puteți genera pet în timp ce aveți fereastra de stare deschisă.
You cannot add attributes to this item.	Nu puteți adăuga atribute la acest element.
You cannot change the attributes of this item.	Nu puteți modifica atributele acestui element.
This food can only be used for pet level %d to %d	Această hrană poate fi folosită numai pentru pet de la nivelul %d la %d
This food is only for pets	Această hrană este numai pentru pet
Your pet no longer listens to you. Your level is too low.	Animalul dumneavoastră de companie nu vă mai ascultă. Nivelul tău este prea scăzut.
The pet already has reached its maximum level	Petul a atins deja nivelul său maxim
<Guild> The field war is disabled on this server.	<Guild> Câmpul război este dezactivat pe acest server.
You can not use this so fast.	Nu poți folosi asta atât de repede.
You have successfully added a socket to this item.	Ați adăugat cu succes o priză la acest articol.
You cannot add sockets to this item.	Nu puteți adăuga prize la acest articol.
Successfully added a socket to this item	A adăugat cu succes o priză la acest articol
This item already cannot gain more sockets.	Acest obiect deja nu poate obține mai multe prize.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	Nu puteți muta obiecte în timp ce vă aflați într-un magazin.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	Nu puteți muta obiecte în timp ce vă aflați într-un magazin.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	Nu puteți muta obiecte în timp ce vă aflați într-un magazin.
You cannot add sockets to an item with less than 3 sockets.	Nu puteți adăuga prize la un articol cu mai puțin de 3 prize.
You can only change your shop name once every hour (%02d:%02d:%02d).	Îți poți schimba numele magazinului doar o dată la fiecare oră. (%02d:%02d:%02d).
You tried to put at least one item into the shop which can not be traded yet.	Ați încercat să introduceți în magazin cel puțin un obiect care nu poate fi comercializat încă.
You cannot use this item on this map.	Nu puteți utiliza acest obiect pe această hartă.
%s scored first blood	%s a marcat primul sânge
You cannot unequip the armor. Not enough space for your armor effect	Nu poți dezechipăra armura. Nu este suficient spațiu pentru efectul armurii dvs.
You need to wait some time for the next emotion.	Trebuie să așteptați ceva timp pentru următoarea emoție.
%s blocks duel requests	%s blochează cererile de duel
Failed to make one socket permanent	Nu a reușit să facă o priză permanentă
Successfully to made one socket permanent	Cu succes pentru a face o priză permanentă
Already every socket permanent	Deja fiecare priză permanentă
A world boss is [%s] spawned.	Un șef de lume [%s] a apărut.
You cannot use this item in this area.	Nu puteți utiliza acest articol în această zonă.
Missing %s %s to create the recipe you have chosen	Lipsesc %s %s pentru a crea rețeta pe care ați ales-o
Double Drop Amount	Dublu-loot-eveniment
Double-Loot Event is active!	Evenimentul Dublu-Loot este activ!
%s: Double-Loot Event is active	%s: Evenimentul Dublu-Loot este activ!
%s: Double-Loot Event ended	%s: Evenimentul Dublu-Loot s-a încheiat
%s has killed you with hp %d left over.	%s  te-a ucis cu hp %d rămas.
There is no one currently registered in the ranking.	Nu există nicio persoană înregistrată în prezent în clasament.
Player %s successfully finished Battle Pass %s.	Jucătorul %s a terminat cu succes Battle Pass %s.
Ancient pyramid: Destroy the stone within 4 minutes!	Kulve Taroth: Distruge piatra în 4 minute!
Ancient pyramid: Otherwise, you will be teleported out of dungeon.	Kulve Taroth: În caz contrar, vei fi teleportat în afara temniței.
Ancient pyramid: You will continue in few seconds.	Kulve Taroth: Veți continua în câteva secunde.
Ancient pyramid: You have failed!	Kulve Taroth: Ați eșuat!
Ancient pyramid: Kill monsters to collect pieces of pergamen, once you have 4 pieces	Kulve Taroth: Ucide monștrii pentru a colecta bucăți de pergamen, odată ce ai 4 bucăți
Ancient pyramid: destroy the %s!	Kulve Taroth: distrugeți %s!
Ancient pyramid: You have all pieces! Go to seal and decipher it!	Kulve Taroth: Aveți toate piesele! Du-te la sigiliu și descifrează-l!
Ancient pyramid: It was spell to summon %s, kill it!	Kulve Taroth: A fost o vrajă de invocare a lui %s, omoară-l!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Vei sări la etajul următor în câteva secunde
Ancient pyramid: Find and destroy right %s within 21 minutes!	Kulve Taroth: Găsiți și distrugeți %s dreapta în 21 de minute!
Ancient pyramid: Be careful, something strong is hiding inside of them!	Kulve Taroth: Aveți grijă, ceva puternic se ascunde în interiorul lor!
Ancient pyramid: You have destroyed the right stone!	Kulve Taroth: Ați distrus piatra potrivită!
Ancient pyramid: %s is coming!	Kulve Taroth: %s vine!
Ancient pyramid: This stone was just an illusion.	Kulve Taroth: Această piatră era doar o iluzie.
Ancient pyramid: You have failed!	Kulve Taroth: Ați eșuat!
Ancient pyramid: You will jump to next floor in few seconds	Kulve Taroth: Vei sări la etajul următor în câteva secunde
Ancient pyramid: Find a way out from this maze!	Kulve Taroth: Găsiți o cale de ieșire din acest labirint!
Ancient pyramid: At the end, you have to kill real %s!	Kulve Taroth: La final, va trebui să omori %s reale!
Ancient pyramid: This was the real %s	Kulve Taroth: Acesta a fost adevăratul %s
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Veți fi mutat la etajul următor în câteva secunde.
Ancient pyramid: This was a fake %s!	Kulve Taroth: Acesta a fost un fals %s!
Ancient pyramid: Destroy all %s, but be careful, it has its own mechanism!	Kulve Taroth: Distruge toate %s, dar ai grijă, are propriul său mecanism!
Ancient pyramid: You need to destroy them in exact sequence!	Kulve Taroth: Trebuie să le distrugi în ordinea exactă!
Ancient pyramid: This was the right one!	Kulve Taroth: Acesta a fost cel potrivit!
Ancient pyramid: Now destroy %s to get another item!	Kulve Taroth: Acum distruge %s pentru a obține un alt obiect!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Trebuie să distrugi alte %s
Ancient pyramid: Great! Monsters are coming! One of them has another item!	Kulve Taroth: Grozav! Vin monștrii! Unul dintre ei are un alt obiect!
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Trebuie să distrugi alte %s
Ancient pyramid: You need to destroy other %s	Kulve Taroth: Trebuie să distrugi alte %s
Ancient pyramid: Great, but now, to alert!!!	Kulve Taroth: Grozav, dar acum, la alertă!!!
Ancient pyramid: Real Anubis is coming!	Kulve Taroth: Vine adevăratul Anubis!
Ancient pyramid: %s stones has left!	Kulve Taroth: %s pietre a mai rămas!
Ancient pyramid: You will be moved to next floor in few seconds	Kulve Taroth: Veți fi mutat la etajul următor în câteva secunde.
Ancient pyramid: Destroy %s to be able summon a real boss!	Kulve Taroth: Distruge %s pentru a putea invoca un șef adevărat!
Ancient pyramid: Kill all monsters now!	Kulve Taroth: Ucide toți monștrii acum!
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Vraja a dispărut, poți lua %s
Ancient pyramid: The spell is gone, you can take the %s	Kulve Taroth: Vraja a dispărut, poți lua %s
Ancient pyramid: %s is gonna appear.	Kulve Taroth: %s va apărea.
Ancient pyramid: It can spawn any previous monsters and bosses!	Kulve Taroth: Poate genera toți monștrii și șefii anteriori!
Ancient pyramid: If you destroy it within 5 minutes, you avoid attracting another monsters!	Kulve Taroth: Dacă îl distrugi în 5 minute, vei evita să atragi alți monștri!
